REGION,TECHNOLOGY,YEAR,VALUE
REGION1,PTBACKSTOP,2021,1.0
REGION1,PTBFHPFH1,2021,1.0
REGION1,PTBMSTPH1,2021,1.0
REGION1,PTGOCVPH1,2021,1.0
REGION1,PTHFCHPH1,2021,1.0
REGION1,PTHFSTPH1,2021,1.0
REGION1,PTHYDMPH1,2021,1.0
REGION1,PTHYDSPH1,2021,1.0
REGION1,PTNGCCPH1,2021,1.0
REGION1,PTNGCHPH1,2021,1.0
REGION1,PTOCWVPH1,2021,1.0
REGION1,PTSOUTPH1,2021,0.0
REGION1,PTWIOFPH1,2021,1.0
REGION1,PTWIONPH1,2021,1.0
REGION1,PTWSCHPH1,2021,1.0
REGION1,PTWSSTPH1,2021,1.0
REGION1,PTCOSTPH1,2021,1.0
REGION1,PTBFCHPH1,2021,1.0
REGION1,PTRGCHPH1,2021,1.0
REGION1,PTDSCHPH1,2021,1.0
REGION1,PTDSELH1,2021,1.0
REGION1,PTBMCHPH1,2021,1.0
REGION1,PTHYDRPH1,2021,1.0
REGION1,PTBFHPFN1,2021,1.0
REGION1,PTBMSTPN1,2021,1.0
REGION1,PTGOCVPN1,2021,1.0
REGION1,PTHFCHPN1,2021,1.0
REGION1,PTHFSTPN1,2021,1.0
REGION1,PTHYDMPN1,2021,1.0
REGION1,PTHYDSPN1,2021,1.0
REGION1,PTNGCCPN1,2021,1.0
REGION1,PTNGCHPN1,2021,1.0
REGION1,PTOCWVPN1,2021,1.0
REGION1,PTSOUTPN1,2021,0.0
REGION1,PTWIOFPN1,2021,1.0
REGION1,PTWIONPN1,2021,1.0
REGION1,PTWSCHPN1,2021,1.0
REGION1,PTWSSTPN1,2021,1.0
REGION1,PTCOSTPN1,2021,1.0
REGION1,PTBFCHPN1,2021,1.0
REGION1,PTRGCHPN1,2021,1.0
REGION1,PTDSCHPN1,2021,1.0
REGION1,PTDSELN1,2021,1.0
REGION1,PTBMCHPN1,2021,1.0
REGION1,PTHYDRPN1,2021,1.0
REGION1,PTNGCCSN1,2021,1.0
REGION1,PTBMCCSN1,2021,1.0
REGION1,PTBATTH1,2021,1.0
REGION1,ESELPTPH1,2021,1.0
REGION1,PTNGESPI0,2021,1.0
REGION1,PTBACKSTOP,2022,1.0
REGION1,PTBFHPFH1,2022,1.0
REGION1,PTBMSTPH1,2022,1.0
REGION1,PTGOCVPH1,2022,1.0
REGION1,PTHFCHPH1,2022,1.0
REGION1,PTHFSTPH1,2022,1.0
REGION1,PTHYDMPH1,2022,1.0
REGION1,PTHYDSPH1,2022,1.0
REGION1,PTNGCCPH1,2022,1.0
REGION1,PTNGCHPH1,2022,1.0
REGION1,PTOCWVPH1,2022,1.0
REGION1,PTSOUTPH1,2022,0.0
REGION1,PTWIOFPH1,2022,1.0
REGION1,PTWIONPH1,2022,1.0
REGION1,PTWSCHPH1,2022,1.0
REGION1,PTWSSTPH1,2022,1.0
REGION1,PTCOSTPH1,2022,1.0
REGION1,PTBFCHPH1,2022,1.0
REGION1,PTRGCHPH1,2022,1.0
REGION1,PTDSCHPH1,2022,1.0
REGION1,PTDSELH1,2022,1.0
REGION1,PTBMCHPH1,2022,1.0
REGION1,PTHYDRPH1,2022,1.0
REGION1,PTBFHPFN1,2022,1.0
REGION1,PTBMSTPN1,2022,1.0
REGION1,PTGOCVPN1,2022,1.0
REGION1,PTHFCHPN1,2022,1.0
REGION1,PTHFSTPN1,2022,1.0
REGION1,PTHYDMPN1,2022,1.0
REGION1,PTHYDSPN1,2022,1.0
REGION1,PTNGCCPN1,2022,1.0
REGION1,PTNGCHPN1,2022,1.0
REGION1,PTOCWVPN1,2022,1.0
REGION1,PTSOUTPN1,2022,0.0
REGION1,PTWIOFPN1,2022,1.0
REGION1,PTWIONPN1,2022,1.0
REGION1,PTWSCHPN1,2022,1.0
REGION1,PTWSSTPN1,2022,1.0
