REGION,TECHNOLOGY,YEAR,VALUE
REGION1,ROBACKSTOP,2021,1.0
REGION1,ROBMSTPH1,2021,1.0
REGION1,ROCOCHPH1,2021,1.0
REGION1,ROHFCHPH1,2021,1.0
REGION1,ROHYDMPH1,2021,1.0
REGION1,RONGCHPH1,2021,1.0
REGION1,RONUG2PH1,2021,1.0
REGION1,ROSOUTPH1,2021,0.0
REGION1,ROWIONPH1,2021,1.0
REGION1,ROLICHPH1,2021,1.0
REGION1,ROLIELH1,2021,1.0
REGION1,RONGCCPH1,2021,1.0
REGION1,RODGCHPH1,2021,1.0
REGION1,RODGELH1,2021,1.0
REGION1,RORGCHPH1,2021,1.0
REGION1,RODSCHPH1,2021,1.0
REGION1,RODSELH1,2021,1.0
REGION1,ROHFSTPH1,2021,1.0
REGION1,ROBMCHPH1,2021,1.0
REGION1,ROGOCVPH1,2021,1.0
REGION1,ROHYDRPH1,2021,1.0
REGION1,ROHYDSPH1,2021,1.0
REGION1,ROBMSTPN1,2021,1.0
REGION1,ROCOCHPN1,2021,1.0
REGION1,ROHFCHPN1,2021,1.0
REGION1,ROHYDMPN1,2021,1.0
REGION1,RONGCHPN1,2021,1.0
REGION1,RONUG2PN1,2021,1.0
REGION1,ROSOUTPN1,2021,0.0
REGION1,ROWIONPN1,2021,1.0
REGION1,ROLICHPN1,2021,1.0
REGION1,ROLIELN1,2021,1.0
REGION1,RONGCCPN1,2021,1.0
REGION1,RODGCHPN1,2021,1.0
REGION1,RODGELN1,2021,1.0
REGION1,RORGCHPN1,2021,1.0
REGION1,RODSCHPN1,2021,1.0
REGION1,RODSELN1,2021,1.0
REGION1,ROHFSTPN1,2021,1.0
REGION1,ROBMCHPN1,2021,1.0
REGION1,ROGOCVPN1,2021,1.0
REGION1,ROHYDRPN1,2021,1.0
REGION1,ROHYDSPN1,2021,1.0
REGION1,RONGCCSN1,2021,1.0
REGION1,ROBMCCSN1,2021,1.0
REGION1,ROBATTH1,2021,1.0
REGION1,BGELROPH1,2021,1.0
REGION1,HUELROPH1,2021,1.0
REGION1,ROELMDPH1,2021,1.0
REGION1,ROELRSPH1,2021,1.0
REGION1,ROELUAPH1,2021,1.0
REGION1,ROBACKSTOP,2022,1.0
REGION1,ROBMSTPH1,2022,1.0
REGION1,ROCOCHPH1,2022,1.0
REGION1,ROHFCHPH1,2022,1.0
REGION1,ROHYDMPH1,2022,1.0
REGION1,RONGCHPH1,2022,1.0
REGION1,RONUG2PH1,2022,1.0
REGION1,ROSOUTPH1,2022,0.0
REGION1,ROWIONPH1,2022,1.0
REGION1,ROLICHPH1,2022,1.0
REGION1,ROLIELH1,2022,1.0
REGION1,RONGCCPH1,2022,1.0
REGION1,RODGCHPH1,2022,1.0
REGION1,RODGELH1,2022,1.0
REGION1,RORGCHPH1,2022,1.0
REGION1,RODSCHPH1,2022,1.0
REGION1,RODSELH1,2022,1.0
REGION1,ROHFSTPH1,2022,1.0
REGION1,ROBMCHPH1,2022,1.0
REGION1,ROGOCVPH1,2022,1.0
REGION1,ROHYDRPH1,2022,1.0
REGION1,ROHYDSPH1,2022,1.0
REGION1,ROBMSTPN1,2022,1.0
REGION1,ROCOCHPN1,2022,1.0
REGION1,ROHFCHPN1,2022,1.0
