REGION,TECHNOLOGY,YEAR,VALUE
REGION1,RWBACKSTOP,2021,1.0
REGION1,RWCOSCPH1,2021,1.0
REGION1,RWWINDPH1,2021,0.05
REGION1,RWNGGCPH1,2021,1.0
REGION1,RWLFRCPH1,2021,1.0
REGION1,RWHFGCPH1,2021,1.0
REGION1,RWBMCHPH1,2021,1.0
REGION1,RWHYDMSH1,2021,1.0
REGION1,RWCOSCPN1,2021,1.0
REGION1,RWWINDPN1,2021,0.05
REGION1,RWNGGCPN1,2021,1.0
REGION1,RWLFRCPN1,2021,1.0
REGION1,RWHFGCPN1,2021,1.0
REGION1,RWBMCHPN1,2021,1.0
REGION1,RWHYDMSN1,2021,1.0
REGION1,RWSOU1PN1,2021,0.0
REGION1,RWNGCCSPN1,2021,1.0
REGION1,RWBMCCSPN1,2021,1.0
REGION1,RWCOCCSPN1,2021,1.0
REGION1,RWBATTN1,2021,1.0
REGION1,BIELRWPH1,2021,1.0
REGION1,CDELRWPH1,2021,1.0
REGION1,RWELBIPH1,2021,1.0
REGION1,UGELRWPH1,2021,1.0
REGION1,RWBACKSTOP,2022,1.0
REGION1,RWCOSCPH1,2022,1.0
REGION1,RWWINDPH1,2022,0.05
REGION1,RWNGGCPH1,2022,1.0
REGION1,RWLFRCPH1,2022,1.0
REGION1,RWHFGCPH1,2022,1.0
REGION1,RWBMCHPH1,2022,1.0
REGION1,RWHYDMSH1,2022,1.0
REGION1,RWCOSCPN1,2022,1.0
REGION1,RWWINDPN1,2022,0.05
REGION1,RWNGGCPN1,2022,1.0
REGION1,RWLFRCPN1,2022,1.0
REGION1,RWHFGCPN1,2022,1.0
REGION1,RWBMCHPN1,2022,1.0
REGION1,RWHYDMSN1,2022,1.0
REGION1,RWSOU1PN1,2022,0.0
REGION1,RWNGCCSPN1,2022,1.0
REGION1,RWBMCCSPN1,2022,1.0
REGION1,RWCOCCSPN1,2022,1.0
REGION1,RWBATTN1,2022,1.0
REGION1,BIELRWPH1,2022,1.0
REGION1,CDELRWPH1,2022,1.0
REGION1,RWELBIPH1,2022,1.0
REGION1,UGELRWPH1,2022,1.0
REGION1,RWBACKSTOP,2023,1.0
REGION1,RWCOSCPH1,2023,1.0
REGION1,RWWINDPH1,2023,0.05
REGION1,RWNGGCPH1,2023,1.0
REGION1,RWLFRCPH1,2023,1.0
REGION1,RWHFGCPH1,2023,1.0
REGION1,RWBMCHPH1,2023,1.0
REGION1,RWHYDMSH1,2023,1.0
REGION1,RWCOSCPN1,2023,1.0
REGION1,RWWINDPN1,2023,0.05
REGION1,RWNGGCPN1,2023,1.0
