REGION,YEAR,VALUE
REGION1,2021,1.0
REGION1,2022,1.0
REGION1,2023,1.0
REGION1,2024,1.0
REGION1,2025,1.0
REGION1,2026,1.0
REGION1,2027,1.0
REGION1,2028,1.0
REGION1,2029,1.0
REGION1,2030,1.0
REGION1,2031,1.1
REGION1,2032,1.1
REGION1,2033,1.1
REGION1,2034,1.1
REGION1,2035,1.1
REGION1,2036,1.1
REGION1,2037,1.1
REGION1,2038,1.1
REGION1,2039,1.1
REGION1,2040,1.1
REGION1,2041,1.1
REGION1,2042,1.1
REGION1,2043,1.1
REGION1,2044,1.1
REGION1,2045,1.1
REGION1,2046,1.1
REGION1,2047,1.1
REGION1,2048,1.1
REGION1,2049,1.1
REGION1,2050,1.1
REGION1,2051,1.1
REGION1,2052,1.1
REGION1,2053,1.1
REGION1,2054,1.1
REGION1,2055,1.1
