REGION,FUEL,YEAR,VALUE
REGION1,ATE1,2021,1.0
REGION1,BEE1,2021,1.0
REGION1,BGE1,2021,1.0
REGION1,CHE1,2021,1.0
REGION1,CYE1,2021,1.0
REGION1,CZE1,2021,1.0
REGION1,DEE1,2021,1.0
REGION1,DKE1,2021,1.0
REGION1,EEE1,2021,1.0
REGION1,ESE1,2021,1.0
REGION1,FIE1,2021,1.0
REGION1,FRE1,2021,1.0
REGION1,GRE1,2021,1.0
REGION1,HRE1,2021,1.0
REGION1,HUE1,2021,1.0
REGION1,IEE1,2021,1.0
REGION1,ITE1,2021,1.0
REGION1,LTE1,2021,1.0
REGION1,LUE1,2021,1.0
REGION1,LVE1,2021,1.0
REGION1,MTE1,2021,1.0
REGION1,NLE1,2021,1.0
REGION1,NOE1,2021,1.0
REGION1,PLE1,2021,1.0
REGION1,PTE1,2021,1.0
REGION1,ROE1,2021,1.0
REGION1,SEE1,2021,1.0
REGION1,SIE1,2021,1.0
REGION1,SKE1,2021,1.0
REGION1,UKE1,2021,1.0
REGION1,DZE1,2021,1.0
REGION1,AOE1,2021,1.0
REGION1,BJE1,2021,1.0
REGION1,BWE1,2021,1.0
REGION1,BFE1,2021,1.0
REGION1,BIE1,2021,1.0
REGION1,CME1,2021,1.0
REGION1,CFE1,2021,1.0
REGION1,TDE1,2021,1.0
REGION1,CIE1,2021,1.0
REGION1,DJE1,2021,1.0
REGION1,CDE1,2021,1.0
REGION1,EGE1,2021,1.0
REGION1,GQE1,2021,1.0
REGION1,ERE1,2021,1.0
REGION1,SZE1,2021,1.0
REGION1,ETE1,2021,1.0
REGION1,GAE1,2021,1.0
REGION1,GME1,2021,1.0
REGION1,GHE1,2021,1.0
REGION1,GNE1,2021,1.0
REGION1,GWE1,2021,1.0
REGION1,KEE1,2021,1.0
REGION1,LSE1,2021,1.0
REGION1,LRE1,2021,1.0
REGION1,LYE1,2021,1.0
REGION1,MWE1,2021,1.0
REGION1,MLE1,2021,1.0
REGION1,MRE1,2021,1.0
REGION1,MAE1,2021,1.0
REGION1,MZE1,2021,1.0
REGION1,NAE1,2021,1.0
REGION1,NEE1,2021,1.0
REGION1,NGE1,2021,1.0
REGION1,CGE1,2021,1.0
REGION1,RWE1,2021,1.0
REGION1,SNE1,2021,1.0
REGION1,SLE1,2021,1.0
REGION1,SOE1,2021,1.0
REGION1,ZAE1,2021,1.0
REGION1,SSE1,2021,1.0
REGION1,SDE1,2021,1.0
REGION1,TZE1,2021,1.0
REGION1,TGE1,2021,1.0
REGION1,TNE1,2021,1.0
REGION1,UGE1,2021,1.0
REGION1,ZME1,2021,1.0
REGION1,ZWE1,2021,1.0
REGION1,ATE1,2022,1.0
REGION1,BEE1,2022,1.0
REGION1,BGE1,2022,1.0
REGION1,CHE1,2022,1.0
REGION1,CYE1,2022,1.0
REGION1,CZE1,2022,1.0
REGION1,DEE1,2022,1.0
REGION1,DKE1,2022,1.0
REGION1,EEE1,2022,1.0
REGION1,ESE1,2022,1.0
REGION1,FIE1,2022,1.0
REGION1,FRE1,2022,1.0
REGION1,GRE1,2022,1.0
REGION1,HRE1,2022,1.0
REGION1,HUE1,2022,1.0
REGION1,IEE1,2022,1.0
REGION1,ITE1,2022,1.0
REGION1,LTE1,2022,1.0
REGION1,LUE1,2022,1.0
REGION1,LVE1,2022,1.0
REGION1,MTE1,2022,1.0
REGION1,NLE1,2022,1.0
REGION1,NOE1,2022,1.0
REGION1,PLE1,2022,1.0
REGION1,PTE1,2022,1.0
REGION1,ROE1,2022,1.0
REGION1,SEE1,2022,1.0
REGION1,SIE1,2022,1.0
REGION1,SKE1,2022,1.0
REGION1,UKE1,2022,1.0
REGION1,DZE1,2022,1.0
REGION1,AOE1,2022,1.0
REGION1,BJE1,2022,1.0
REGION1,BWE1,2022,1.0
REGION1,BFE1,2022,1.0
REGION1,BIE1,2022,1.0
REGION1,CME1,2022,1.0
REGION1,CFE1,2022,1.0
REGION1,TDE1,2022,1.0
REGION1,CIE1,2022,1.0
REGION1,DJE1,2022,1.0
REGION1,CDE1,2022,1.0
REGION1,EGE1,2022,1.0
REGION1,GQE1,2022,1.0
REGION1,ERE1,2022,1.0
REGION1,SZE1,2022,1.0
REGION1,ETE1,2022,1.0
REGION1,GAE1,2022,1.0
REGION1,GME1,2022,1.0
REGION1,GHE1,2022,1.0
REGION1,GNE1,2022,1.0
REGION1,GWE1,2022,1.0
REGION1,KEE1,2022,1.0
REGION1,LSE1,2022,1.0
REGION1,LRE1,2022,1.0
REGION1,LYE1,2022,1.0
REGION1,MWE1,2022,1.0
REGION1,MLE1,2022,1.0
REGION1,MRE1,2022,1.0
REGION1,MAE1,2022,1.0
REGION1,MZE1,2022,1.0
REGION1,NAE1,2022,1.0
REGION1,NEE1,2022,1.0
REGION1,NGE1,2022,1.0
REGION1,CGE1,2022,1.0
REGION1,RWE1,2022,1.0
REGION1,SNE1,2022,1.0
REGION1,SLE1,2022,1.0
REGION1,SOE1,2022,1.0
REGION1,ZAE1,2022,1.0
REGION1,SSE1,2022,1.0
REGION1,SDE1,2022,1.0
REGION1,TZE1,2022,1.0
REGION1,TGE1,2022,1.0
REGION1,TNE1,2022,1.0
REGION1,UGE1,2022,1.0
REGION1,ZME1,2022,1.0
REGION1,ZWE1,2022,1.0
REGION1,ATE1,2023,1.0
REGION1,BEE1,2023,1.0
REGION1,BGE1,2023,1.0
REGION1,CHE1,2023,1.0
REGION1,CYE1,2023,1.0
REGION1,CZE1,2023,1.0
REGION1,DEE1,2023,1.0
REGION1,DKE1,2023,1.0
REGION1,EEE1,2023,1.0
REGION1,ESE1,2023,1.0
REGION1,FIE1,2023,1.0
REGION1,FRE1,2023,1.0
REGION1,GRE1,2023,1.0
REGION1,HRE1,2023,1.0
REGION1,HUE1,2023,1.0
REGION1,IEE1,2023,1.0
REGION1,ITE1,2023,1.0
REGION1,LTE1,2023,1.0
REGION1,LUE1,2023,1.0
REGION1,LVE1,2023,1.0
REGION1,MTE1,2023,1.0
REGION1,NLE1,2023,1.0
REGION1,NOE1,2023,1.0
REGION1,PLE1,2023,1.0
REGION1,PTE1,2023,1.0
REGION1,ROE1,2023,1.0
REGION1,SEE1,2023,1.0
REGION1,SIE1,2023,1.0
REGION1,SKE1,2023,1.0
REGION1,UKE1,2023,1.0
REGION1,DZE1,2023,1.0
REGION1,AOE1,2023,1.0
REGION1,BJE1,2023,1.0
