REGION,TECHNOLOGY,YEAR,VALUE
REGION1,ATCOCHPH1,2021,0.246
REGION1,ATNGCCPH1,2021,0.5867
REGION1,ATNGCHPH1,2021,3.356
REGION1,ATNGGCPH1,2021,0.24465
REGION1,ATNGHPFH1,2021,0.0222564
REGION1,ATNGSTPH1,2021,0.828299999999999
REGION1,ATBFCHPH1,2021,0.003
REGION1,ATBFHPFH1,2021,0.0414986666666666
REGION1,ATDGCHPH1,2021,0.162
REGION1,ATDGELH1,2021,0.2683
REGION1 ,ATRGCHPH1,2021,0.0864
REGION1,ATDSCHPH1,2021,0.005
REGION1,ATDSELH1,2021,0.00179
REGION1,ATHFCHPH1,2021,0.08
REGION1,ATHFSTPH1,2021,0.0477049999999999
REGION1,ATBMSTPH1,2021,0.1718645
REGION1,ATBMCHPH1,2021,0.387
REGION1,ATWSCHPH1,2021,0.067
REGION1,ATWSSTPH1,2021,0.018456
REGION1,ATWIONPH1,2021,3.40831
REGION1,ATSOUTPH1,2021,2.22662422
REGION1,ATGOCVPH1,2021,0.00095
REGION1,ATHYDMPH1,2021,3.0127
REGION1,ATHYDSPH1,2021,5.99952
REGION1,ATHYDRPH1,2021,5.4945715
REGION1,BENUG2PH1,2021,5.918
REGION1,BECOCHPH1,2021,0.014
REGION1,BECOSTPH1,2021,0.0315
REGION1,BENGCCPH1,2021,3.50355665
REGION1,BENGCHPH1,2021,2.143
REGION1,BEBFHPFH1,2021,0.0538269
REGION1,BEBFCHPH1,2021,0.172
REGION1,BEDGELH1,2021,0.330125
REGION1,BERGCHPH1,2021,0.14
REGION1,BEDSCHPH1,2021,0.042
REGION1,BEDSELH1,2021,0.127515
REGION1,BEHFCHPH1,2021,0.03
REGION1,BEHFSTPH1,2021,0.04298
REGION1,BEWSCHPH1,2021,0.087
REGION1,BEWSSTPH1,2021,0.1002
REGION1,BEWIOFPH1,2021,2.2539
REGION1,BEWIONPH1,2021,2.685215
REGION1,BESOUTPH1,2021,6.0124
REGION1,BEHYDMPH1,2021,0.01712
REGION1,BEHYDSPH1,2021,1.3048
REGION1,BEHYDRPH1,2021,0.0979198
REGION1,BEBMCHPH1,2021,0.382
REGION1,BEBMSTPH1,2021,0.890911
REGION1,BGBFHPFH1,2021,0.0008
REGION1,BGCOCHPH1,2021,0.218
REGION1,BGCOSTPH1,2021,0.1625
REGION1,BGHFCHPH1,2021,0.054
REGION1,BGHYDMPH1,2021,1.682818
REGION1,BGHYDSPH1,2021,1.282
REGION1,BGNGCHPH1,2021,1.011
