REGION,STORAGE,YEAR,VALUE
REGION1,ATHYDSSH1,2021,0.172786176
REGION1,BEHYDSSH1,2021,0.03757824
REGION1,BGHYDSSH1,2021,0.0369216
REGION1,CZHYDSSH1,2021,0.033043968
REGION1,DEHYDSSH1,2021,0.192259008
REGION1,GRHYDSSH1,2021,0.0201312
REGION1,ESHYDSSH1,2021,0.181071936
REGION1,FRHYDSSH1,2021,0.1704355199999997
REGION1,HRHYDSSH1,2021,0.00846144
REGION1,IEHYDSSH1,2021,0.0084096
REGION1,ITHYDSSH1,2021,0.2184566399999997
REGION1,LTHYDSSH1,2021,0.02592
REGION1,LUHYDSSH1,2021,0.034776
REGION1,SLHYDSSH1,2021,0.051332256
REGION1,STHYDSSH1,2021,0.07291008
REGION1,ROHYDSSH1,2021,0.0057168
REGION1,SEHYDSSH1,2021,0.0026496
REGION1,SIHYDSSH1,2021,0.0051264
REGION1,SKHYDSSH1,2021,0.0264096
REGION1,CHHYDSSH1,2021,0.0161856
REGION1,UKHYDSSH1,2021,0.07488
REGION1,ATBATSH1,2021,5.112e-05
REGION1,BEBATSH1,2021,7.2e-05
REGION1,BGBATSH1,2021,0.0
REGION1,CHBATSH1,2021,0.0
REGION1,CYBATSH1,2021,0.0
REGION1,CZBATSH1,2021,0.0
REGION1,DEBATSH1,2021,0.0
REGION1,DKBATSH1,2021,0.0
REGION1,EEBATSH1,2021,0.0
REGION1,GRBATSH1,2021,0.0013996404
REGION1,ESBATSH1,2021,0.0
REGION1,FIBATSH1,2021,0.0
REGION1,FRBATSH1,2021,0.0
REGION1,HRBATSH1,2021,0.000590184
REGION1,HUBATSH1,2021,0.0
REGION1,IEBATSH1,2021,0.0
REGION1,ITBATSH1,2021,0.0
REGION1,LTBATSH1,2021,0.0
REGION1,LUBATSH1,2021,0.0
REGION1,LVBATSH1,2021,0.0
REGION1,MTBATSH1,2021,0.0
REGION1,NLBATSH1,2021,0.0
REGION1,NOBATSH1,2021,0.0
REGION1,PLBATSH1,2021,0.0
