REGION,TECHNOLOGY,YEAR,VALUE
REGION1,SDBACKSTOP,2021,1.0
REGION1,SDSOU1PH1,2021,0.0
REGION1,SDLFRCPH1,2021,1.0
REGION1,SDHFGCPH1,2021,1.0
REGION1,SDBMCHPH1,2021,1.0
REGION1,SDHYDMSH1,2021,1.0
REGION1,SDSOU1PN1,2021,0.0
REGION1,SDLFRCPN1,2021,1.0
REGION1,SDHFGCPN1,2021,1.0
REGION1,SDBMCHPN1,2021,1.0
REGION1,SDHYDMSN1,2021,1.0
REGION1,SDNGCCPN1,2021,1.0
REGION1,SDWINDPN1,2021,0.05
REGION1,SDNGCCSPN1,2021,1.0
REGION1,SDBMCCSPN1,2021,1.0
REGION1,SDBATTN1,2021,1.0
REGION1,EGELSDPH1,2021,1.0
REGION1,ETELSDPH1,2021,1.0
REGION1,SDBACKSTOP,2022,1.0
REGION1,SDSOU1PH1,2022,0.0
REGION1,SDLFRCPH1,2022,1.0
REGION1,SDHFGCPH1,2022,1.0
REGION1,SDBMCHPH1,2022,1.0
REGION1,SDHYDMSH1,2022,1.0
REGION1,SDSOU1PN1,2022,0.0
REGION1,SDLFRCPN1,2022,1.0
REGION1,SDHFGCPN1,2022,1.0
REGION1,SDBMCHPN1,2022,1.0
REGION1,SDHYDMSN1,2022,1.0
REGION1,SDNGCCPN1,2022,1.0
REGION1,SDWINDPN1,2022,0.05
REGION1,SDNGCCSPN1,2022,1.0
REGION1,SDBMCCSPN1,2022,1.0
REGION1,SDBATTN1,2022,1.0
REGION1,EGELSDPH1,2022,1.0
REGION1,ETELSDPH1,2022,1.0
REGION1,SDBACKSTOP,2023,1.0
REGION1,SDSOU1PH1,2023,0.0
REGION1,SDLFRCPH1,2023,1.0
REGION1,SDHFGCPH1,2023,1.0
REGION1,SDBMCHPH1,2023,1.0
REGION1,SDHYDMSH1,2023,1.0
REGION1,SDSOU1PN1,2023,0.0
REGION1,SDLFRCPN1,2023,1.0
REGION1,SDHFGCPN1,2023,1.0
REGION1,SDBMCHPN1,2023,1.0
REGION1,SDHYDMSN1,2023,1.0
REGION1,SDNGCCPN1,2023,1.0
REGION1,SDWINDPN1,2023,0.05
