REGION,TECHNOLOGY,YEAR,VALUE
REGION1,SEBACKSTOP,2021,1.0
REGION1,SEBMCHPH1,2021,1.0
REGION1,SECOCHPH1,2021,1.0
REGION1,SEHFCHPH1,2021,1.0
REGION1,SEHYDMPH1,2021,1.0
REGION1,SEHYDSPH1,2021,1.0
REGION1,SENGCCPH1,2021,1.0
REGION1,SENGCHPH1,2021,1.0
REGION1,SENUG2PH1,2021,1.0
REGION1,SESOUTPH1,2021,0.0
REGION1,SEWIOFPH1,2021,1.0
REGION1,SEWIONPH1,2021,1.0
REGION1,SEWSCHPH1,2021,1.0
REGION1,SELICHPH1,2021,1.0
REGION1,SEBFCHPH1,2021,1.0
REGION1,SEDGCHPH1,2021,1.0
REGION1,SEDSCHPH1,2021,1.0
REGION1,SEDSELH1,2021,1.0
REGION1,SEHFSTPH1,2021,1.0
REGION1,SEHYDRPH1,2021,1.0
REGION1,SEBMCHPN1,2021,1.0
REGION1,SECOCHPN1,2021,1.0
REGION1,SEHFCHPN1,2021,1.0
REGION1,SEHYDMPN1,2021,1.0
REGION1,SEHYDSPN1,2021,1.0
REGION1,SENGCCPN1,2021,1.0
REGION1,SENGCHPN1,2021,1.0
REGION1,SENUG2PN1,2021,1.0
REGION1,SESOUTPN1,2021,0.0
REGION1,SEWIOFPN1,2021,1.0
REGION1,SEWIONPN1,2021,1.0
REGION1,SEWSCHPN1,2021,1.0
REGION1,SELICHPN1,2021,1.0
REGION1,SEBFCHPN1,2021,1.0
REGION1,SEDGCHPN1,2021,1.0
REGION1,SEDSCHPN1,2021,1.0
REGION1,SEDSELN1,2021,1.0
REGION1,SEHFSTPN1,2021,1.0
REGION1,SEHYDRPN1,2021,1.0
REGION1,SENGCCSN1,2021,1.0
REGION1,SEBMCCSN1,2021,1.0
REGION1,SEBATTH1,2021,1.0
REGION1,DKELSEPH1,2021,1.0
REGION1,FIELSEPH1,2021,1.0
REGION1,DEELSEPH1,2021,1.0
REGION1,LTELSEPH1,2021,1.0
REGION1,NOELSEPH1,2021,1.0
REGION1,PLELSEPH1,2021,1.0
REGION1,SEBACKSTOP,2022,1.0
REGION1,SEBMCHPH1,2022,1.0
