REGION,TECHNOLOGY,YEAR,VALUE
REGION1,SIBACKSTOP,2021,1.0
REGION1,SIHFCHPH1,2021,1.0
REGION1,SIHFSTPH1,2021,1.0
REGION1,SIHYDMPH1,2021,1.0
REGION1,SINGCHPH1,2021,1.0
REGION1,SINUG2PH1,2021,1.0
REGION1,SISOUTPH1,2021,0.0
REGION1,SIWIONPH1,2021,1.0
REGION1,SILICHPH1,2021,1.0
REGION1,SINGCCPH1,2021,1.0
REGION1,SIBFCHPH1,2021,1.0
REGION1,SIDSCHPH1,2021,1.0
REGION1,SIDSELH1,2021,1.0
REGION1,SIBMCHPH1,2021,1.0
REGION1,SIWSCHPH1,2021,1.0
REGION1,SIHYDRPH1,2021,1.0
REGION1,SIHYDSPH1,2021,1.0
REGION1,SIHFCHPN1,2021,1.0
REGION1,SIHFSTPN1,2021,1.0
REGION1,SIHYDMPN1,2021,1.0
REGION1,SINGCHPN1,2021,1.0
REGION1,SINUG2PN1,2021,1.0
REGION1,SISOUTPN1,2021,0.0
REGION1,SIWIONPN1,2021,1.0
REGION1,SILICHPN1,2021,1.0
REGION1,SINGCCPN1,2021,1.0
REGION1,SIBFCHPN1,2021,1.0
REGION1,SIDSCHPN1,2021,1.0
REGION1,SIDSELN1,2021,1.0
REGION1,SIBMCHPN1,2021,1.0
REGION1,SIWSCHPN1,2021,1.0
REGION1,SIHYDRPN1,2021,1.0
REGION1,SIHYDSPN1,2021,1.0
REGION1,SINGCCSN1,2021,1.0
REGION1,SIBMCCSN1,2021,1.0
REGION1,SIBATTH1,2021,1.0
REGION1,ATELSIPH1,2021,1.0
REGION1,HRELSIPH1,2021,1.0
REGION1,HUELSIPH1,2021,1.0
REGION1,ITELSIPH1,2021,1.0
REGION1,SIBACKSTOP,2022,1.0
REGION1,SIHFCHPH1,2022,1.0
REGION1,SIHFSTPH1,2022,1.0
REGION1,SIHYDMPH1,2022,1.0
REGION1,SINGCHPH1,2022,1.0
REGION1,SINUG2PH1,2022,1.0
REGION1,SISOUTPH1,2022,0.0
REGION1,SIWIONPH1,2022,1.0
REGION1,SILICHPH1,2022,1.0
REGION1,SINGCCPH1,2022,1.0
REGION1,SIBFCHPH1,2022,1.0
REGION1,SIDSCHPH1,2022,1.0
REGION1,SIDSELH1,2022,1.0
REGION1,SIBMCHPH1,2022,1.0
REGION1,SIWSCHPH1,2022,1.0
REGION1,SIHYDRPH1,2022,1.0
REGION1,SIHYDSPH1,2022,1.0
REGION1,SIHFCHPN1,2022,1.0
REGION1,SIHFSTPN1,2022,1.0
REGION1,SIHYDMPN1,2022,1.0
REGION1,SINGCHPN1,2022,1.0
REGION1,SINUG2PN1,2022,1.0
REGION1,SISOUTPN1,2022,0.0
REGION1,SIWIONPN1,2022,1.0
REGION1,SILICHPN1,2022,1.0
REGION1,SINGCCPN1,2022,1.0
REGION1,SIBFCHPN1,2022,1.0
REGION1,SIDSCHPN1,2022,1.0
REGION1,SIDSELN1,2022,1.0
REGION1,SIBMCHPN1,2022,1.0
REGION1,SIWSCHPN1,2022,1.0
REGION1,SIHYDRPN1,2022,1.0
REGION1,SIHYDSPN1,2022,1.0
REGION1,SINGCCSN1,2022,1.0
REGION1,SIBMCCSN1,2022,1.0
REGION1,SIBATTH1,2022,1.0
REGION1,ATELSIPH1,2022,1.0
REGION1,HRELSIPH1,2022,1.0
REGION1,HUELSIPH1,2022,1.0
REGION1,ITELSIPH1,2022,1.0
REGION1,SIBACKSTOP,2023,1.0
REGION1,SIHFCHPH1,2023,1.0
REGION1,SIHFSTPH1,2023,1.0
REGION1,SIHYDMPH1,2023,1.0
REGION1,SINGCHPH1,2023,1.0
REGION1,SINUG2PH1,2023,1.0
REGION1,SISOUTPH1,2023,0.0
REGION1,SIWIONPH1,2023,1.0
REGION1,SILICHPH1,2023,1.0
REGION1,SINGCCPH1,2023,1.0
REGION1,SIBFCHPH1,2023,1.0
REGION1,SIDSCHPH1,2023,1.0
REGION1,SIDSELH1,2023,1.0
REGION1,SIBMCHPH1,2023,1.0
REGION1,SIWSCHPH1,2023,1.0
REGION1,SIHYDRPH1,2023,1.0
REGION1,SIHYDSPH1,2023,1.0
REGION1,SIHFCHPN1,2023,1.0
REGION1,SIHFSTPN1,2023,1.0
