REGION,TECHNOLOGY,YEAR,VALUE
REGION1,SKBACKSTOP,2021,1.0
REGION1,SKBFHPFH1,2021,1.0
REGION1,SKBMSTPH1,2021,1.0
REGION1,SKCOCHPH1,2021,1.0
REGION1,SKHFCHPH1,2021,1.0
REGION1,SKHYDMPH1,2021,1.0
REGION1,SKHYDSPH1,2021,1.0
REGION1,SKNGCCPH1,2021,1.0
REGION1,SKNGCHPH1,2021,1.0
REGION1,SKNUG2PH1,2021,1.0
REGION1,SKSOUTPH1,2021,0.0
REGION1,SKWIONPH1,2021,1.0
REGION1,SKWSCHPH1,2021,1.0
REGION1,SKLICHPH1,2021,1.0
REGION1,SKLIELH1,2021,1.0
REGION1,SKBFCHPH1,2021,1.0
REGION1,SKDGCHPH1,2021,1.0
REGION1,SKRGCHPH1,2021,1.0
REGION1,SKDSCHPH1,2021,1.0
REGION1,SKDSELH1,2021,1.0
REGION1,SKBMCHPH1,2021,1.0
REGION1,SKHYDRPH1,2021,1.0
REGION1,SKBFHPFN1,2021,1.0
REGION1,SKBMSTPN1,2021,1.0
REGION1,SKCOCHPN1,2021,1.0
REGION1,SKHFCHPN1,2021,1.0
REGION1,SKHYDMPN1,2021,1.0
REGION1,SKHYDSPN1,2021,1.0
REGION1,SKNGCCPN1,2021,1.0
REGION1,SKNGCHPN1,2021,1.0
REGION1,SKNUG2PN1,2021,1.0
REGION1,SKSOUTPN1,2021,0.0
REGION1,SKWIONPN1,2021,1.0
REGION1,SKWSCHPN1,2021,1.0
REGION1,SKLICHPN1,2021,1.0
REGION1,SKLIELN1,2021,1.0
REGION1,SKBFCHPN1,2021,1.0
REGION1,SKDGCHPN1,2021,1.0
REGION1,SKRGCHPN1,2021,1.0
REGION1,SKDSCHPN1,2021,1.0
REGION1,SKDSELN1,2021,1.0
REGION1,SKBMCHPN1,2021,1.0
REGION1,SKHYDRPN1,2021,1.0
REGION1,SKNGCCSN1,2021,1.0
REGION1,SKBMCCSN1,2021,1.0
REGION1,SKBATTH1,2021,1.0
REGION1,CZELSKPH1,2021,1.0
