REGION,TECHNOLOGY,YEAR,VALUE
REGION1,SLBACKSTOP,2021,1.0
REGION1,SLWINDPH1,2021,0.05
REGION1,SLLFRCPH1,2021,1.0
REGION1,SLHFGCPH1,2021,1.0
REGION1,SLBMCHPH1,2021,1.0
REGION1,SLHYDMSH1,2021,1.0
REGION1,SLWINDPN1,2021,0.05
REGION1,SLLFRCPN1,2021,1.0
REGION1,SLHFGCPN1,2021,1.0
REGION1,SLBMCHPN1,2021,1.0
REGION1,SLHYDMSN1,2021,1.0
REGION1,SLNGCCPN1,2021,1.0
REGION1,SLSOU1PN1,2021,0.0
REGION1,SLNGCCSPN1,2021,1.0
REGION1,SLBMCCSPN1,2021,1.0
REGION1,SLBATTN1,2021,1.0
REGION1,SLBACKSTOP,2022,1.0
REGION1,SLWINDPH1,2022,0.05
REGION1,SLLFRCPH1,2022,1.0
REGION1,SLHFGCPH1,2022,1.0
REGION1,SLBMCHPH1,2022,1.0
REGION1,SLHYDMSH1,2022,1.0
REGION1,SLWINDPN1,2022,0.05
REGION1,SLLFRCPN1,2022,1.0
REGION1,SLHFGCPN1,2022,1.0
REGION1,SLBMCHPN1,2022,1.0
REGION1,SLHYDMSN1,2022,1.0
REGION1,SLNGCCPN1,2022,1.0
REGION1,SLSOU1PN1,2022,0.0
REGION1,SLNGCCSPN1,2022,1.0
REGION1,SLBMCCSPN1,2022,1.0
REGION1,SLBATTN1,2022,1.0
REGION1,SLBACKSTOP,2023,1.0
REGION1,SLWINDPH1,2023,0.05
REGION1,SLLFRCPH1,2023,1.0
REGION1,SLHFGCPH1,2023,1.0
REGION1,SLBMCHPH1,2023,1.0
REGION1,SLHYDMSH1,2023,1.0
REGION1,SLWINDPN1,2023,0.05
REGION1,SLLFRCPN1,2023,1.0
REGION1,SLHFGCPN1,2023,1.0
REGION1,SLBMCHPN1,2023,1.0
REGION1,SLHYDMSN1,2023,1.0
REGION1,SLNGCCPN1,2023,1.0
REGION1,SLSOU1PN1,2023,0.0
REGION1,SLNGCCSPN1,2023,1.0
REGION1,SLBMCCSPN1,2023,1.0
REGION1,SLBATTN1,2023,1.0
REGION1,SLBACKSTOP,2024,1.0
REGION1,SLWINDPH1,2024,0.05
REGION1,SLLFRCPH1,2024,1.0
REGION1,SLHFGCPH1,2024,1.0
REGION1,SLBMCHPH1,2024,1.0
REGION1,SLHYDMSH1,2024,1.0
REGION1,SLWINDPN1,2024,0.05
REGION1,SLLFRCPN1,2024,1.0
REGION1,SLHFGCPN1,2024,1.0
REGION1,SLBMCHPN1,2024,1.0
REGION1,SLHYDMSN1,2024,1.0
REGION1,SLNGCCPN1,2024,1.0
REGION1,SLSOU1PN1,2024,0.0
REGION1,SLNGCCSPN1,2024,1.0
REGION1,SLBMCCSPN1,2024,1.0
REGION1,SLBATTN1,2024,1.0
REGION1,SLBACKSTOP,2025,1.0
REGION1,SLWINDPH1,2025,0.05
REGION1,SLLFRCPH1,2025,1.0
REGION1,SLHFGCPH1,2025,1.0
REGION1,SLBMCHPH1,2025,1.0
REGION1,SLHYDMSH1,2025,1.0
REGION1,SLWINDPN1,2025,0.05
REGION1,SLLFRCPN1,2025,1.0
REGION1,SLHFGCPN1,2025,1.0
REGION1,SLBMCHPN1,2025,1.0
REGION1,SLHYDMSN1,2025,1.0
REGION1,SLNGCCPN1,2025,1.0
REGION1,SLSOU1PN1,2025,0.0
REGION1,SLNGCCSPN1,2025,1.0
REGION1,SLBMCCSPN1,2025,1.0
REGION1,SLBATTN1,2025,1.0
REGION1,SLBACKSTOP,2026,1.0
REGION1,SLWINDPH1,2026,0.05
REGION1,SLLFRCPH1,2026,1.0
REGION1,SLHFGCPH1,2026,1.0
REGION1,SLBMCHPH1,2026,1.0
REGION1,SLHYDMSH1,2026,1.0
REGION1,SLWINDPN1,2026,0.05
REGION1,SLLFRCPN1,2026,1.0
REGION1,SLHFGCPN1,2026,1.0
REGION1,SLBMCHPN1,2026,1.0
REGION1,SLHYDMSN1,2026,1.0
REGION1,SLNGCCPN1,2026,1.0
REGION1,SLSOU1PN1,2026,0.0
REGION1,SLNGCCSPN1,2026,1.0
REGION1,SLBMCCSPN1,2026,1.0
REGION1,SLBATTN1,2026,1.0
REGION1,SLBACKSTOP,2027,1.0
REGION1,SLWINDPH1,2027,0.05
REGION1,SLLFRCPH1,2027,1.0
REGION1,SLHFGCPH1,2027,1.0
REGION1,SLBMCHPH1,2027,1.0
REGION1,SLHYDMSH1,2027,1.0
REGION1,SLWINDPN1,2027,0.05
REGION1,SLLFRCPN1,2027,1.0
REGION1,SLHFGCPN1,2027,1.0
REGION1,SLBMCHPN1,2027,1.0
REGION1,SLHYDMSN1,2027,1.0
REGION1,SLNGCCPN1,2027,1.0
REGION1,SLSOU1PN1,2027,0.0
REGION1,SLNGCCSPN1,2027,1.0
REGION1,SLBMCCSPN1,2027,1.0
REGION1,SLBATTN1,2027,1.0
REGION1,SLBACKSTOP,2028,1.0
REGION1,SLWINDPH1,2028,0.05
REGION1,SLLFRCPH1,2028,1.0
REGION1,SLHFGCPH1,2028,1.0
REGION1,SLBMCHPH1,2028,1.0
REGION1,SLHYDMSH1,2028,1.0
REGION1,SLWINDPN1,2028,0.05
REGION1,SLLFRCPN1,2028,1.0
REGION1,SLHFGCPN1,2028,1.0
REGION1,SLBMCHPN1,2028,1.0
