REGION,TECHNOLOGY,YEAR,VALUE
REGION1,SNBACKSTOP,2021,1.0
REGION1,SNNGCCPH1,2021,1.0
REGION1,SNLFRCPH1,2021,1.0
REGION1,SNHFGCPH1,2021,1.0
REGION1,SNSOU1PH1,2021,0.0
REGION1,SNHYDMSH1,2021,1.0
REGION1,SNCOSCPH1,2021,1.0
REGION1,SNBMCHPH1,2021,1.0
REGION1,SNNGCCPN1,2021,1.0
REGION1,SNLFRCPN1,2021,1.0
REGION1,SNHFGCPN1,2021,1.0
REGION1,SNSOU1PN1,2021,0.0
REGION1,SNHYDMSN1,2021,1.0
REGION1,SNCOSCPN1,2021,1.0
REGION1,SNBMCHPN1,2021,1.0
REGION1,SNWINDPN1,2021,0.05
REGION1,SNNGCCSPN1,2021,1.0
REGION1,SNBMCCSPN1,2021,1.0
REGION1,SNCOCCSPN1,2021,1.0
REGION1,SNWINDPH1,2021,0.05
REGION1,SNBATTN1,2021,1.0
REGION1,SNELMLPH1,2021,1.0
REGION1,SNBACKSTOP,2022,1.0
REGION1,SNNGCCPH1,2022,1.0
REGION1,SNLFRCPH1,2022,1.0
REGION1,SNHFGCPH1,2022,1.0
REGION1,SNSOU1PH1,2022,0.0
REGION1,SNHYDMSH1,2022,1.0
REGION1,SNCOSCPH1,2022,1.0
REGION1,SNBMCHPH1,2022,1.0
REGION1,SNNGCCPN1,2022,1.0
REGION1,SNLFRCPN1,2022,1.0
REGION1,SNHFGCPN1,2022,1.0
REGION1,SNSOU1PN1,2022,0.0
REGION1,SNHYDMSN1,2022,1.0
REGION1,SNCOSCPN1,2022,1.0
REGION1,SNBMCHPN1,2022,1.0
REGION1,SNWINDPN1,2022,0.05
REGION1,SNNGCCSPN1,2022,1.0
REGION1,SNBMCCSPN1,2022,1.0
REGION1,SNCOCCSPN1,2022,1.0
REGION1,SNWINDPH1,2022,0.05
REGION1,SNBATTN1,2022,1.0
REGION1,SNELMLPH1,2022,1.0
REGION1,SNBACKSTOP,2023,1.0
REGION1,SNNGCCPH1,2023,1.0
REGION1,SNLFRCPH1,2023,1.0
REGION1,SNHFGCPH1,2023,1.0
REGION1,SNSOU1PH1,2023,0.0
REGION1,SNHYDMSH1,2023,1.0
REGION1,SNCOSCPH1,2023,1.0
REGION1,SNBMCHPH1,2023,1.0
REGION1,SNNGCCPN1,2023,1.0
REGION1,SNLFRCPN1,2023,1.0
REGION1,SNHFGCPN1,2023,1.0
REGION1,SNSOU1PN1,2023,0.0
REGION1,SNHYDMSN1,2023,1.0
REGION1,SNCOSCPN1,2023,1.0
REGION1,SNBMCHPN1,2023,1.0
REGION1,SNWINDPN1,2023,0.05
REGION1,SNNGCCSPN1,2023,1.0
REGION1,SNBMCCSPN1,2023,1.0
REGION1,SNCOCCSPN1,2023,1.0
REGION1,SNWINDPH1,2023,0.05
REGION1,SNBATTN1,2023,1.0
REGION1,SNELMLPH1,2023,1.0
REGION1,SNBACKSTOP,2024,1.0
REGION1,SNNGCCPH1,2024,1.0
REGION1,SNLFRCPH1,2024,1.0
REGION1,SNHFGCPH1,2024,1.0
REGION1,SNSOU1PH1,2024,0.0
REGION1,SNHYDMSH1,2024,1.0
REGION1,SNCOSCPH1,2024,1.0
REGION1,SNBMCHPH1,2024,1.0
REGION1,SNNGCCPN1,2024,1.0
REGION1,SNLFRCPN1,2024,1.0
REGION1,SNHFGCPN1,2024,1.0
REGION1,SNSOU1PN1,2024,0.0
REGION1,SNHYDMSN1,2024,1.0
REGION1,SNCOSCPN1,2024,1.0
REGION1,SNBMCHPN1,2024,1.0
REGION1,SNWINDPN1,2024,0.05
REGION1,SNNGCCSPN1,2024,1.0
REGION1,SNBMCCSPN1,2024,1.0
REGION1,SNCOCCSPN1,2024,1.0
REGION1,SNWINDPH1,2024,0.05
REGION1,SNBATTN1,2024,1.0
REGION1,SNELMLPH1,2024,1.0
REGION1,SNBACKSTOP,2025,1.0
REGION1,SNNGCCPH1,2025,1.0
REGION1,SNLFRCPH1,2025,1.0
REGION1,SNHFGCPH1,2025,1.0
REGION1,SNSOU1PH1,2025,0.0
REGION1,SNHYDMSH1,2025,1.0
REGION1,SNCOSCPH1,2025,1.0
REGION1,SNBMCHPH1,2025,1.0
REGION1,SNNGCCPN1,2025,1.0
REGION1,SNLFRCPN1,2025,1.0
REGION1,SNHFGCPN1,2025,1.0
REGION1,SNSOU1PN1,2025,0.0
REGION1,SNHYDMSN1,2025,1.0
REGION1,SNCOSCPN1,2025,1.0
REGION1,SNBMCHPN1,2025,1.0
REGION1,SNWINDPN1,2025,0.05
REGION1,SNNGCCSPN1,2025,1.0
REGION1,SNBMCCSPN1,2025,1.0
REGION1,SNCOCCSPN1,2025,1.0
REGION1,SNWINDPH1,2025,0.05
REGION1,SNBATTN1,2025,1.0
REGION1,SNELMLPH1,2025,1.0
REGION1,SNBACKSTOP,2026,1.0
REGION1,SNNGCCPH1,2026,1.0
REGION1,SNLFRCPH1,2026,1.0
REGION1,SNHFGCPH1,2026,1.0
REGION1,SNSOU1PH1,2026,0.0
REGION1,SNHYDMSH1,2026,1.0
REGION1,SNCOSCPH1,2026,1.0
REGION1,SNBMCHPH1,2026,1.0
REGION1,SNNGCCPN1,2026,1.0
REGION1,SNLFRCPN1,2026,1.0
REGION1,SNHFGCPN1,2026,1.0
REGION1,SNSOU1PN1,2026,0.0
REGION1,SNHYDMSN1,2026,1.0
REGION1,SNCOSCPN1,2026,1.0
REGION1,SNBMCHPN1,2026,1.0
REGION1,SNWINDPN1,2026,0.05
REGION1,SNNGCCSPN1,2026,1.0
REGION1,SNBMCCSPN1,2026,1.0
REGION1,SNCOCCSPN1,2026,1.0
REGION1,SNWINDPH1,2026,0.05
REGION1,SNBATTN1,2026,1.0
REGION1,SNELMLPH1,2026,1.0
REGION1,SNBACKSTOP,2027,1.0
REGION1,SNNGCCPH1,2027,1.0
REGION1,SNLFRCPH1,2027,1.0
REGION1,SNHFGCPH1,2027,1.0
REGION1,SNSOU1PH1,2027,0.0
REGION1,SNHYDMSH1,2027,1.0
REGION1,SNCOSCPH1,2027,1.0
REGION1,SNBMCHPH1,2027,1.0
REGION1,SNNGCCPN1,2027,1.0
REGION1,SNLFRCPN1,2027,1.0
REGION1,SNHFGCPN1,2027,1.0
REGION1,SNSOU1PN1,2027,0.0
REGION1,SNHYDMSN1,2027,1.0
REGION1,SNCOSCPN1,2027,1.0
REGION1,SNBMCHPN1,2027,1.0
REGION1,SNWINDPN1,2027,0.05
REGION1,SNNGCCSPN1,2027,1.0
REGION1,SNBMCCSPN1,2027,1.0
REGION1,SNCOCCSPN1,2027,1.0
REGION1,SNWINDPH1,2027,0.05
REGION1,SNBATTN1,2027,1.0
REGION1,SNELMLPH1,2027,1.0
REGION1,SNBACKSTOP,2028,1.0
REGION1,SNNGCCPH1,2028,1.0
REGION1,SNLFRCPH1,2028,1.0
REGION1,SNHFGCPH1,2028,1.0
REGION1,SNSOU1PH1,2028,0.0
REGION1,SNHYDMSH1,2028,1.0
REGION1,SNCOSCPH1,2028,1.0
REGION1,SNBMCHPH1,2028,1.0
REGION1,SNNGCCPN1,2028,1.0
REGION1,SNLFRCPN1,2028,1.0
REGION1,SNHFGCPN1,2028,1.0
REGION1,SNSOU1PN1,2028,0.0
REGION1,SNHYDMSN1,2028,1.0
REGION1,SNCOSCPN1,2028,1.0
REGION1,SNBMCHPN1,2028,1.0
REGION1,SNWINDPN1,2028,0.05
REGION1,SNNGCCSPN1,2028,1.0
REGION1,SNBMCCSPN1,2028,1.0
REGION1,SNCOCCSPN1,2028,1.0
REGION1,SNWINDPH1,2028,0.05
REGION1,SNBATTN1,2028,1.0
REGION1,SNELMLPH1,2028,1.0
REGION1,SNBACKSTOP,2029,1.0
REGION1,SNNGCCPH1,2029,1.0
REGION1,SNLFRCPH1,2029,1.0
REGION1,SNHFGCPH1,2029,1.0
REGION1,SNSOU1PH1,2029,0.0
REGION1,SNHYDMSH1,2029,1.0
REGION1,SNCOSCPH1,2029,1.0
REGION1,SNBMCHPH1,2029,1.0
REGION1,SNNGCCPN1,2029,1.0
REGION1,SNLFRCPN1,2029,1.0
REGION1,SNHFGCPN1,2029,1.0
REGION1,SNSOU1PN1,2029,0.0
REGION1,SNHYDMSN1,2029,1.0
REGION1,SNCOSCPN1,2029,1.0
REGION1,SNBMCHPN1,2029,1.0
REGION1,SNWINDPN1,2029,0.05
REGION1,SNNGCCSPN1,2029,1.0
REGION1,SNBMCCSPN1,2029,1.0
REGION1,SNCOCCSPN1,2029,1.0
REGION1,SNWINDPH1,2029,0.05
REGION1,SNBATTN1,2029,1.0
REGION1,SNELMLPH1,2029,1.0
REGION1,SNBACKSTOP,2030,1.0
REGION1,SNNGCCPH1,2030,1.0
REGION1,SNLFRCPH1,2030,1.0
REGION1,SNHFGCPH1,2030,1.0
REGION1,SNSOU1PH1,2030,0.0
REGION1,SNHYDMSH1,2030,1.0
REGION1,SNCOSCPH1,2030,1.0
REGION1,SNBMCHPH1,2030,1.0
REGION1,SNNGCCPN1,2030,1.0
REGION1,SNLFRCPN1,2030,1.0
REGION1,SNHFGCPN1,2030,1.0
REGION1,SNSOU1PN1,2030,0.0
REGION1,SNHYDMSN1,2030,1.0
REGION1,SNCOSCPN1,2030,1.0
REGION1,SNBMCHPN1,2030,1.0
REGION1,SNWINDPN1,2030,0.05
REGION1,SNNGCCSPN1,2030,1.0
REGION1,SNBMCCSPN1,2030,1.0
REGION1,SNCOCCSPN1,2030,1.0
REGION1,SNWINDPH1,2030,0.05
REGION1,SNBATTN1,2030,1.0
REGION1,SNELMLPH1,2030,1.0
REGION1,SNBACKSTOP,2031,1.0
REGION1,SNNGCCPH1,2031,1.0
REGION1,SNLFRCPH1,2031,1.0
REGION1,SNHFGCPH1,2031,1.0
REGION1,SNSOU1PH1,2031,0.0
REGION1,SNHYDMSH1,2031,1.0
REGION1,SNCOSCPH1,2031,1.0
REGION1,SNBMCHPH1,2031,1.0
REGION1,SNNGCCPN1,2031,1.0
REGION1,SNLFRCPN1,2031,1.0
REGION1,SNHFGCPN1,2031,1.0
REGION1,SNSOU1PN1,2031,0.0
REGION1,SNHYDMSN1,2031,1.0
REGION1,SNCOSCPN1,2031,1.0
REGION1,SNBMCHPN1,2031,1.0
REGION1,SNWINDPN1,2031,0.05
REGION1,SNNGCCSPN1,2031,1.0
REGION1,SNBMCCSPN1,2031,1.0
REGION1,SNCOCCSPN1,2031,1.0
REGION1,SNWINDPH1,2031,0.05
REGION1,SNBATTN1,2031,1.0
REGION1,SNELMLPH1,2031,1.0
REGION1,SNBACKSTOP,2032,1.0
REGION1,SNNGCCPH1,2032,1.0
REGION1,SNLFRCPH1,2032,1.0
REGION1,SNHFGCPH1,2032,1.0
