REGION,TECHNOLOGY,YEAR,VALUE
REGION1,SOBACKSTOP,2021,1.0
REGION1,SONGCCPN1,2021,1.0
REGION1,SOSOU1PN1,2021,0.0
REGION1,SOWINDPN1,2021,0.05
REGION1,SONGCCSPN1,2021,1.0
REGION1,SOLFRCPH1,2021,1.0
REGION1,SOLFRCPN1,2021,1.0
REGION1,SOSOU1PH1,2021,0.0
REGION1,SOWINDPH1,2021,0.05
REGION1,SOBATTN1,2021,1.0
REGION1,SOBACKSTOP,2022,1.0
REGION1,SONGCCPN1,2022,1.0
REGION1,SOSOU1PN1,2022,0.0
REGION1,SOWINDPN1,2022,0.05
REGION1,SONGCCSPN1,2022,1.0
REGION1,SOLFRCPH1,2022,1.0
REGION1,SOLFRCPN1,2022,1.0
REGION1,SOSOU1PH1,2022,0.0
REGION1,SOWINDPH1,2022,0.05
REGION1,SOBATTN1,2022,1.0
REGION1,SOBACKSTOP,2023,1.0
REGION1,SONGCCPN1,2023,1.0
REGION1,SOSOU1PN1,2023,0.0
REGION1,SOWINDPN1,2023,0.05
REGION1,SONGCCSPN1,2023,1.0
REGION1,SOLFRCPH1,2023,1.0
REGION1,SOLFRCPN1,2023,1.0
REGION1,SOSOU1PH1,2023,0.0
REGION1,SOWINDPH1,2023,0.05
REGION1,SOBATTN1,2023,1.0
REGION1,SOBACKSTOP,2024,1.0
REGION1,SONGCCPN1,2024,1.0
REGION1,SOSOU1PN1,2024,0.0
REGION1,SOWINDPN1,2024,0.05
REGION1,SONGCCSPN1,2024,1.0
REGION1,SOLFRCPH1,2024,1.0
REGION1,SOLFRCPN1,2024,1.0
REGION1,SOSOU1PH1,2024,0.0
REGION1,SOWINDPH1,2024,0.05
REGION1,SOBATTN1,2024,1.0
REGION1,SOBACKSTOP,2025,1.0
REGION1,SONGCCPN1,2025,1.0
REGION1,SOSOU1PN1,2025,0.0
REGION1,SOWINDPN1,2025,0.05
REGION1,SONGCCSPN1,2025,1.0
REGION1,SOLFRCPH1,2025,1.0
REGION1,SOLFRCPN1,2025,1.0
REGION1,SOSOU1PH1,2025,0.0
REGION1,SOWINDPH1,2025,0.05
REGION1,SOBATTN1,2025,1.0
REGION1,SOBACKSTOP,2026,1.0
REGION1,SONGCCPN1,2026,1.0
REGION1,SOSOU1PN1,2026,0.0
REGION1,SOWINDPN1,2026,0.05
REGION1,SONGCCSPN1,2026,1.0
REGION1,SOLFRCPH1,2026,1.0
REGION1,SOLFRCPN1,2026,1.0
REGION1,SOSOU1PH1,2026,0.0
REGION1,SOWINDPH1,2026,0.05
REGION1,SOBATTN1,2026,1.0
REGION1,SOBACKSTOP,2027,1.0
REGION1,SONGCCPN1,2027,1.0
REGION1,SOSOU1PN1,2027,0.0
