REGION,TECHNOLOGY,YEAR,VALUE
REGION1,SSBACKSTOP,2021,1.0
REGION1,SSWINDPH1,2021,0.05
REGION1,SSLFRCPH1,2021,1.0
REGION1,SSHFGCPH1,2021,1.0
REGION1,SSWINDPN1,2021,0.05
REGION1,SSLFRCPN1,2021,1.0
REGION1,SSHFGCPN1,2021,1.0
REGION1,SSNGCCPN1,2021,1.0
REGION1,SSSOU1PN1,2021,0.0
REGION1,SSNGCCSPN1,2021,1.0
REGION1,SSBATTN1,2021,1.0
REGION1,SSHYDMSN1,2021,1.0
REGION1,SSBACKSTOP,2022,1.0
REGION1,SSWINDPH1,2022,0.05
REGION1,SSLFRCPH1,2022,1.0
REGION1,SSHFGCPH1,2022,1.0
REGION1,SSWINDPN1,2022,0.05
REGION1,SSLFRCPN1,2022,1.0
REGION1,SSHFGCPN1,2022,1.0
REGION1,SSNGCCPN1,2022,1.0
REGION1,SSSOU1PN1,2022,0.0
REGION1,SSNGCCSPN1,2022,1.0
REGION1,SSBATTN1,2022,1.0
REGION1,SSHYDMSN1,2022,1.0
REGION1,SSBACKSTOP,2023,1.0
REGION1,SSWINDPH1,2023,0.05
REGION1,SSLFRCPH1,2023,1.0
REGION1,SSHFGCPH1,2023,1.0
REGION1,SSWINDPN1,2023,0.05
REGION1,SSLFRCPN1,2023,1.0
REGION1,SSHFGCPN1,2023,1.0
REGION1,SSNGCCPN1,2023,1.0
REGION1,SSSOU1PN1,2023,0.0
REGION1,SSNGCCSPN1,2023,1.0
REGION1,SSBATTN1,2023,1.0
REGION1,SSHYDMSN1,2023,1.0
REGION1,SSBACKSTOP,2024,1.0
REGION1,SSWINDPH1,2024,0.05
REGION1,SSLFRCPH1,2024,1.0
REGION1,SSHFGCPH1,2024,1.0
REGION1,SSWINDPN1,2024,0.05
REGION1,SSLFRCPN1,2024,1.0
REGION1,SSHFGCPN1,2024,1.0
REGION1,SSNGCCPN1,2024,1.0
REGION1,SSSOU1PN1,2024,0.0
REGION1,SSNGCCSPN1,2024,1.0
REGION1,SSBATTN1,2024,1.0
REGION1,SSHYDMSN1,2024,1.0
REGION1,SSBACKSTOP,2025,1.0
REGION1,SSWINDPH1,2025,0.05
REGION1,SSLFRCPH1,2025,1.0
REGION1,SSHFGCPH1,2025,1.0
REGION1,SSWINDPN1,2025,0.05
REGION1,SSLFRCPN1,2025,1.0
REGION1,SSHFGCPN1,2025,1.0
REGION1,SSNGCCPN1,2025,1.0
REGION1,SSSOU1PN1,2025,0.0
REGION1,SSNGCCSPN1,2025,1.0
REGION1,SSBATTN1,2025,1.0
REGION1,SSHYDMSN1,2025,1.0
REGION1,SSBACKSTOP,2026,1.0
REGION1,SSWINDPH1,2026,0.05
REGION1,SSLFRCPH1,2026,1.0
REGION1,SSHFGCPH1,2026,1.0
REGION1,SSWINDPN1,2026,0.05
REGION1,SSLFRCPN1,2026,1.0
REGION1,SSHFGCPN1,2026,1.0
REGION1,SSNGCCPN1,2026,1.0
REGION1,SSSOU1PN1,2026,0.0
REGION1,SSNGCCSPN1,2026,1.0
REGION1,SSBATTN1,2026,1.0
REGION1,SSHYDMSN1,2026,1.0
REGION1,SSBACKSTOP,2027,1.0
REGION1,SSWINDPH1,2027,0.05
REGION1,SSLFRCPH1,2027,1.0
REGION1,SSHFGCPH1,2027,1.0
REGION1,SSWINDPN1,2027,0.05
REGION1,SSLFRCPN1,2027,1.0
REGION1,SSHFGCPN1,2027,1.0
REGION1,SSNGCCPN1,2027,1.0
REGION1,SSSOU1PN1,2027,0.0
REGION1,SSNGCCSPN1,2027,1.0
REGION1,SSBATTN1,2027,1.0
REGION1,SSHYDMSN1,2027,1.0
REGION1,SSBACKSTOP,2028,1.0
REGION1,SSWINDPH1,2028,0.05
REGION1,SSLFRCPH1,2028,1.0
REGION1,SSHFGCPH1,2028,1.0
REGION1,SSWINDPN1,2028,0.05
REGION1,SSLFRCPN1,2028,1.0
REGION1,SSHFGCPN1,2028,1.0
REGION1,SSNGCCPN1,2028,1.0
REGION1,SSSOU1PN1,2028,0.0
REGION1,SSNGCCSPN1,2028,1.0
REGION1,SSBATTN1,2028,1.0
REGION1,SSHYDMSN1,2028,1.0
REGION1,SSBACKSTOP,2029,1.0
REGION1,SSWINDPH1,2029,0.05
REGION1,SSLFRCPH1,2029,1.0
REGION1,SSHFGCPH1,2029,1.0
REGION1,SSWINDPN1,2029,0.05
REGION1,SSLFRCPN1,2029,1.0
REGION1,SSHFGCPN1,2029,1.0
REGION1,SSNGCCPN1,2029,1.0
REGION1,SSSOU1PN1,2029,0.0
REGION1,SSNGCCSPN1,2029,1.0
REGION1,SSBATTN1,2029,1.0
REGION1,SSHYDMSN1,2029,1.0
REGION1,SSBACKSTOP,2030,1.0
REGION1,SSWINDPH1,2030,0.05
REGION1,SSLFRCPH1,2030,1.0
REGION1,SSHFGCPH1,2030,1.0
REGION1,SSWINDPN1,2030,0.05
REGION1,SSLFRCPN1,2030,1.0
REGION1,SSHFGCPN1,2030,1.0
REGION1,SSNGCCPN1,2030,1.0
REGION1,SSSOU1PN1,2030,0.0
REGION1,SSNGCCSPN1,2030,1.0
REGION1,SSBATTN1,2030,1.0
REGION1,SSHYDMSN1,2030,1.0
REGION1,SSBACKSTOP,2031,1.0
REGION1,SSWINDPH1,2031,0.05
REGION1,SSLFRCPH1,2031,1.0
REGION1,SSHFGCPH1,2031,1.0
REGION1,SSWINDPN1,2031,0.05
REGION1,SSLFRCPN1,2031,1.0
REGION1,SSHFGCPN1,2031,1.0
REGION1,SSNGCCPN1,2031,1.0
REGION1,SSSOU1PN1,2031,0.0
REGION1,SSNGCCSPN1,2031,1.0
REGION1,SSBATTN1,2031,1.0
REGION1,SSHYDMSN1,2031,1.0
REGION1,SSBACKSTOP,2032,1.0
REGION1,SSWINDPH1,2032,0.05
REGION1,SSLFRCPH1,2032,1.0
REGION1,SSHFGCPH1,2032,1.0
REGION1,SSWINDPN1,2032,0.05
REGION1,SSLFRCPN1,2032,1.0
REGION1,SSHFGCPN1,2032,1.0
REGION1,SSNGCCPN1,2032,1.0
REGION1,SSSOU1PN1,2032,0.0
REGION1,SSNGCCSPN1,2032,1.0
REGION1,SSBATTN1,2032,1.0
REGION1,SSHYDMSN1,2032,1.0
REGION1,SSBACKSTOP,2033,1.0
REGION1,SSWINDPH1,2033,0.05
REGION1,SSLFRCPH1,2033,1.0
REGION1,SSHFGCPH1,2033,1.0
REGION1,SSWINDPN1,2033,0.05
REGION1,SSLFRCPN1,2033,1.0
REGION1,SSHFGCPN1,2033,1.0
REGION1,SSNGCCPN1,2033,1.0
REGION1,SSSOU1PN1,2033,0.0
REGION1,SSNGCCSPN1,2033,1.0
REGION1,SSBATTN1,2033,1.0
REGION1,SSHYDMSN1,2033,1.0
REGION1,SSBACKSTOP,2034,1.0
REGION1,SSWINDPH1,2034,0.05
REGION1,SSLFRCPH1,2034,1.0
REGION1,SSHFGCPH1,2034,1.0
REGION1,SSWINDPN1,2034,0.05
REGION1,SSLFRCPN1,2034,1.0
REGION1,SSHFGCPN1,2034,1.0
REGION1,SSNGCCPN1,2034,1.0
REGION1,SSSOU1PN1,2034,0.0
REGION1,SSNGCCSPN1,2034,1.0
REGION1,SSBATTN1,2034,1.0
REGION1,SSHYDMSN1,2034,1.0
REGION1,SSBACKSTOP,2035,1.0
REGION1,SSWINDPH1,2035,0.05
REGION1,SSLFRCPH1,2035,1.0
REGION1,SSHFGCPH1,2035,1.0
REGION1,SSWINDPN1,2035,0.05
REGION1,SSLFRCPN1,2035,1.0
REGION1,SSHFGCPN1,2035,1.0
REGION1,SSNGCCPN1,2035,1.0
REGION1,SSSOU1PN1,2035,0.0
REGION1,SSNGCCSPN1,2035,1.0
REGION1,SSBATTN1,2035,1.0
REGION1,SSHYDMSN1,2035,1.0
REGION1,SSBACKSTOP,2036,1.0
REGION1,SSWINDPH1,2036,0.05
REGION1,SSLFRCPH1,2036,1.0
REGION1,SSHFGCPH1,2036,1.0
REGION1,SSWINDPN1,2036,0.05
REGION1,SSLFRCPN1,2036,1.0
REGION1,SSHFGCPN1,2036,1.0
REGION1,SSNGCCPN1,2036,1.0
REGION1,SSSOU1PN1,2036,0.0
REGION1,SSNGCCSPN1,2036,1.0
REGION1,SSBATTN1,2036,1.0
REGION1,SSHYDMSN1,2036,1.0
REGION1,SSBACKSTOP,2037,1.0
REGION1,SSWINDPH1,2037,0.05
REGION1,SSLFRCPH1,2037,1.0
REGION1,SSHFGCPH1,2037,1.0
REGION1,SSWINDPN1,2037,0.05
REGION1,SSLFRCPN1,2037,1.0
REGION1,SSHFGCPN1,2037,1.0
REGION1,SSNGCCPN1,2037,1.0
REGION1,SSSOU1PN1,2037,0.0
REGION1,SSNGCCSPN1,2037,1.0
REGION1,SSBATTN1,2037,1.0
REGION1,SSHYDMSN1,2037,1.0
REGION1,SSBACKSTOP,2038,1.0
REGION1,SSWINDPH1,2038,0.05
REGION1,SSLFRCPH1,2038,1.0
REGION1,SSHFGCPH1,2038,1.0
REGION1,SSWINDPN1,2038,0.05
REGION1,SSLFRCPN1,2038,1.0
REGION1,SSHFGCPN1,2038,1.0
REGION1,SSNGCCPN1,2038,1.0
REGION1,SSSOU1PN1,2038,0.0
REGION1,SSNGCCSPN1,2038,1.0
REGION1,SSBATTN1,2038,1.0
REGION1,SSHYDMSN1,2038,1.0
REGION1,SSBACKSTOP,2039,1.0
REGION1,SSWINDPH1,2039,0.05
REGION1,SSLFRCPH1,2039,1.0
REGION1,SSHFGCPH1,2039,1.0
REGION1,SSWINDPN1,2039,0.05
REGION1,SSLFRCPN1,2039,1.0
REGION1,SSHFGCPN1,2039,1.0
REGION1,SSNGCCPN1,2039,1.0
REGION1,SSSOU1PN1,2039,0.0
REGION1,SSNGCCSPN1,2039,1.0
REGION1,SSBATTN1,2039,1.0
REGION1,SSHYDMSN1,2039,1.0
REGION1,SSBACKSTOP,2040,1.0
REGION1,SSWINDPH1,2040,0.05
REGION1,SSLFRCPH1,2040,1.0
REGION1,SSHFGCPH1,2040,1.0
REGION1,SSWINDPN1,2040,0.05
REGION1,SSLFRCPN1,2040,1.0
REGION1,SSHFGCPN1,2040,1.0
REGION1,SSNGCCPN1,2040,1.0
REGION1,SSSOU1PN1,2040,0.0
REGION1,SSNGCCSPN1,2040,1.0
REGION1,SSBATTN1,2040,1.0
REGION1,SSHYDMSN1,2040,1.0
REGION1,SSBACKSTOP,2041,1.0
REGION1,SSWINDPH1,2041,0.05
REGION1,SSLFRCPH1,2041,1.0
REGION1,SSHFGCPH1,2041,1.0
REGION1,SSWINDPN1,2041,0.05
REGION1,SSLFRCPN1,2041,1.0
REGION1,SSHFGCPN1,2041,1.0
REGION1,SSNGCCPN1,2041,1.0
REGION1,SSSOU1PN1,2041,0.0
REGION1,SSNGCCSPN1,2041,1.0
REGION1,SSBATTN1,2041,1.0
REGION1,SSHYDMSN1,2041,1.0
REGION1,SSBACKSTOP,2042,1.0
REGION1,SSWINDPH1,2042,0.05
REGION1,SSLFRCPH1,2042,1.0
REGION1,SSHFGCPH1,2042,1.0
REGION1,SSWINDPN1,2042,0.05
REGION1,SSLFRCPN1,2042,1.0
REGION1,SSHFGCPN1,2042,1.0
REGION1,SSNGCCPN1,2042,1.0
REGION1,SSSOU1PN1,2042,0.0
REGION1,SSNGCCSPN1,2042,1.0
REGION1,SSBATTN1,2042,1.0
REGION1,SSHYDMSN1,2042,1.0
REGION1,SSBACKSTOP,2043,1.0
REGION1,SSWINDPH1,2043,0.05
REGION1,SSLFRCPH1,2043,1.0
REGION1,SSHFGCPH1,2043,1.0
REGION1,SSWINDPN1,2043,0.05
REGION1,SSLFRCPN1,2043,1.0
REGION1,SSHFGCPN1,2043,1.0
REGION1,SSNGCCPN1,2043,1.0
REGION1,SSSOU1PN1,2043,0.0
REGION1,SSNGCCSPN1,2043,1.0
REGION1,SSBATTN1,2043,1.0
REGION1,SSHYDMSN1,2043,1.0
REGION1,SSBACKSTOP,2044,1.0
REGION1,SSWINDPH1,2044,0.05
REGION1,SSLFRCPH1,2044,1.0
REGION1,SSHFGCPH1,2044,1.0
REGION1,SSWINDPN1,2044,0.05
REGION1,SSLFRCPN1,2044,1.0
REGION1,SSHFGCPN1,2044,1.0
REGION1,SSNGCCPN1,2044,1.0
REGION1,SSSOU1PN1,2044,0.0
REGION1,SSNGCCSPN1,2044,1.0
REGION1,SSBATTN1,2044,1.0
REGION1,SSHYDMSN1,2044,1.0
REGION1,SSBACKSTOP,2045,1.0
REGION1,SSWINDPH1,2045,0.05
REGION1,SSLFRCPH1,2045,1.0
REGION1,SSHFGCPH1,2045,1.0
REGION1,SSWINDPN1,2045,0.05
REGION1,SSLFRCPN1,2045,1.0
REGION1,SSHFGCPN1,2045,1.0
REGION1,SSNGCCPN1,2045,1.0
REGION1,SSSOU1PN1,2045,0.0
REGION1,SSNGCCSPN1,2045,1.0
REGION1,SSBATTN1,2045,1.0
