REGION,TECHNOLOGY,YEAR,VALUE
REGION1,SZBACKSTOP,2021,1.0
REGION1,SZLFRCPH1,2021,1.0
REGION1,SZHFGCPH1,2021,1.0
REGION1,SZBMCHPH1,2021,1.0
REGION1,SZHYDMSH1,2021,1.0
REGION1,SZSOU1PH1,2021,0.0
REGION1,SZLFRCPN1,2021,1.0
REGION1,SZHFGCPN1,2021,1.0
REGION1,SZBMCHPN1,2021,1.0
REGION1,SZHYDMSN1,2021,1.0
REGION1,SZSOU1PN1,2021,0.0
REGION1,SZNGCCPN1,2021,1.0
REGION1,SZWINDPN1,2021,0.05
REGION1,SZNGCCSPN1,2021,1.0
REGION1,SZBMCCSPN1,2021,1.0
REGION1,SZBATTN1,2021,1.0
REGION1,MZELSZPH1,2021,1.0
REGION1,ZAELSZPH1,2021,1.0
REGION1,SZBACKSTOP,2022,1.0
REGION1,SZLFRCPH1,2022,1.0
REGION1,SZHFGCPH1,2022,1.0
REGION1,SZBMCHPH1,2022,1.0
REGION1,SZHYDMSH1,2022,1.0
REGION1,SZSOU1PH1,2022,0.0
REGION1,SZLFRCPN1,2022,1.0
REGION1,SZHFGCPN1,2022,1.0
REGION1,SZBMCHPN1,2022,1.0
REGION1,SZHYDMSN1,2022,1.0
REGION1,SZSOU1PN1,2022,0.0
REGION1,SZNGCCPN1,2022,1.0
REGION1,SZWINDPN1,2022,0.05
REGION1,SZNGCCSPN1,2022,1.0
REGION1,SZBMCCSPN1,2022,1.0
REGION1,SZBATTN1,2022,1.0
REGION1,MZELSZPH1,2022,1.0
REGION1,ZAELSZPH1,2022,1.0
REGION1,SZBACKSTOP,2023,1.0
REGION1,SZLFRCPH1,2023,1.0
REGION1,SZHFGCPH1,2023,1.0
REGION1,SZBMCHPH1,2023,1.0
REGION1,SZHYDMSH1,2023,1.0
REGION1,SZSOU1PH1,2023,0.0
REGION1,SZLFRCPN1,2023,1.0
REGION1,SZHFGCPN1,2023,1.0
REGION1,SZBMCHPN1,2023,1.0
REGION1,SZHYDMSN1,2023,1.0
REGION1,SZSOU1PN1,2023,0.0
REGION1,SZNGCCPN1,2023,1.0
REGION1,SZWINDPN1,2023,0.05
REGION1,SZNGCCSPN1,2023,1.0
REGION1,SZBMCCSPN1,2023,1.0
REGION1,SZBATTN1,2023,1.0
REGION1,MZELSZPH1,2023,1.0
REGION1,ZAELSZPH1,2023,1.0
REGION1,SZBACKSTOP,2024,1.0
REGION1,SZLFRCPH1,2024,1.0
REGION1,SZHFGCPH1,2024,1.0
REGION1,SZBMCHPH1,2024,1.0
REGION1,SZHYDMSH1,2024,1.0
REGION1,SZSOU1PH1,2024,0.0
REGION1,SZLFRCPN1,2024,1.0
REGION1,SZHFGCPN1,2024,1.0
REGION1,SZBMCHPN1,2024,1.0
REGION1,SZHYDMSN1,2024,1.0
REGION1,SZSOU1PN1,2024,0.0
REGION1,SZNGCCPN1,2024,1.0
REGION1,SZWINDPN1,2024,0.05
REGION1,SZNGCCSPN1,2024,1.0
REGION1,SZBMCCSPN1,2024,1.0
REGION1,SZBATTN1,2024,1.0
REGION1,MZELSZPH1,2024,1.0
REGION1,ZAELSZPH1,2024,1.0
REGION1,SZBACKSTOP,2025,1.0
REGION1,SZLFRCPH1,2025,1.0
REGION1,SZHFGCPH1,2025,1.0
REGION1,SZBMCHPH1,2025,1.0
REGION1,SZHYDMSH1,2025,1.0
REGION1,SZSOU1PH1,2025,0.0
REGION1,SZLFRCPN1,2025,1.0
REGION1,SZHFGCPN1,2025,1.0
REGION1,SZBMCHPN1,2025,1.0
REGION1,SZHYDMSN1,2025,1.0
REGION1,SZSOU1PN1,2025,0.0
REGION1,SZNGCCPN1,2025,1.0
REGION1,SZWINDPN1,2025,0.05
REGION1,SZNGCCSPN1,2025,1.0
REGION1,SZBMCCSPN1,2025,1.0
REGION1,SZBATTN1,2025,1.0
REGION1,MZELSZPH1,2025,1.0
REGION1,ZAELSZPH1,2025,1.0
REGION1,SZBACKSTOP,2026,1.0
REGION1,SZLFRCPH1,2026,1.0
REGION1,SZHFGCPH1,2026,1.0
REGION1,SZBMCHPH1,2026,1.0
REGION1,SZHYDMSH1,2026,1.0
REGION1,SZSOU1PH1,2026,0.0
REGION1,SZLFRCPN1,2026,1.0
REGION1,SZHFGCPN1,2026,1.0
REGION1,SZBMCHPN1,2026,1.0
REGION1,SZHYDMSN1,2026,1.0
REGION1,SZSOU1PN1,2026,0.0
REGION1,SZNGCCPN1,2026,1.0
REGION1,SZWINDPN1,2026,0.05
REGION1,SZNGCCSPN1,2026,1.0
REGION1,SZBMCCSPN1,2026,1.0
REGION1,SZBATTN1,2026,1.0
REGION1,MZELSZPH1,2026,1.0
REGION1,ZAELSZPH1,2026,1.0
REGION1,SZBACKSTOP,2027,1.0
REGION1,SZLFRCPH1,2027,1.0
REGION1,SZHFGCPH1,2027,1.0
REGION1,SZBMCHPH1,2027,1.0
REGION1,SZHYDMSH1,2027,1.0
REGION1,SZSOU1PH1,2027,0.0
REGION1,SZLFRCPN1,2027,1.0
REGION1,SZHFGCPN1,2027,1.0
REGION1,SZBMCHPN1,2027,1.0
REGION1,SZHYDMSN1,2027,1.0
REGION1,SZSOU1PN1,2027,0.0
REGION1,SZNGCCPN1,2027,1.0
REGION1,SZWINDPN1,2027,0.05
REGION1,SZNGCCSPN1,2027,1.0
REGION1,SZBMCCSPN1,2027,1.0
REGION1,SZBATTN1,2027,1.0
REGION1,MZELSZPH1,2027,1.0
REGION1,ZAELSZPH1,2027,1.0
REGION1,SZBACKSTOP,2028,1.0
REGION1,SZLFRCPH1,2028,1.0
REGION1,SZHFGCPH1,2028,1.0
REGION1,SZBMCHPH1,2028,1.0
REGION1,SZHYDMSH1,2028,1.0
REGION1,SZSOU1PH1,2028,0.0
REGION1,SZLFRCPN1,2028,1.0
REGION1,SZHFGCPN1,2028,1.0
REGION1,SZBMCHPN1,2028,1.0
REGION1,SZHYDMSN1,2028,1.0
REGION1,SZSOU1PN1,2028,0.0
REGION1,SZNGCCPN1,2028,1.0
REGION1,SZWINDPN1,2028,0.05
REGION1,SZNGCCSPN1,2028,1.0
REGION1,SZBMCCSPN1,2028,1.0
REGION1,SZBATTN1,2028,1.0
REGION1,MZELSZPH1,2028,1.0
REGION1,ZAELSZPH1,2028,1.0
REGION1,SZBACKSTOP,2029,1.0
REGION1,SZLFRCPH1,2029,1.0
REGION1,SZHFGCPH1,2029,1.0
REGION1,SZBMCHPH1,2029,1.0
REGION1,SZHYDMSH1,2029,1.0
REGION1,SZSOU1PH1,2029,0.0
REGION1,SZLFRCPN1,2029,1.0
REGION1,SZHFGCPN1,2029,1.0
REGION1,SZBMCHPN1,2029,1.0
REGION1,SZHYDMSN1,2029,1.0
REGION1,SZSOU1PN1,2029,0.0
REGION1,SZNGCCPN1,2029,1.0
REGION1,SZWINDPN1,2029,0.05
REGION1,SZNGCCSPN1,2029,1.0
REGION1,SZBMCCSPN1,2029,1.0
REGION1,SZBATTN1,2029,1.0
REGION1,MZELSZPH1,2029,1.0
REGION1,ZAELSZPH1,2029,1.0
REGION1,SZBACKSTOP,2030,1.0
REGION1,SZLFRCPH1,2030,1.0
REGION1,SZHFGCPH1,2030,1.0
REGION1,SZBMCHPH1,2030,1.0
REGION1,SZHYDMSH1,2030,1.0
REGION1,SZSOU1PH1,2030,0.0
REGION1,SZLFRCPN1,2030,1.0
REGION1,SZHFGCPN1,2030,1.0
REGION1,SZBMCHPN1,2030,1.0
REGION1,SZHYDMSN1,2030,1.0
REGION1,SZSOU1PN1,2030,0.0
REGION1,SZNGCCPN1,2030,1.0
REGION1,SZWINDPN1,2030,0.05
REGION1,SZNGCCSPN1,2030,1.0
REGION1,SZBMCCSPN1,2030,1.0
REGION1,SZBATTN1,2030,1.0
REGION1,MZELSZPH1,2030,1.0
REGION1,ZAELSZPH1,2030,1.0
REGION1,SZBACKSTOP,2031,1.0
REGION1,SZLFRCPH1,2031,1.0
REGION1,SZHFGCPH1,2031,1.0
REGION1,SZBMCHPH1,2031,1.0
REGION1,SZHYDMSH1,2031,1.0
REGION1,SZSOU1PH1,2031,0.0
REGION1,SZLFRCPN1,2031,1.0
REGION1,SZHFGCPN1,2031,1.0
REGION1,SZBMCHPN1,2031,1.0
REGION1,SZHYDMSN1,2031,1.0
REGION1,SZSOU1PN1,2031,0.0
REGION1,SZNGCCPN1,2031,1.0
REGION1,SZWINDPN1,2031,0.05
REGION1,SZNGCCSPN1,2031,1.0
REGION1,SZBMCCSPN1,2031,1.0
REGION1,SZBATTN1,2031,1.0
REGION1,MZELSZPH1,2031,1.0
REGION1,ZAELSZPH1,2031,1.0
REGION1,SZBACKSTOP,2032,1.0
REGION1,SZLFRCPH1,2032,1.0
REGION1,SZHFGCPH1,2032,1.0
REGION1,SZBMCHPH1,2032,1.0
REGION1,SZHYDMSH1,2032,1.0
REGION1,SZSOU1PH1,2032,0.0
REGION1,SZLFRCPN1,2032,1.0
REGION1,SZHFGCPN1,2032,1.0
REGION1,SZBMCHPN1,2032,1.0
REGION1,SZHYDMSN1,2032,1.0
REGION1,SZSOU1PN1,2032,0.0
REGION1,SZNGCCPN1,2032,1.0
REGION1,SZWINDPN1,2032,0.05
REGION1,SZNGCCSPN1,2032,1.0
REGION1,SZBMCCSPN1,2032,1.0
REGION1,SZBATTN1,2032,1.0
REGION1,MZELSZPH1,2032,1.0
REGION1,ZAELSZPH1,2032,1.0
REGION1,SZBACKSTOP,2033,1.0
REGION1,SZLFRCPH1,2033,1.0
REGION1,SZHFGCPH1,2033,1.0
REGION1,SZBMCHPH1,2033,1.0
REGION1,SZHYDMSH1,2033,1.0
REGION1,SZSOU1PH1,2033,0.0
REGION1,SZLFRCPN1,2033,1.0
REGION1,SZHFGCPN1,2033,1.0
REGION1,SZBMCHPN1,2033,1.0
REGION1,SZHYDMSN1,2033,1.0
REGION1,SZSOU1PN1,2033,0.0
REGION1,SZNGCCPN1,2033,1.0
REGION1,SZWINDPN1,2033,0.05
REGION1,SZNGCCSPN1,2033,1.0
REGION1,SZBMCCSPN1,2033,1.0
REGION1,SZBATTN1,2033,1.0
REGION1,MZELSZPH1,2033,1.0
REGION1,ZAELSZPH1,2033,1.0
REGION1,SZBACKSTOP,2034,1.0
REGION1,SZLFRCPH1,2034,1.0
REGION1,SZHFGCPH1,2034,1.0
REGION1,SZBMCHPH1,2034,1.0
REGION1,SZHYDMSH1,2034,1.0
REGION1,SZSOU1PH1,2034,0.0
REGION1,SZLFRCPN1,2034,1.0
REGION1,SZHFGCPN1,2034,1.0
REGION1,SZBMCHPN1,2034,1.0
REGION1,SZHYDMSN1,2034,1.0
REGION1,SZSOU1PN1,2034,0.0
REGION1,SZNGCCPN1,2034,1.0
REGION1,SZWINDPN1,2034,0.05
REGION1,SZNGCCSPN1,2034,1.0
REGION1,SZBMCCSPN1,2034,1.0
REGION1,SZBATTN1,2034,1.0
REGION1,MZELSZPH1,2034,1.0
REGION1,ZAELSZPH1,2034,1.0
REGION1,SZBACKSTOP,2035,1.0
REGION1,SZLFRCPH1,2035,1.0
