REGION,FUEL,YEAR,VALUE
REGION1,ATE3,2021,232.032
REGION1,BEE3,2021,292.904
REGION1,BGE3,2021,111.491
REGION1,HRE3,2021,59.383
REGION1,CYE3,2021,16.738
REGION1,CZE3,2021,215.937
REGION1,DKE3,2021,115.585
REGION1,EEE3,2021,28.381
REGION1,FIE3,2021,295.538
REGION1,FRE3,2021,1559.058
REGION1,DEE3,2021,1799.055
REGION1,GRE3,2021,177.273
REGION1,HUE3,2021,150.178
REGION1,IEE3,2021,108.062
REGION1,ITE3,2021,1051.92
REGION1,LVE3,2021,24.26
REGION1,LTE3,2021,40.155
REGION1,LUE3,2021,23.014
REGION1,MTE3,2021,9.007
REGION1,NLE3,2021,384.321
REGION1,NOE3,2021,460.8
REGION1,PLE3,2021,517.273
REGION1,PTE3,2021,170.355
REGION1,ROE3,2021,165.774
REGION1,SKE3,2021,91.976
REGION1,SIE3,2021,48.451
REGION1,ESE3,2021,820.368
REGION1,SEE3,2021,459.112
REGION1,CHE3,2021,235.476
REGION1,UKE3,2021,1210.17
REGION1,DZE3,2021,228.39
REGION1,AOE3,2021,45.31
REGION1,BJE3,2021,5.07
REGION1,BWE3,2021,13.54
REGION1,BFE3,2021,9.61
REGION1,BIE3,2021,1.06
REGION1,CME3,2021,26.11
REGION1,CFE3,2021,0.36
REGION1,TDE3,2021,0.92
REGION1,CDE3,2021,43.8
REGION1,CIE3,2021,32.46
REGION1,DJE3,2021,2.19
REGION1,EGE3,2021,568.97
REGION1,GQE3,2021,5.63
REGION1,ERE3,2021,1.13
REGION1,ETE3,2021,36.83
REGION1,GAE3,2021,8.36
REGION1,GME3,2021,1.22
REGION1,GHE3,2021,65.04
REGION1,GNE3,2021,9.13
REGION1,GWE3,2021,0.65
REGION1,KEE3,2021,35.04
REGION1,LSE3,2021,2.48
REGION1,LRE3,2021,1.14
REGION1,LYE3,2021,99.66
REGION1,MWE3,2021,6.46
REGION1,MLE3,2021,11.88
REGION1,MRE3,2021,4.75
REGION1,MAE3,2021,124.34
REGION1,MZE3,2021,44.94
REGION1,NAE3,2021,12.68
REGION1,NEE3,2021,4.93
REGION1,NGE3,2021,102.01
REGION1,CGE3,2021,5.63
REGION1,RWE3,2021,2.84
REGION1,SNE3,2021,19.44
REGION1,SLE3,2021,1.22
REGION1,SOE3,2021,1.71
REGION1,ZAE3,2021,695.06
REGION1,SSE3,2021,1.89
REGION1,SDE3,2021,49.96
REGION1,SZE3,2021,5.51
REGION1,TZE3,2021,25.94
REGION1,TGE3,2021,5.11
REGION1,TNE3,2021,62.81
REGION1,UGE3,2021,12.89
REGION1,ZME3,2021,46.19
REGION1,ZWE3,2021,31.12
REGION1,ATE3,2022,229.918
REGION1,BEE3,2022,275.606
REGION1,BGE3,2022,110.589
REGION1,HRE3,2022,58.481
REGION1,CYE3,2022,17.491
REGION1,CZE3,2022,211.075
REGION1,DKE3,2022,110.175
REGION1,EEE3,2022,25.71
REGION1,FIE3,2022,276.721
REGION1,FRE3,2022,1492.921
REGION1,DEE3,2022,1719.883
