REGION,FUEL,TIMESLICE,YEAR,VALUE
REGION1,ATE3,S1P1,2021,0.071150140357968
REGION1,ATE3,S1P2,2021,0.128985247415445
REGION1,ATE3,S1P3,2021,0.0486712315573882
REGION1,ATE3,S1P4,2021,0.0310769829998681
REGION1,ATE3,S2P1,2021,0.066492400634397
REGION1,ATE3,S2P2,2021,0.111547838028868
REGION1,ATE3,S2P3,2021,0.0431515906456579
REGION1,ATE3,S2P4,2021,0.0271306285172964
REGION1,ATE3,S3P1,2021,0.0596653639087642
REGION1,ATE3,S3P2,2021,0.101868447697267
REGION1,ATE3,S3P3,2021,0.0391269754024475
REGION1,ATE3,S3P4,2021,0.0241843047440888
REGION1,ATE3,S4P1,2021,0.0650500211588621
REGION1,ATE3,S4P2,2021,0.112549342965518
REGION1,ATE3,S4P3,2021,0.0428995161805279
REGION1,ATE3,S4P4,2021,0.026449967785633
REGION1,BEE3,S1P1,2021,0.0686701133958007
REGION1,BEE3,S1P2,2021,0.121240487557725
REGION1,BEE3,S1P3,2021,0.047653177699438
REGION1,BEE3,S1P4,2021,0.0318039872609068
REGION1,BEE3,S2P1,2021,0.0663584257956467
REGION1,BEE3,S2P2,2021,0.112596696985194
REGION1,BEE3,S2P3,2021,0.043397985336927
REGION1,BEE3,S2P4,2021,0.0292648030920591
REGION1,BEE3,S3P1,2021,0.0604257602222782
REGION1,BEE3,S3P2,2021,0.102590559083169
REGION1,BEE3,S3P3,2021,0.039357354581651
REGION1,BEE3,S3P4,2021,0.0263202262747164
REGION1,BEE3,S4P1,2021,0.0647219780869151
REGION1,BEE3,S4P2,2021,0.113169958897274
REGION1,BEE3,S4P3,2021,0.0440963299287911
REGION1,BEE3,S4P4,2021,0.0283321558015052
REGION1,BGE3,S1P1,2021,0.07971754
REGION1,BGE3,S1P2,2021,0.13410027
REGION1,BGE3,S1P3,2021,0.054926209
REGION1,BGE3,S1P4,2021,0.034191481
REGION1,BGE3,S2P1,2021,0.066180858
REGION1,BGE3,S2P2,2021,0.103655644
REGION1,BGE3,S2P3,2021,0.045093253
REGION1,BGE3,S2P4,2021,0.026956514
REGION1,BGE3,S3P1,2021,0.057835303
REGION1,BGE3,S3P2,2021,0.100606071
REGION1,BGE3,S3P3,2021,0.040070573
REGION1,BGE3,S3P4,2021,0.023958695
REGION1,BGE3,S4P1,2021,0.061611851
REGION1,BGE3,S4P2,2021,0.104202149
REGION1,BGE3,S4P3,2021,0.041679777
REGION1,BGE3,S4P4,2021,0.025213812
REGION1,CHE3,S1P1,2021,0.0773054802361247
REGION1,CHE3,S1P2,2021,0.119381991920091
REGION1,CHE3,S1P3,2021,0.0465974979681118
REGION1,CHE3,S1P4,2021,0.033022921551179
REGION1,CHE3,S2P1,2021,0.0715148868604808
REGION1,CHE3,S2P2,2021,0.111180331178098
REGION1,CHE3,S2P3,2021,0.0416510334896817
REGION1,CHE3,S2P4,2021,0.0297973506284946
REGION1,CHE3,S3P1,2021,0.0643830665193119
REGION1,CHE3,S3P2,2021,0.104519011583935
REGION1,CHE3,S3P3,2021,0.0383061287194067
REGION1,CHE3,S3P4,2021,0.0267269638074638
REGION1,CHE3,S4P1,2021,0.0631643345836506
REGION1,CHE3,S4P2,2021,0.105165847391551
REGION1,CHE3,S4P3,2021,0.0399021678478869
REGION1,CHE3,S4P4,2021,0.0273809857145298
REGION1,CYE3,S1P1,2021,0.071150140357968
REGION1,CYE3,S1P2,2021,0.128985247415445
REGION1,CYE3,S1P3,2021,0.0486712315573882
REGION1,CYE3,S1P4,2021,0.0310769829998681
REGION1,CYE3,S2P1,2021,0.066492400634397
REGION1,CYE3,S2P2,2021,0.111547838028868
REGION1,CYE3,S2P3,2021,0.0431515906456579
REGION1,CYE3,S2P4,2021,0.0271306285172964
REGION1,CYE3,S3P1,2021,0.0596653639087642
REGION1,CYE3,S3P2,2021,0.101868447697267
REGION1,CYE3,S3P3,2021,0.0391269754024475
REGION1,CYE3,S3P4,2021,0.0241843047440888
REGION1,CYE3,S4P1,2021,0.0650500211588621
REGION1,CYE3,S4P2,2021,0.112549342965518
REGION1,CYE3,S4P3,2021,0.0428995161805279
REGION1,CYE3,S4P4,2021,0.026449967785633
REGION1,CZE3,S1P1,2021,0.0729534625948829
REGION1,CZE3,S1P2,2021,0.126970198790951
REGION1,CZE3,S1P3,2021,0.0479814372682888
REGION1,CZE3,S1P4,2021,0.0309524593812675
REGION1,CZE3,S2P1,2021,0.0693928699229785
REGION1,CZE3,S2P2,2021,0.114873925590009
REGION1,CZE3,S2P3,2021,0.0434632156289273
REGION1,CZE3,S2P4,2021,0.0280738299269388
REGION1,CZE3,S3P1,2021,0.0578263615628985
REGION1,CZE3,S3P2,2021,0.10474910039942
REGION1,CZE3,S3P3,2021,0.0366127912947296
REGION1,CZE3,S3P4,2021,0.0234696037048781
REGION1,CZE3,S4P1,2021,0.0633626009553483
REGION1,CZE3,S4P2,2021,0.112779802209712
REGION1,CZE3,S4P3,2021,0.040902778625373
REGION1,CZE3,S4P4,2021,0.0256355621433955
REGION1,DEE3,S1P1,2021,0.0668489923393123
REGION1,DEE3,S1P2,2021,0.121198873934615
REGION1,DEE3,S1P3,2021,0.0469672325579712
REGION1,DEE3,S1P4,2021,0.0296556294798708
REGION1,DEE3,S2P1,2021,0.0648986043039355
REGION1,DEE3,S2P2,2021,0.112568810080397
REGION1,DEE3,S2P3,2021,0.0428931505098065
REGION1,DEE3,S2P4,2021,0.0268945393591397
REGION1,DEE3,S3P1,2021,0.0615285706906785
REGION1,DEE3,S3P2,2021,0.109254611871194
REGION1,DEE3,S3P3,2021,0.039943664240925
REGION1,DEE3,S3P4,2021,0.0249953907381698
REGION1,DEE3,S4P1,2021,0.0651835361459773
REGION1,DEE3,S4P2,2021,0.116234184965252
REGION1,DEE3,S4P3,2021,0.043958930166224
REGION1,DEE3,S4P4,2021,0.0269752786165292
REGION1,DKE3,S1P1,2021,0.070806992
REGION1,DKE3,S1P2,2021,0.124114477
REGION1,DKE3,S1P3,2021,0.047098998
REGION1,DKE3,S1P4,2021,0.030403758
REGION1,DKE3,S2P1,2021,0.065640274
REGION1,DKE3,S2P2,2021,0.111561683
REGION1,DKE3,S2P3,2021,0.041583221
REGION1,DKE3,S2P4,2021,0.027135237
REGION1,DKE3,S3P1,2021,0.057863415
REGION1,DKE3,S3P2,2021,0.10479426
REGION1,DKE3,S3P3,2021,0.037425129
REGION1,DKE3,S3P4,2021,0.024118118
REGION1,DKE3,S4P1,2021,0.066837381
REGION1,DKE3,S4P2,2021,0.119542259
REGION1,DKE3,S4P3,2021,0.043358558
REGION1,DKE3,S4P4,2021,0.02771624
REGION1,EEE3,S1P1,2021,0.0765235867573822
REGION1,EEE3,S1P2,2021,0.135047412060348
REGION1,EEE3,S1P3,2021,0.0500998465595846
REGION1,EEE3,S1P4,2021,0.0314862969406452
REGION1,EEE3,S2P1,2021,0.0676847942991233
REGION1,EEE3,S2P2,2021,0.108496835053013
REGION1,EEE3,S2P3,2021,0.0423227265634998
REGION1,EEE3,S2P4,2021,0.0264365364371513
REGION1,EEE3,S3P1,2021,0.0551459603238627
REGION1,EEE3,S3P2,2021,0.0974655281383574
REGION1,EEE3,S3P3,2021,0.0349485542740003
REGION1,EEE3,S3P4,2021,0.0214444948679469
