REGION,STORAGE,VALUE
REGION1,ATHYDSSH1,8.0
REGION1,BEHYDSSH1,8.0
REGION1,BGHYDSSH1,8.0
REGION1,CZHYDSSH1,8.0
REGION1,DEHYDSSH1,8.0
REGION1,GRHYDSSH1,8.0
REGION1,ESHYDSSH1,8.0
REGION1,FRHYDSSH1,8.0
REGION1,HRHYDSSH1,8.0
REGION1,IEHYDSSH1,8.0
REGION1,ITHYDSSH1,8.0
REGION1,LTHYDSSH1,8.0
REGION1,LUHYDSSH1,8.0
REGION1,SLHYDSSH1,8.0
REGION1,STHYDSSH1,8.0
REGION1,ROHYDSSH1,8.0
REGION1,SEHYDSSH1,8.0
REGION1,SIHYDSSH1,8.0
REGION1,SKHYDSSH1,8.0
REGION1,CHHYDSSH1,8.0
REGION1,UKHYDSSH1,8.0
REGION1,ATHYDSSN1,8.0
REGION1,BEHYDSSN1,8.0
REGION1,BGHYDSSN1,8.0
REGION1,CZHYDSSN1,8.0
REGION1,DEHYDSSN1,8.0
REGION1,GRHYDSSN1,8.0
REGION1,ESHYDSSN1,8.0
REGION1,FRHYDSSN1,8.0
REGION1,HRHYDSSN1,8.0
REGION1,IEHYDSSN1,8.0
REGION1,ITHYDSSN1,8.0
REGION1,LTHYDSSN1,8.0
REGION1,LUHYDSSN1,8.0
REGION1,SLHYDSSN1,8.0
REGION1,STHYDSSN1,8.0
REGION1,ROHYDSSN1,8.0
REGION1,SEHYDSSN1,8.0
REGION1,SIHYDSSN1,8.0
REGION1,SKHYDSSN1,8.0
REGION1,CHHYDSSN1,8.0
REGION1,UKHYDSSN1,8.0
REGION1,ATBATSH1,4.0
REGION1,BEBATSH1,4.0
REGION1,BGBATSH1,4.0
REGION1,CHBATSH1,4.0
REGION1,CYBATSH1,4.0
REGION1,CZBATSH1,4.0
REGION1,DEBATSH1,4.0
REGION1,DKBATSH1,4.0
REGION1,EEBATSH1,4.0
REGION1,GRBATSH1,4.0
REGION1,ESBATSH1,4.0
REGION1,FIBATSH1,4.0
REGION1,FRBATSH1,4.0
REGION1,HRBATSH1,4.0
REGION1,HUBATSH1,4.0
REGION1,IEBATSH1,4.0
REGION1,ITBATSH1,4.0
REGION1,LTBATSH1,4.0
REGION1,LUBATSH1,4.0
REGION1,LVBATSH1,4.0
REGION1,MTBATSH1,4.0
REGION1,NLBATSH1,4.0
REGION1,NOBATSH1,4.0
REGION1,PLBATSH1,4.0
REGION1,PTBATSH1,4.0
REGION1,ROBATSH1,4.0
REGION1,SEBATSH1,4.0
REGION1,SIBATSH1,4.0
REGION1,SKBATSH1,4.0
REGION1,UKBATSH1,4.0
REGION1,DZBATSN1,4.0
REGION1,AOBATSN1,4.0
REGION1,BJBATSN1,4.0
REGION1,BWBATSN1,4.0
REGION1,BFBATSN1,4.0
REGION1,BIBATSN1,4.0
REGION1,CMBATSN1,4.0
REGION1,CFBATSN1,4.0
REGION1,TDBATSN1,4.0
REGION1,CIBATSN1,4.0
REGION1,DJBATSN1,4.0
REGION1,CDBATSN1,4.0
REGION1,EGBATSN1,4.0
REGION1,GQBATSN1,4.0
REGION1,ERBATSN1,4.0
REGION1,SZBATSN1,4.0
REGION1,ETBATSN1,4.0
REGION1,GABATSN1,4.0
REGION1,GMBATSN1,4.0
REGION1,GHBATSN1,4.0
REGION1,GNBATSN1,4.0
REGION1,GWBATSN1,4.0
REGION1,KEBATSN1,4.0
REGION1,LSBATSN1,4.0
REGION1,LRBATSN1,4.0
REGION1,LYBATSN1,4.0
REGION1,MWBATSN1,4.0
REGION1,MLBATSN1,4.0
REGION1,MRBATSN1,4.0
REGION1,MABATSN1,4.0
REGION1,MZBATSN1,4.0
REGION1,NABATSN1,4.0
REGION1,NEBATSN1,4.0
REGION1,NGBATSN1,4.0
REGION1,CGBATSN1,4.0
REGION1,RWBATSN1,4.0
REGION1,SNBATSN1,4.0
REGION1,SLBATSN1,4.0
REGION1,SOBATSN1,4.0
REGION1,ZABATSN1,4.0
REGION1,SSBATSN1,4.0
REGION1,SDBATSN1,4.0
REGION1,TZBATSN1,4.0
REGION1,TGBATSN1,4.0
REGION1,TNBATSN1,4.0
REGION1,UGBATSN1,4.0
REGION1,ZMBATSN1,4.0
REGION1,ZWBATSN1,4.0
REGION1,MAHYDSSH1,8.0
REGION1,ZAHYDSSH1,8.0
REGION1,MAHYDSSN1,8.0
REGION1,ZAHYDSSN1,8.0
REGION1,TNHYDSSN1,8.0
