REGION,TECHNOLOGY,YEAR,VALUE
REGION1,TDBACKSTOP,2021,1.0
REGION1,TDNGCCPH1,2021,1.0
REGION1,TDLFRCPH1,2021,1.0
REGION1,TDHFGCPH1,2021,1.0
REGION1,TDBMCHPH1,2021,1.0
REGION1,TDSOU1PH1,2021,0.0
REGION1,TDNGCCPN1,2021,1.0
REGION1,TDLFRCPN1,2021,1.0
REGION1,TDHFGCPN1,2021,1.0
REGION1,TDBMCHPN1,2021,1.0
REGION1,TDSOU1PN1,2021,0.0
REGION1,TDWINDPN1,2021,0.05
REGION1,TDNGCCSPN1,2021,1.0
REGION1,TDBMCCSPN1,2021,1.0
REGION1,TDBATTN1,2021,1.0
REGION1,TDBACKSTOP,2022,1.0
REGION1,TDNGCCPH1,2022,1.0
REGION1,TDLFRCPH1,2022,1.0
REGION1,TDHFGCPH1,2022,1.0
REGION1,TDBMCHPH1,2022,1.0
REGION1,TDSOU1PH1,2022,0.0
REGION1,TDNGCCPN1,2022,1.0
REGION1,TDLFRCPN1,2022,1.0
REGION1,TDHFGCPN1,2022,1.0
REGION1,TDBMCHPN1,2022,1.0
REGION1,TDSOU1PN1,2022,0.0
REGION1,TDWINDPN1,2022,0.05
REGION1,TDNGCCSPN1,2022,1.0
REGION1,TDBMCCSPN1,2022,1.0
REGION1,TDBATTN1,2022,1.0
REGION1,TDBACKSTOP,2023,1.0
REGION1,TDNGCCPH1,2023,1.0
REGION1,TDLFRCPH1,2023,1.0
REGION1,TDHFGCPH1,2023,1.0
REGION1,TDBMCHPH1,2023,1.0
REGION1,TDSOU1PH1,2023,0.0
REGION1,TDNGCCPN1,2023,1.0
REGION1,TDLFRCPN1,2023,1.0
REGION1,TDHFGCPN1,2023,1.0
REGION1,TDBMCHPN1,2023,1.0
REGION1,TDSOU1PN1,2023,0.0
REGION1,TDWINDPN1,2023,0.05
REGION1,TDNGCCSPN1,2023,1.0
REGION1,TDBMCCSPN1,2023,1.0
REGION1,TDBATTN1,2023,1.0
REGION1,TDBACKSTOP,2024,1.0
REGION1,TDNGCCPH1,2024,1.0
REGION1,TDLFRCPH1,2024,1.0
REGION1,TDHFGCPH1,2024,1.0
REGION1,TDBMCHPH1,2024,1.0
REGION1,TDSOU1PH1,2024,0.0
REGION1,TDNGCCPN1,2024,1.0
REGION1,TDLFRCPN1,2024,1.0
REGION1,TDHFGCPN1,2024,1.0
REGION1,TDBMCHPN1,2024,1.0
REGION1,TDSOU1PN1,2024,0.0
REGION1,TDWINDPN1,2024,0.05
REGION1,TDNGCCSPN1,2024,1.0
REGION1,TDBMCCSPN1,2024,1.0
REGION1,TDBATTN1,2024,1.0
REGION1,TDBACKSTOP,2025,1.0
REGION1,TDNGCCPH1,2025,1.0
REGION1,TDLFRCPH1,2025,1.0
REGION1,TDHFGCPH1,2025,1.0
REGION1,TDBMCHPH1,2025,1.0
REGION1,TDSOU1PH1,2025,0.0
REGION1,TDNGCCPN1,2025,1.0
REGION1,TDLFRCPN1,2025,1.0
REGION1,TDHFGCPN1,2025,1.0
REGION1,TDBMCHPN1,2025,1.0
REGION1,TDSOU1PN1,2025,0.0
REGION1,TDWINDPN1,2025,0.05
REGION1,TDNGCCSPN1,2025,1.0
REGION1,TDBMCCSPN1,2025,1.0
REGION1,TDBATTN1,2025,1.0
REGION1,TDBACKSTOP,2026,1.0
REGION1,TDNGCCPH1,2026,1.0
REGION1,TDLFRCPH1,2026,1.0
REGION1,TDHFGCPH1,2026,1.0
REGION1,TDBMCHPH1,2026,1.0
REGION1,TDSOU1PH1,2026,0.0
REGION1,TDNGCCPN1,2026,1.0
REGION1,TDLFRCPN1,2026,1.0
REGION1,TDHFGCPN1,2026,1.0
REGION1,TDBMCHPN1,2026,1.0
REGION1,TDSOU1PN1,2026,0.0
REGION1,TDWINDPN1,2026,0.05
REGION1,TDNGCCSPN1,2026,1.0
REGION1,TDBMCCSPN1,2026,1.0
REGION1,TDBATTN1,2026,1.0
REGION1,TDBACKSTOP,2027,1.0
REGION1,TDNGCCPH1,2027,1.0
REGION1,TDLFRCPH1,2027,1.0
REGION1,TDHFGCPH1,2027,1.0
REGION1,TDBMCHPH1,2027,1.0
REGION1,TDSOU1PH1,2027,0.0
REGION1,TDNGCCPN1,2027,1.0
REGION1,TDLFRCPN1,2027,1.0
REGION1,TDHFGCPN1,2027,1.0
REGION1,TDBMCHPN1,2027,1.0
REGION1,TDSOU1PN1,2027,0.0
REGION1,TDWINDPN1,2027,0.05
REGION1,TDNGCCSPN1,2027,1.0
REGION1,TDBMCCSPN1,2027,1.0
REGION1,TDBATTN1,2027,1.0
REGION1,TDBACKSTOP,2028,1.0
REGION1,TDNGCCPH1,2028,1.0
REGION1,TDLFRCPH1,2028,1.0
REGION1,TDHFGCPH1,2028,1.0
REGION1,TDBMCHPH1,2028,1.0
REGION1,TDSOU1PH1,2028,0.0
REGION1,TDNGCCPN1,2028,1.0
REGION1,TDLFRCPN1,2028,1.0
REGION1,TDHFGCPN1,2028,1.0
REGION1,TDBMCHPN1,2028,1.0
REGION1,TDSOU1PN1,2028,0.0
