REGION,TECHNOLOGY,YEAR,VALUE
REGION1,TGBACKSTOP,2021,1.0
REGION1,TGSOU1PH1,2021,0.0
REGION1,TGNGCCPH1,2021,1.0
REGION1,TGLFRCPH1,2021,1.0
REGION1,TGHFGCPH1,2021,1.0
REGION1,TGHYDMSH1,2021,1.0
REGION1,TGSOU1PN1,2021,0.0
REGION1,TGNGCCPN1,2021,1.0
REGION1,TGLFRCPN1,2021,1.0
REGION1,TGHFGCPN1,2021,1.0
REGION1,TGHYDMSN1,2021,1.0
REGION1,TGWINDPN1,2021,0.05
REGION1,TGNGCCSPN1,2021,1.0
REGION1,TGBATTN1,2021,1.0
REGION1,GHELTGPH1,2021,1.0
REGION1,TGELBJPH1,2021,1.0
REGION1,TGBACKSTOP,2022,1.0
REGION1,TGSOU1PH1,2022,0.0
REGION1,TGNGCCPH1,2022,1.0
REGION1,TGLFRCPH1,2022,1.0
REGION1,TGHFGCPH1,2022,1.0
REGION1,TGHYDMSH1,2022,1.0
REGION1,TGSOU1PN1,2022,0.0
REGION1,TGNGCCPN1,2022,1.0
REGION1,TGLFRCPN1,2022,1.0
REGION1,TGHFGCPN1,2022,1.0
REGION1,TGHYDMSN1,2022,1.0
REGION1,TGWINDPN1,2022,0.05
REGION1,TGNGCCSPN1,2022,1.0
REGION1,TGBATTN1,2022,1.0
REGION1,GHELTGPH1,2022,1.0
REGION1,TGELBJPH1,2022,1.0
REGION1,TGBACKSTOP,2023,1.0
REGION1,TGSOU1PH1,2023,0.0
REGION1,TGNGCCPH1,2023,1.0
REGION1,TGLFRCPH1,2023,1.0
REGION1,TGHFGCPH1,2023,1.0
REGION1,TGHYDMSH1,2023,1.0
REGION1,TGSOU1PN1,2023,0.0
REGION1,TGNGCCPN1,2023,1.0
REGION1,TGLFRCPN1,2023,1.0
REGION1,TGHFGCPN1,2023,1.0
REGION1,TGHYDMSN1,2023,1.0
REGION1,TGWINDPN1,2023,0.05
REGION1,TGNGCCSPN1,2023,1.0
REGION1,TGBATTN1,2023,1.0
REGION1,GHELTGPH1,2023,1.0
REGION1,TGELBJPH1,2023,1.0
REGION1,TGBACKSTOP,2024,1.0
REGION1,TGSOU1PH1,2024,0.0
REGION1,TGNGCCPH1,2024,1.0
REGION1,TGLFRCPH1,2024,1.0
