REGION,TECHNOLOGY,YEAR,VALUE
REGION1,TNBACKSTOP,2021,1.0
REGION1,TNNGCCPH1,2021,1.0
REGION1,TNNGGCPH1,2021,1.0
REGION1,TNSOU1PH1,2021,0.0
REGION1,TNLFRCPH1,2021,1.0
REGION1,TNHFGCPH1,2021,1.0
REGION1,TNHYDMSH1,2021,1.0
REGION1,TNWINDPH1,2021,0.05
REGION1,TNNGCCPN1,2021,1.0
REGION1,TNNGGCPN1,2021,1.0
REGION1,TNSOU1PN1,2021,0.0
REGION1,TNLFRCPN1,2021,1.0
REGION1,TNHFGCPN1,2021,1.0
REGION1,TNHYDMSN1,2021,1.0
REGION1,TNWINDPN1,2021,0.05
REGION1,TNNGCCSPN1,2021,1.0
REGION1,TNBATTN1,2021,1.0
REGION1,TNHYDSPN1,2021,1.0
REGION1,TNELDZPH1,2021,1.0
REGION1,TNBACKSTOP,2022,1.0
REGION1,TNNGCCPH1,2022,1.0
REGION1,TNNGGCPH1,2022,1.0
REGION1,TNSOU1PH1,2022,0.0
REGION1,TNLFRCPH1,2022,1.0
REGION1,TNHFGCPH1,2022,1.0
REGION1,TNHYDMSH1,2022,1.0
REGION1,TNWINDPH1,2022,0.05
REGION1,TNNGCCPN1,2022,1.0
REGION1,TNNGGCPN1,2022,1.0
REGION1,TNSOU1PN1,2022,0.0
REGION1,TNLFRCPN1,2022,1.0
REGION1,TNHFGCPN1,2022,1.0
REGION1,TNHYDMSN1,2022,1.0
REGION1,TNWINDPN1,2022,0.05
REGION1,TNNGCCSPN1,2022,1.0
REGION1,TNBATTN1,2022,1.0
REGION1,TNHYDSPN1,2022,1.0
REGION1,TNELDZPH1,2022,1.0
REGION1,TNBACKSTOP,2023,1.0
REGION1,TNNGCCPH1,2023,1.0
REGION1,TNNGGCPH1,2023,1.0
REGION1,TNSOU1PH1,2023,0.0
REGION1,TNLFRCPH1,2023,1.0
REGION1,TNHFGCPH1,2023,1.0
REGION1,TNHYDMSH1,2023,1.0
REGION1,TNWINDPH1,2023,0.05
REGION1,TNNGCCPN1,2023,1.0
REGION1,TNNGGCPN1,2023,1.0
REGION1,TNSOU1PN1,2023,0.0
REGION1,TNLFRCPN1,2023,1.0
REGION1,TNHFGCPN1,2023,1.0
REGION1,TNHYDMSN1,2023,1.0
REGION1,TNWINDPN1,2023,0.05
REGION1,TNNGCCSPN1,2023,1.0
REGION1,TNBATTN1,2023,1.0
REGION1,TNHYDSPN1,2023,1.0
REGION1,TNELDZPH1,2023,1.0
REGION1,TNBACKSTOP,2024,1.0
