REGION,TECHNOLOGY,YEAR,VALUE
REGION1,TZBACKSTOP,2021,1.0
REGION1,TZSOU1PH1,2021,0.0
REGION1,TZNGGCPH1,2021,1.0
REGION1,TZLFRCPH1,2021,1.0
REGION1,TZHFGCPH1,2021,1.0
REGION1,TZBMCHPH1,2021,1.0
REGION1,TZHYDMSH1,2021,1.0
REGION1,TZSOU1PN1,2021,0.0
REGION1,TZNGGCPN1,2021,1.0
REGION1,TZLFRCPN1,2021,1.0
REGION1,TZHFGCPN1,2021,1.0
REGION1,TZBMCHPN1,2021,1.0
REGION1,TZHYDMSN1,2021,1.0
REGION1,TZWINDPN1,2021,0.05
REGION1,TZNGCCSPN1,2021,1.0
REGION1,TZBMCCSPN1,2021,1.0
REGION1,TZBATTN1,2021,1.0
REGION1,KEELTZPH1,2021,1.0
REGION1,TZELUGPH1,2021,1.0
REGION1,UGELTZPH1,2021,1.0
REGION1,TZBACKSTOP,2022,1.0
REGION1,TZSOU1PH1,2022,0.0
REGION1,TZNGGCPH1,2022,1.0
REGION1,TZLFRCPH1,2022,1.0
REGION1,TZHFGCPH1,2022,1.0
REGION1,TZBMCHPH1,2022,1.0
REGION1,TZHYDMSH1,2022,1.0
REGION1,TZSOU1PN1,2022,0.0
REGION1,TZNGGCPN1,2022,1.0
REGION1,TZLFRCPN1,2022,1.0
REGION1,TZHFGCPN1,2022,1.0
REGION1,TZBMCHPN1,2022,1.0
REGION1,TZHYDMSN1,2022,1.0
REGION1,TZWINDPN1,2022,0.05
REGION1,TZNGCCSPN1,2022,1.0
REGION1,TZBMCCSPN1,2022,1.0
REGION1,TZBATTN1,2022,1.0
REGION1,KEELTZPH1,2022,1.0
REGION1,TZELUGPH1,2022,1.0
REGION1,UGELTZPH1,2022,1.0
REGION1,TZBACKSTOP,2023,1.0
REGION1,TZSOU1PH1,2023,0.0
REGION1,TZNGGCPH1,2023,1.0
REGION1,TZLFRCPH1,2023,1.0
REGION1,TZHFGCPH1,2023,1.0
REGION1,TZBMCHPH1,2023,1.0
REGION1,TZHYDMSH1,2023,1.0
REGION1,TZSOU1PN1,2023,0.0
REGION1,TZNGGCPN1,2023,1.0
REGION1,TZLFRCPN1,2023,1.0
REGION1,TZHFGCPN1,2023,1.0
REGION1,TZBMCHPN1,2023,1.0
REGION1,TZHYDMSN1,2023,1.0
REGION1,TZWINDPN1,2023,0.05
REGION1,TZNGCCSPN1,2023,1.0
REGION1,TZBMCCSPN1,2023,1.0
REGION1,TZBATTN1,2023,1.0
REGION1,KEELTZPH1,2023,1.0
REGION1,TZELUGPH1,2023,1.0
REGION1,UGELTZPH1,2023,1.0
REGION1,TZBACKSTOP,2024,1.0
REGION1,TZSOU1PH1,2024,0.0
REGION1,TZNGGCPH1,2024,1.0
REGION1,TZLFRCPH1,2024,1.0
REGION1,TZHFGCPH1,2024,1.0
REGION1,TZBMCHPH1,2024,1.0
REGION1,TZHYDMSH1,2024,1.0
REGION1,TZSOU1PN1,2024,0.0
REGION1,TZNGGCPN1,2024,1.0
REGION1,TZLFRCPN1,2024,1.0
REGION1,TZHFGCPN1,2024,1.0
REGION1,TZBMCHPN1,2024,1.0
REGION1,TZHYDMSN1,2024,1.0
REGION1,TZWINDPN1,2024,0.05
REGION1,TZNGCCSPN1,2024,1.0
REGION1,TZBMCCSPN1,2024,1.0
REGION1,TZBATTN1,2024,1.0
REGION1,KEELTZPH1,2024,1.0
REGION1,TZELUGPH1,2024,1.0
REGION1,UGELTZPH1,2024,1.0
REGION1,TZBACKSTOP,2025,1.0
REGION1,TZSOU1PH1,2025,0.0
REGION1,TZNGGCPH1,2025,1.0
REGION1,TZLFRCPH1,2025,1.0
REGION1,TZHFGCPH1,2025,1.0
REGION1,TZBMCHPH1,2025,1.0
REGION1,TZHYDMSH1,2025,1.0
REGION1,TZSOU1PN1,2025,0.0
REGION1,TZNGGCPN1,2025,1.0
REGION1,TZLFRCPN1,2025,1.0
REGION1,TZHFGCPN1,2025,1.0
REGION1,TZBMCHPN1,2025,1.0
REGION1,TZHYDMSN1,2025,1.0
REGION1,TZWINDPN1,2025,0.05
REGION1,TZNGCCSPN1,2025,1.0
REGION1,TZBMCCSPN1,2025,1.0
REGION1,TZBATTN1,2025,1.0
REGION1,KEELTZPH1,2025,1.0
REGION1,TZELUGPH1,2025,1.0
REGION1,UGELTZPH1,2025,1.0
REGION1,TZBACKSTOP,2026,1.0
REGION1,TZSOU1PH1,2026,0.0
REGION1,TZNGGCPH1,2026,1.0
REGION1,TZLFRCPH1,2026,1.0
REGION1,TZHFGCPH1,2026,1.0
REGION1,TZBMCHPH1,2026,1.0
REGION1,TZHYDMSH1,2026,1.0
REGION1,TZSOU1PN1,2026,0.0
REGION1,TZNGGCPN1,2026,1.0
REGION1,TZLFRCPN1,2026,1.0
REGION1,TZHFGCPN1,2026,1.0
REGION1,TZBMCHPN1,2026,1.0
REGION1,TZHYDMSN1,2026,1.0
REGION1,TZWINDPN1,2026,0.05
REGION1,TZNGCCSPN1,2026,1.0
REGION1,TZBMCCSPN1,2026,1.0
REGION1,TZBATTN1,2026,1.0
REGION1,KEELTZPH1,2026,1.0
REGION1,TZELUGPH1,2026,1.0
REGION1,UGELTZPH1,2026,1.0
REGION1,TZBACKSTOP,2027,1.0
REGION1,TZSOU1PH1,2027,0.0
REGION1,TZNGGCPH1,2027,1.0
REGION1,TZLFRCPH1,2027,1.0
REGION1,TZHFGCPH1,2027,1.0
REGION1,TZBMCHPH1,2027,1.0
REGION1,TZHYDMSH1,2027,1.0
REGION1,TZSOU1PN1,2027,0.0
REGION1,TZNGGCPN1,2027,1.0
REGION1,TZLFRCPN1,2027,1.0
REGION1,TZHFGCPN1,2027,1.0
REGION1,TZBMCHPN1,2027,1.0
REGION1,TZHYDMSN1,2027,1.0
REGION1,TZWINDPN1,2027,0.05
REGION1,TZNGCCSPN1,2027,1.0
REGION1,TZBMCCSPN1,2027,1.0
REGION1,TZBATTN1,2027,1.0
REGION1,KEELTZPH1,2027,1.0
REGION1,TZELUGPH1,2027,1.0
REGION1,UGELTZPH1,2027,1.0
REGION1,TZBACKSTOP,2028,1.0
REGION1,TZSOU1PH1,2028,0.0
REGION1,TZNGGCPH1,2028,1.0
REGION1,TZLFRCPH1,2028,1.0
REGION1,TZHFGCPH1,2028,1.0
REGION1,TZBMCHPH1,2028,1.0
REGION1,TZHYDMSH1,2028,1.0
REGION1,TZSOU1PN1,2028,0.0
REGION1,TZNGGCPN1,2028,1.0
REGION1,TZLFRCPN1,2028,1.0
REGION1,TZHFGCPN1,2028,1.0
REGION1,TZBMCHPN1,2028,1.0
REGION1,TZHYDMSN1,2028,1.0
REGION1,TZWINDPN1,2028,0.05
REGION1,TZNGCCSPN1,2028,1.0
REGION1,TZBMCCSPN1,2028,1.0
REGION1,TZBATTN1,2028,1.0
REGION1,KEELTZPH1,2028,1.0
REGION1,TZELUGPH1,2028,1.0
REGION1,UGELTZPH1,2028,1.0
REGION1,TZBACKSTOP,2029,1.0
REGION1,TZSOU1PH1,2029,0.0
REGION1,TZNGGCPH1,2029,1.0
REGION1,TZLFRCPH1,2029,1.0
REGION1,TZHFGCPH1,2029,1.0
REGION1,TZBMCHPH1,2029,1.0
REGION1,TZHYDMSH1,2029,1.0
REGION1,TZSOU1PN1,2029,0.0
REGION1,TZNGGCPN1,2029,1.0
REGION1,TZLFRCPN1,2029,1.0
REGION1,TZHFGCPN1,2029,1.0
REGION1,TZBMCHPN1,2029,1.0
REGION1,TZHYDMSN1,2029,1.0
REGION1,TZWINDPN1,2029,0.05
REGION1,TZNGCCSPN1,2029,1.0
REGION1,TZBMCCSPN1,2029,1.0
REGION1,TZBATTN1,2029,1.0
REGION1,KEELTZPH1,2029,1.0
