REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
REGION1,ALNGGRPI0,1,2021,53.03304
REGION1,ALNGITPI0,1,2021,722.20068
REGION1,ATNGDEPI0,1,2021,558.85734
REGION1,ATNGDEPI0,2,2021,606.58182
REGION1,ATNGHUPI0,1,2021,201.14712
REGION1,ATNGITPI0,1,2021,1577.27304
REGION1,ATNGITPI0,2,2021,254.7396415
REGION1,ATNGSIPI0,1,2021,147.825
REGION1,ATNGSIPI0,2,2021,0.0
REGION1,ATNGSKPI0,1,2021,323.901
REGION1,ATNGSKPI0,2,2021,2063.5056
REGION1,BENGDEPI0,1,2021,546.86052
REGION1,BENGDEPI0,2,2021,572.61492
REGION1,BENGFRPI0,1,2021,1103.76
REGION1,BENGFRPI0,2,2021,354.78
REGION1,BENGUKPI0,1,2021,1055.6676
REGION1,BENGUKPI0,2,2021,856.3338
REGION1,BENGNLPI0,1,2021,444.6576
REGION1,BENGNLPI0,2,2021,1822.7808
REGION1,BGNGGRPI0,1,2021,154.38186
REGION1,BGNGGRPI0,2,2021,87.09192
REGION1,BGNGROPI0,1,2021,240.57369
REGION1,BGNGROPI0,2,2021,339.902892
REGION1,BYNGLTPI0,1,2021,0.0
REGION1,CYNGEGPI0,1,2021,0.0
REGION1,CYNGGRPI0,1,2021,0.0
REGION1,CYNGGRPI0,2,2021,0.0
REGION1,CZNGDEPI0,1,2021,1407.951
REGION1,CZNGDEPI0,2,2021,1819.125252
REGION1,CZNGPLPI0,1,2021,36.83152512
REGION1,CZNGPLPI0,2,2021,0.0
REGION1,CZNGSKPI0,1,2021,1637.7696
REGION1,CZNGSKPI0,2,2021,601.2864
REGION1,DENGCHPI0,1,2021,455.52438
REGION1,DENGCHPI0,2,2021,315.36
REGION1,DENGFRPI0,1,2021,806.45436
REGION1,DENGNLPI0,1,2021,671.04666
REGION1,DENGNLPI0,2,2021,2903.95314
REGION1,DENGPLPI0,1,2021,63.9918
REGION1,DENGPLPI0,2,2021,0.1314
REGION1,DKNGDEPI0,1,2021,5.42682
REGION1,DKNGDEPI0,2,2021,162.55494
REGION1,DKNGPLPI0,1,2021,422.929296
REGION1,DKNGPLPI0,2,2021,119.574
REGION1,DKNGSEPI0,1,2021,115.3692
REGION1,DKNGSEPI0,2,2021,115.3692
REGION1,DZNGESPI0,1,2021,442.9802501
REGION1,DZNGITPI0,1,2021,1582.29252
REGION1,EENGFIPI0,1,2021,71.7444
REGION1,EENGFIPI0,2,2021,118.26
REGION1,EENGLVPI0,1,2021,137.97
REGION1,EENGLVPI0,2,2021,137.97
REGION1,FRNGCHPI0,1,2021,340.89102
REGION1,FRNGCHPI0,2,2021,250.23816
REGION1,FRNGESPI0,1,2021,216.24498
REGION1,FRNGESPI0,2,2021,294.8616
REGION1,GRNGITPI0,1,2021,0.0
REGION1,HRNGHUPI0,1,2021,67.9921416
REGION1,HRNGHUPI0,2,2021,101.95326
REGION1,HRNGSIPI0,1,2021,10.15722
REGION1,HRNGSIPI0,2,2021,70.5618
REGION1,HUNGROPI0,1,2021,101.78244
REGION1,HUNGROPI0,2,2021,96.40818
REGION1,HUNGSKPI0,1,2021,66.85632
REGION1,HUNGSKPI0,2,2021,169.46658
REGION1,IENGUKPI0,1,2021,0.0
REGION1,IENGUKPI0,2,2021,508.3866
REGION1,ITNGCHPI0,1,2021,580.1231055
REGION1,ITNGCHPI0,2,2021,847.75338
REGION1,ITNGMTPI0,1,2021,0.0
REGION1,ITNGMTPI0,2,2021,0.0
REGION1,ITNGSIPI0,1,2021,37.1862
REGION1,ITNGSIPI0,2,2021,33.7698
REGION1,LTNGPLPI0,1,2021,76.3029288
REGION1,LTNGPLPI0,2,2021,28.130112
REGION1,LVNGLTPI0,1,2021,85.5414
REGION1,LVNGLTPI0,2,2021,118.26
REGION1,LYNGITPI0,1,2021,0.0
REGION1,MANGESPI0,1,2021,0.0
REGION1,MDNGROPI0,1,2021,28.32984
REGION1,NLNGUKPI0,1,2021,649.6416
REGION1,NLNGUKPI0,2,2021,220.752
REGION1,NONGBEPI0,1,2021,641.232
REGION1,NONGDEPI0,1,2021,1638.4923
REGION1,NONGDKPI0,1,2021,403.1352
REGION1,NONGFRPI0,1,2021,748.98
REGION1,NONGUKPI0,1,2021,1969.8174
REGION1,NONGNLPI0,1,2021,1267.7472
REGION1,PLNGSKPI0,1,2021,189.216
REGION1,PLNGSKPI0,2,2021,228.55716
REGION1,PTNGESPI0,1,2021,105.12
REGION1,PTNGESPI0,2,2021,189.216
REGION1,RSNGBGPI0,1,2021,520.769736
REGION1,RSNGHUPI0,1,2021,322.92864
REGION1,RSNGROPI0,1,2021,0.0
REGION1,RUNGEEPI0,1,2021,96.579
REGION1,RUNGFIPI0,1,2021,289.08
REGION1,RUNGLVPI0,1,2021,0.0
REGION1,TRNGBGPI0,1,2021,757.405368
REGION1,TRNGGRPI0,1,2021,30.24828
REGION1,UANGHUPI0,1,2021,679.95558
REGION1,UANGPLPI0,1,2021,178.1784
REGION1,UANGROPI0,1,2021,1461.83814
REGION1,UANGSKPI0,1,2021,2992.7664
REGION1,BENGLUPI0,1,2021,231.12
REGION1,NGNGDZPI0,1,2021,0.0
REGION1,MZNGZAPI0,1,2021,212.0
REGION1,NGNGLYPI0,1,2021,0.0
REGION1,ETNGDJPI0,1,2021,0.0
REGION1,NGNGGQPI0,1,2021,0.0
REGION1,TZNGKEPI0,1,2021,0.0
REGION1,NGNGMAPI0,1,2021,0.0
REGION1,NGNGBJPI0,1,2021,175.85
REGION1,NGNGGHPI0,1,2021,175.85
REGION1,NGNGNEPI0,1,2021,1140.0
REGION1,NGNGTGPI0,1,2021,175.85
REGION1,NGNGTNPI0,1,2021,1273.0
REGION1,DZNGMAPI0,1,2021,456.0
REGION1,ALNGGRPI0,1,2022,53.03304
REGION1,ALNGITPI0,1,2022,722.20068
REGION1,ATNGDEPI0,1,2022,558.85734
REGION1,ATNGDEPI0,2,2022,606.58182
REGION1,ATNGHUPI0,1,2022,201.14712
REGION1,ATNGITPI0,1,2022,1577.27304
REGION1,ATNGITPI0,2,2022,254.7396415
REGION1,ATNGSIPI0,1,2022,147.825
REGION1,ATNGSIPI0,2,2022,0.0
REGION1,ATNGSKPI0,1,2022,323.901
REGION1,ATNGSKPI0,2,2022,2063.5056
