REGION,TECHNOLOGY,STORAGE,MODE_OF_OPERATION,VALUE
REGION1,ATHYDSPH1,ATHYDSSH1,1,1.0
REGION1,BEHYDSPH1,BEHYDSSH1,1,1.0
REGION1,BGHYDSPH1,BGHYDSSH1,1,1.0
REGION1,CZHYDSPH1,CZHYDSSH1,1,1.0
REGION1,DEHYDSPH1,DEHYDSSH1,1,1.0
REGION1,GRHYDSPH1,GRHYDSSH1,1,1.0
REGION1,ESHYDSPH1,ESHYDSSH1,1,1.0
REGION1,FRHYDSPH1,FRHYDSSH1,1,1.0
REGION1,HRHYDSPH1,HRHYDSSH1,1,1.0
REGION1,IEHYDSPH1,IEHYDSSH1,1,1.0
REGION1,ITHYDSPH1,ITHYDSSH1,1,1.0
REGION1,LTHYDSPH1,LTHYDSSH1,1,1.0
REGION1,LUHYDSPH1,LUHYDSSH1,1,1.0
REGION1,PLHYDSPH1,SLHYDSSH1,1,1.0
REGION1,PTHYDSPH1,STHYDSSH1,1,1.0
REGION1,ROHYDSPH1,ROHYDSSH1,1,1.0
REGION1,SEHYDSPH1,SEHYDSSH1,1,1.0
REGION1,SIHYDSPH1,SIHYDSSH1,1,1.0
REGION1,SKHYDSPH1,SKHYDSSH1,1,1.0
REGION1,CHHYDSPH1,CHHYDSSH1,1,1.0
REGION1,UKHYDSPH1,UKHYDSSH1,1,1.0
REGION1,ATHYDSPN1,ATHYDSSN1,1,1.0
REGION1,BEHYDSPN1,BEHYDSSN1,1,1.0
REGION1,BGHYDSPN1,BGHYDSSN1,1,1.0
REGION1,CZHYDSPN1,CZHYDSSN1,1,1.0
REGION1,DEHYDSPN1,DEHYDSSN1,1,1.0
REGION1,GRHYDSPN1,GRHYDSSN1,1,1.0
REGION1,ESHYDSPN1,ESHYDSSN1,1,1.0
REGION1,FRHYDSPN1,FRHYDSSN1,1,1.0
REGION1,HRHYDSPN1,HRHYDSSN1,1,1.0
REGION1,IEHYDSPN1,IEHYDSSN1,1,1.0
REGION1,ITHYDSPN1,ITHYDSSN1,1,1.0
REGION1,LTHYDSPN1,LTHYDSSN1,1,1.0
REGION1,LUHYDSPN1,LUHYDSSN1,1,1.0
REGION1,PLHYDSPN1,SLHYDSSN1,1,1.0
REGION1,PTHYDSPN1,STHYDSSN1,1,1.0
REGION1,ROHYDSPN1,ROHYDSSN1,1,1.0
REGION1,SEHYDSPN1,SEHYDSSN1,1,1.0
REGION1,SIHYDSPN1,SIHYDSSN1,1,1.0
REGION1,SKHYDSPN1,SKHYDSSN1,1,1.0
REGION1,CHHYDSPN1,CHHYDSSN1,1,1.0
REGION1,UKHYDSPN1,UKHYDSSN1,1,1.0
REGION1,ATBATTH1,ATBATSH1,1,1.0
REGION1,BEBATTH1,BEBATSH1,1,1.0
REGION1,BGBATTH1,BGBATSH1,1,1.0
REGION1,CHBATTH1,CHBATSH1,1,1.0
REGION1,CYBATTH1,CYBATSH1,1,1.0
REGION1,CZBATTH1,CZBATSH1,1,1.0
REGION1,DEBATTH1,DEBATSH1,1,1.0
REGION1,DKBATTH1,DKBATSH1,1,1.0
REGION1,EEBATTH1,EEBATSH1,1,1.0
REGION1,GRBATTH1,GRBATSH1,1,1.0
REGION1,ESBATTH1,ESBATSH1,1,1.0
REGION1,FIBATTH1,FIBATSH1,1,1.0
REGION1,FRBATTH1,FRBATSH1,1,1.0
REGION1,HRBATTH1,HRBATSH1,1,1.0
REGION1,HUBATTH1,HUBATSH1,1,1.0
REGION1,IEBATTH1,IEBATSH1,1,1.0
REGION1,ITBATTH1,ITBATSH1,1,1.0
REGION1,LTBATTH1,LTBATSH1,1,1.0
REGION1,LUBATTH1,LUBATSH1,1,1.0
REGION1,LVBATTH1,LVBATSH1,1,1.0
REGION1,MTBATTH1,MTBATSH1,1,1.0
REGION1,NLBATTH1,NLBATSH1,1,1.0
REGION1,NOBATTH1,NOBATSH1,1,1.0
REGION1,PLBATTH1,PLBATSH1,1,1.0
REGION1,PTBATTH1,PTBATSH1,1,1.0
REGION1,ROBATTH1,ROBATSH1,1,1.0
REGION1,SEBATTH1,SEBATSH1,1,1.0
REGION1,SIBATTH1,SIBATSH1,1,1.0
REGION1,SKBATTH1,SKBATSH1,1,1.0
REGION1,UKBATTH1,UKBATSH1,1,1.0
REGION1,DZBATTN1,DZBATSN1,1,1.0
REGION1,AOBATTN1,AOBATSN1,1,1.0
REGION1,BJBATTN1,BJBATSN1,1,1.0
REGION1,BWBATTN1,BWBATSN1,1,1.0
REGION1,BFBATTN1,BFBATSN1,1,1.0
REGION1,BIBATTN1,BIBATSN1,1,1.0
REGION1,CMBATTN1,CMBATSN1,1,1.0
REGION1,CFBATTN1,CFBATSN1,1,1.0
REGION1,TDBATTN1,TDBATSN1,1,1.0
REGION1,CIBATTN1,CIBATSN1,1,1.0
REGION1,DJBATTN1,DJBATSN1,1,1.0
REGION1,CDBATTN1,CDBATSN1,1,1.0
