REGION,TECHNOLOGY,YEAR,VALUE
REGION1,BGBATTH1,2021,0.0
REGION1,CYBATTH1,2021,0.0
REGION1,GRBATTH1,2021,0.0
REGION1,HRBATTH1,2021,0.0
REGION1,IEBATTH1,2021,0.0
REGION1,ITBATTH1,2021,0.0
REGION1,LTBATTH1,2021,0.0
REGION1,PLBATTH1,2021,0.0
REGION1,PTBATTH1,2021,0.0
REGION1,ROBATTH1,2021,0.0
REGION1,BGBATTH1,2022,0.0
REGION1,CYBATTH1,2022,0.0
REGION1,GRBATTH1,2022,0.0
REGION1,HRBATTH1,2022,0.0
REGION1,IEBATTH1,2022,0.0
REGION1,ITBATTH1,2022,0.0
REGION1,LTBATTH1,2022,0.0
REGION1,PLBATTH1,2022,0.0
REGION1,PTBATTH1,2022,0.0
REGION1,ROBATTH1,2022,0.0
REGION1,BGBATTH1,2023,0.0
REGION1,CYBATTH1,2023,0.0
REGION1,GRBATTH1,2023,0.0
REGION1,HRBATTH1,2023,0.0
REGION1,IEBATTH1,2023,0.0
REGION1,ITBATTH1,2023,0.0
REGION1,LTBATTH1,2023,0.0
REGION1,PLBATTH1,2023,0.0
REGION1,PTBATTH1,2023,0.0
REGION1,ROBATTH1,2023,0.0
REGION1,BGBATTH1,2024,0.0
REGION1,CYBATTH1,2024,0.0
REGION1,GRBATTH1,2024,0.0
REGION1,HRBATTH1,2024,0.0
REGION1,IEBATTH1,2024,0.0
REGION1,ITBATTH1,2024,0.0
REGION1,LTBATTH1,2024,0.0
REGION1,PLBATTH1,2024,0.0
REGION1,PTBATTH1,2024,0.0
REGION1,ROBATTH1,2024,0.0
REGION1,BGBATTH1,2025,0.18
REGION1,CYBATTH1,2025,0.0
REGION1,GRBATTH1,2025,0.0
REGION1,HRBATTH1,2025,0.0
REGION1,IEBATTH1,2025,0.0
REGION1,ITBATTH1,2025,0.0
REGION1,LTBATTH1,2025,0.0
REGION1,PLBATTH1,2025,0.0
REGION1,PTBATTH1,2025,0.5
REGION1,ROBATTH1,2025,0.2
REGION1,BGBATTH1,2026,0.0
REGION1,CYBATTH1,2026,0.0
REGION1,GRBATTH1,2026,0.0
REGION1,HRBATTH1,2026,0.0
REGION1,IEBATTH1,2026,0.0
REGION1,ITBATTH1,2026,0.0
REGION1,LTBATTH1,2026,0.0
REGION1,PLBATTH1,2026,0.0
REGION1,PTBATTH1,2026,0.0
REGION1,ROBATTH1,2026,0.0
REGION1,BGBATTH1,2027,0.0
REGION1,CYBATTH1,2027,0.0
REGION1,GRBATTH1,2027,0.0
REGION1,HRBATTH1,2027,0.0
REGION1,IEBATTH1,2027,0.0
REGION1,ITBATTH1,2027,0.0
REGION1,LTBATTH1,2027,0.0
REGION1,PLBATTH1,2027,0.0
REGION1,PTBATTH1,2027,0.0
REGION1,ROBATTH1,2027,0.0
REGION1,BGBATTH1,2028,0.0
REGION1,CYBATTH1,2028,0.0
REGION1,GRBATTH1,2028,0.0
REGION1,HRBATTH1,2028,0.0
REGION1,IEBATTH1,2028,0.0
REGION1,ITBATTH1,2028,0.0
REGION1,LTBATTH1,2028,0.0
REGION1,PLBATTH1,2028,0.0
REGION1,PTBATTH1,2028,0.0
REGION1,ROBATTH1,2028,0.0
REGION1,BGBATTH1,2029,0.0
REGION1,CYBATTH1,2029,0.0
REGION1,GRBATTH1,2029,0.0
REGION1,HRBATTH1,2029,0.0
REGION1,IEBATTH1,2029,0.0
REGION1,ITBATTH1,2029,0.0
REGION1,LTBATTH1,2029,0.0
REGION1,PLBATTH1,2029,0.0
REGION1,PTBATTH1,2029,0.0
REGION1,ROBATTH1,2029,0.0
REGION1,BGBATTH1,2030,1.28
REGION1,CYBATTH1,2030,0.16
REGION1,GRBATTH1,2030,4.33
REGION1,HRBATTH1,2030,0.25
REGION1,IEBATTH1,2030,1.7
REGION1,ITBATTH1,2030,15.0
REGION1,LTBATTH1,2030,1.5
REGION1,PLBATTH1,2030,0.77
REGION1,PTBATTH1,2030,2.0
REGION1,ROBATTH1,2030,1.2
REGION1,BGBATTH1,2031,0.0
REGION1,CYBATTH1,2031,0.0
REGION1,GRBATTH1,2031,0.0
REGION1,HRBATTH1,2031,0.0
REGION1,IEBATTH1,2031,0.0
REGION1,ITBATTH1,2031,0.0
REGION1,LTBATTH1,2031,0.0
REGION1,PLBATTH1,2031,0.0
REGION1,PTBATTH1,2031,0.0
REGION1,ROBATTH1,2031,0.0
REGION1,BGBATTH1,2032,0.0
REGION1,CYBATTH1,2032,0.0
REGION1,GRBATTH1,2032,0.0
REGION1,HRBATTH1,2032,0.0
REGION1,IEBATTH1,2032,0.0
REGION1,ITBATTH1,2032,0.0
REGION1,LTBATTH1,2032,0.0
REGION1,PLBATTH1,2032,0.0
REGION1,PTBATTH1,2032,0.0
REGION1,ROBATTH1,2032,0.0
REGION1,BGBATTH1,2033,0.0
REGION1,CYBATTH1,2033,0.0
REGION1,GRBATTH1,2033,0.0
REGION1,HRBATTH1,2033,0.0
REGION1,IEBATTH1,2033,0.0
REGION1,ITBATTH1,2033,0.0
REGION1,LTBATTH1,2033,0.0
REGION1,PLBATTH1,2033,0.0
REGION1,PTBATTH1,2033,0.0
REGION1,ROBATTH1,2033,0.0
REGION1,BGBATTH1,2034,0.0
REGION1,CYBATTH1,2034,0.0
REGION1,GRBATTH1,2034,0.0
REGION1,HRBATTH1,2034,0.0
REGION1,IEBATTH1,2034,0.0
REGION1,ITBATTH1,2034,0.0
REGION1,LTBATTH1,2034,0.0
REGION1,PLBATTH1,2034,0.0
REGION1,PTBATTH1,2034,0.0
REGION1,ROBATTH1,2034,0.0
REGION1,BGBATTH1,2035,0.0
REGION1,CYBATTH1,2035,0.0
REGION1,GRBATTH1,2035,0.0
REGION1,HRBATTH1,2035,0.0
REGION1,IEBATTH1,2035,0.0
REGION1,ITBATTH1,2035,0.0
REGION1,LTBATTH1,2035,0.0
REGION1,PLBATTH1,2035,0.0
REGION1,PTBATTH1,2035,0.0
REGION1,ROBATTH1,2035,0.0
REGION1,BGBATTH1,2036,0.0
REGION1,CYBATTH1,2036,0.0
REGION1,GRBATTH1,2036,0.0
REGION1,HRBATTH1,2036,0.0
REGION1,IEBATTH1,2036,0.0
REGION1,ITBATTH1,2036,0.0
REGION1,LTBATTH1,2036,0.0
REGION1,PLBATTH1,2036,0.0
REGION1,PTBATTH1,2036,0.0
REGION1,ROBATTH1,2036,0.0
REGION1,BGBATTH1,2037,0.0
REGION1,CYBATTH1,2037,0.0
REGION1,GRBATTH1,2037,0.0
