REGION,TECHNOLOGY,YEAR,VALUE
REGION1,BELG00I00,2021,0.0
REGION1,HRLG00I00,2021,0.0
REGION1,CYLG00I00,2021,0.0
REGION1,FRLG00I00,2021,0.0
REGION1,FILG00I00,2021,0.0
REGION1,DELG00I00,2021,0.0
REGION1,GRLG00I00,2021,0.0
REGION1,ITLG00I00,2021,0.0
REGION1,LVLG00I00,2021,0.0
REGION1,LTLG00I00,2021,0.0
REGION1,MTLG00I00,2021,0.0
REGION1,NLLG00I00,2021,0.0
REGION1,PLLG00I00,2021,0.0
REGION1,ESLG00I00,2021,0.0
REGION1,UKLG00I00,2021,0.0
REGION1,PTLG00I00,2021,0.0
REGION1,BENUG2PN1,2021,0.0
REGION1,BGNUG2PN1,2021,0.0
REGION1,CZNUG2PN1,2021,0.0
REGION1,DENUG2PN1,2021,0.0
REGION1,ESNUG2PN1,2021,0.0
REGION1,FINUG2PN1,2021,0.0
REGION1,FRNUG2PN1,2021,0.0
REGION1,HUNUG2PN1,2021,0.0
REGION1,NLNUG2PN1,2021,0.0
REGION1,RONUG2PN1,2021,0.0
REGION1,SENUG2PN1,2021,0.0
REGION1,SINUG2PN1,2021,0.0
REGION1,SKNUG2PN1,2021,0.0
REGION1,CHNUG2PN1,2021,0.0
REGION1,UKNUG2PN1,2021,0.0
REGION1,ATHYDSPN1,2021,0.0
REGION1,BEHYDSPN1,2021,0.0
REGION1,BGHYDSPN1,2021,0.0
REGION1,CZHYDSPN1,2021,0.0
REGION1,DEHYDSPN1,2021,0.0
REGION1,GRHYDSPN1,2021,0.0
REGION1,ESHYDSPN1,2021,0.0
REGION1,FRHYDSPN1,2021,0.0
REGION1,HRHYDSPN1,2021,0.0
REGION1,IEHYDSPN1,2021,0.0
REGION1,ITHYDSPN1,2021,0.0
REGION1,LTHYDSPN1,2021,0.0
REGION1,LUHYDSPN1,2021,0.0
REGION1,PLHYDSPN1,2021,0.0
REGION1,PTHYDSPN1,2021,0.0
REGION1,ROHYDSPN1,2021,0.0
REGION1,SEHYDSPN1,2021,0.0
REGION1,SIHYDSPN1,2021,0.0
REGION1,SKHYDSPN1,2021,0.0
REGION1,CHHYDSPN1,2021,0.0
REGION1,UKHYDSPN1,2021,0.0
REGION1,ATHYDMPN1,2021,0.0
REGION1,ATHYDRPN1,2021,0.0
REGION1,BEHYDMPN1,2021,0.0
REGION1,BEHYDRPN1,2021,0.0
REGION1,BGHYDMPN1,2021,0.0
REGION1,BGHYDRPN1,2021,0.0
REGION1,CZHYDRPN1,2021,0.0
REGION1,CZHYDMPN1,2021,0.0
REGION1,DEHYDMPN1,2021,0.0
REGION1,DEHYDRPN1,2021,0.0
REGION1,DKHYDRPN1,2021,0.0
REGION1,DKHYDMPN1,2021,0.0
REGION1,EEHYDRPN1,2021,0.0
REGION1,GRHYDMPN1,2021,0.0
REGION1,GRHYDRPN1,2021,0.0
REGION1,ESHYDMPN1,2021,0.0
REGION1,ESHYDRPN1,2021,0.0
REGION1,FIHYDMPN1,2021,0.0
REGION1,FIHYDRPN1,2021,0.0
REGION1,FRHYDMPN1,2021,0.0
REGION1,FRHYDRPN1,2021,0.0
REGION1,HRHYDMPN1,2021,0.0
REGION1,HRHYDRPN1,2021,0.0
REGION1,HUHYDMPN1,2021,0.0
REGION1,HUHYDRPN1,2021,0.0
REGION1,IEHYDMPN1,2021,0.0
REGION1,IEHYDRPN1,2021,0.0
REGION1,ITHYDMPN1,2021,0.0
REGION1,ITHYDRPN1,2021,0.0
REGION1,LTHYDRPN1,2021,0.0
REGION1,LUHYDRPN1,2021,0.0
REGION1,LVHYDMPN1,2021,0.0
REGION1,LVHYDRPN1,2021,0.0
REGION1,NLHYDRPN1,2021,0.0
REGION1,PLHYDMPN1,2021,0.0
REGION1,PLHYDRPN1,2021,0.0
REGION1,PTHYDMPN1,2021,0.0
REGION1,PTHYDRPN1,2021,0.0
REGION1,ROHYDMPN1,2021,0.0
REGION1,ROHYDRPN1,2021,0.0
REGION1,SEHYDMPN1,2021,0.0
REGION1,SEHYDRPN1,2021,0.0
REGION1,SIHYDMPN1,2021,0.0
REGION1,SIHYDRPN1,2021,0.0
REGION1,SKHYDMPN1,2021,0.0
REGION1,SKHYDRPN1,2021,0.0
REGION1,NOHYDRPN1,2021,0.0
REGION1,NOHYDMPN1,2021,0.0
REGION1,CHHYDRPN1,2021,0.0
REGION1,CHHYDMPN1,2021,0.0
REGION1,UKHYDMPN1,2021,0.0
REGION1,UKHYDRPN1,2021,0.0
REGION1,EGLG00I00,2021,0.0
REGION1,GHLG00I00,2021,0.0
REGION1,MALG00I00,2021,0.0
REGION1,MZLG00I00,2021,0.0
REGION1,SNLG00I00,2021,0.0
REGION1,ZALG00I00,2021,0.0
REGION1,DZLG00E00,2021,0.0
REGION1,NGLG00E00,2021,0.0
REGION1,EGLG00E00,2021,0.0
REGION1,AOLG00E00,2021,0.0
REGION1,GQLG00E00,2021,0.0
REGION1,MZLG00E00,2021,0.0
REGION1,CGLG00E00,2021,0.0
REGION1,GALG00E00,2021,0.0
REGION1,MRLG00E00,2021,0.0
REGION1,SNLG00E00,2021,0.0
REGION1,TZLG00E00,2021,0.0
REGION1,BFHYDMSN1,2021,0.0
REGION1,BIHYDMSN1,2021,0.0
REGION1,CMHYDMSN1,2021,0.0
REGION1,CDHYDMSN1,2021,0.0
REGION1,ETHYDMSN1,2021,0.0
REGION1,KEHYDMSN1,2021,0.0
REGION1,MLHYDMSN1,2021,0.0
REGION1,NGHYDMSN1,2021,0.0
REGION1,UGHYDMSN1,2021,0.0
REGION1,ZMHYDMSN1,2021,0.0
REGION1,DZHYDMSN1,2021,0.0
REGION1,EGHYDMSN1,2021,0.0
REGION1,MAHYDMSN1,2021,0.0
REGION1,SDHYDMSN1,2021,0.0
REGION1,TNHYDMSN1,2021,0.0
REGION1,AOHYDMSN1,2021,0.0
REGION1,BJHYDMSN1,2021,0.0
REGION1,CFHYDMSN1,2021,0.0
REGION1,CGHYDMSN1,2021,0.0
REGION1,CIHYDMSN1,2021,0.0
REGION1,GQHYDMSN1,2021,0.0
REGION1,SZHYDMSN1,2021,0.0
REGION1,GAHYDMSN1,2021,0.0
REGION1,GHHYDMSN1,2021,0.0
REGION1,GNHYDMSN1,2021,0.0
REGION1,LSHYDMSN1,2021,0.0
REGION1,LRHYDMSN1,2021,0.0
REGION1,MWHYDMSN1,2021,0.0
REGION1,MZHYDMSN1,2021,0.0
REGION1,NAHYDMSN1,2021,0.0
REGION1,RWHYDMSN1,2021,0.0
REGION1,SNHYDMSN1,2021,0.0
REGION1,SLHYDMSN1,2021,0.0
REGION1,ZAHYDMSN1,2021,0.0
REGION1,TGHYDMSN1,2021,0.0
REGION1,TZHYDMSN1,2021,0.0
REGION1,ZWHYDMSN1,2021,0.0
REGION1,MAHYDSPN1,2021,0.0
REGION1,ZAHYDSPN1,2021,0.0
REGION1,KEBATTN1,2021,0.0
REGION1,ETBMCHPN1,2021,0.0
REGION1,KEBMCHPN1,2021,0.0
REGION1,ZABMCHPN1,2021,0.0
REGION1,BWCOSCPN1,2021,0.0
REGION1,ZACOSCPN1,2021,0.0
REGION1,ETGOCVPN1,2021,0.0
REGION1,KEGOCVPN1,2021,0.0
REGION1,RWNGGCPN1,2021,0.0
REGION1,DZNGCCPN1,2021,0.0
REGION1,MANGCCPN1,2021,0.0
REGION1,TNNGCCPN1,2021,0.0
REGION1,UGNGCCPN1,2021,0.0
REGION1,MZNGGCPN1,2021,0.0
REGION1,NGNGGCPN1,2021,0.0
REGION1,AOSOU1PN1,2021,0.0
REGION1,GASOU1PN1,2021,0.00049
REGION1,DZSOU1PN1,2021,0.0
REGION1,MASOU1PN1,2021,0.0
REGION1,TNSOU1PN1,2021,0.0
REGION1,ETSOU1PN1,2021,0.021184
REGION1,KESOU1PN1,2021,0.0
REGION1,TZSOU1PN1,2021,0.0
REGION1,BWSOU1PN1,2021,0.0
REGION1,ZASOU1PN1,2021,0.0
REGION1,MAWINDPN1,2021,0.0
REGION1,TNWINDPN1,2021,0.0
REGION1,ETWINDPN1,2021,0.0
REGION1,KEWINDPN1,2021,0.0
REGION1,ZAWINDPN1,2021,2.495
REGION1,CICOSCPN1,2021,0.0
REGION1,EGNULWPN1,2021,0.0
REGION1,SSHYDMSN1,2021,0.0
REGION1,MABATTN1,2021,0.0
REGION1,CGSOU1PN1,2021,0.000565
REGION1,DJSOU1PN1,2021,0.000429
REGION1,DZWINDPN1,2021,0.01
REGION1,ERSOU1PN1,2021,0.025125
REGION1,ERWINDPN1,2021,0.000825
REGION1,GHWINDPN1,2021,2e-05
REGION1,GQSOU1PN1,2021,0.000189
REGION1,GWSOU1PN1,2021,0.002053
REGION1,LRSOU1PN1,2021,0.002136
REGION1,RWSOU1PN1,2021,0.02505
REGION1,SLSOU1PN1,2021,0.014772
REGION1,SSSOU1PN1,2021,0.003533
REGION1,SZNGCCPN1,2021,0.0
REGION1,SZWINDPN1,2021,0.0
REGION1,TDWINDPN1,2021,0.0011
REGION1,TGWINDPN1,2021,0.0
REGION1,TZWINDPN1,2021,0.0024
REGION1,ZMSOU1PN1,2021,0.096888
REGION1,DZNGCCPH1,2021,0.0
REGION1,DZNGGCPH1,2021,0.0
REGION1,DZSOU1PH1,2021,0.0
REGION1,EGBMCHPH1,2021,0.0
REGION1,EGSOU1PH1,2021,0.0
REGION1,EGWINDPH1,2021,0.0
REGION1,LYNGCCPH1,2021,0.0
REGION1,LYNGGCPH1,2021,0.0
REGION1,LYLFRCPH1,2021,0.0
REGION1,LYHFGCPH1,2021,0.0
REGION1,LYSOU1PH1,2021,0.0
REGION1,MASOU1PH1,2021,0.0
REGION1,MAWINDPH1,2021,0.0
REGION1,SDSOU1PH1,2021,0.0
REGION1,TNNGCCPH1,2021,0.0
REGION1,TNNGGCPH1,2021,0.0
REGION1,TNSOU1PH1,2021,0.0
REGION1,AOSOU1PH1,2021,0.0
REGION1,BJSOU1PH1,2021,0.0
REGION1,BFLFRCPH1,2021,0.0
REGION1,BFHFGCPH1,2021,0.0
REGION1,BFHYDMSH1,2021,0.0
REGION1,BFSOU1PH1,2021,0.0
REGION1,BIHYDMSH1,2021,0.0
REGION1,CMHYDMSH1,2021,0.0
REGION1,CMSOU1PH1,2021,0.0
REGION1,CFSOU1PH1,2021,0.0
REGION1,CINGCCPH1,2021,0.0
REGION1,CINGGCPH1,2021,0.0
REGION1,CISOU1PH1,2021,0.0
REGION1,CDLFRCPH1,2021,0.0
REGION1,CDHFGCPH1,2021,0.0
REGION1,CDHYDMSH1,2021,0.0
REGION1,CDSOU1PH1,2021,0.0
REGION1,DJWINDPH1,2021,0.0
REGION1,ETBMCHPH1,2021,0.0
REGION1,ETHYDMSH1,2021,0.0
REGION1,ETWINDPH1,2021,0.0
REGION1,GHNGCCPH1,2021,0.0
REGION1,GHNGGCPH1,2021,0.0
REGION1,GHSOU1PH1,2021,0.0
REGION1,KEGOCVPH1,2021,0.0
REGION1,KEHYDMSH1,2021,0.0
REGION1,KESOU1PH1,2021,0.0
REGION1,LSSOU1PH1,2021,0.0
REGION1,MWSOU1PH1,2021,0.0
REGION1,MLHYDMSH1,2021,0.0
REGION1,MLSOU1PH1,2021,0.0
REGION1,MRSOU1PH1,2021,0.0
REGION1,MRWINDPH1,2021,0.0
REGION1,MZLFRCPH1,2021,0.0
REGION1,MZHFGCPH1,2021,0.0
REGION1,MZSOU1PH1,2021,0.0
REGION1,NASOU1PH1,2021,0.0
REGION1,NELFRCPH1,2021,0.0
REGION1,NEHFGCPH1,2021,0.0
REGION1,NESOU1PH1,2021,0.0
REGION1,NGNGCCPH1,2021,0.0
REGION1,NGNGGCPH1,2021,0.0
REGION1,NGLFRCPH1,2021,0.0
REGION1,NGHFGCPH1,2021,0.0
REGION1,NGHYDMSH1,2021,0.0
REGION1,NGSOU1PH1,2021,0.0
REGION1,RWCOSCPH1,2021,0.0
REGION1,SNNGCCPH1,2021,0.0
REGION1,SNLFRCPH1,2021,0.0
REGION1,SNHFGCPH1,2021,0.0
REGION1,SNSOU1PH1,2021,0.0
REGION1,ZANULWPH1,2021,0.0
REGION1,ZASOU1PH1,2021,0.0
REGION1,SSWINDPH1,2021,0.0
REGION1,TGSOU1PH1,2021,0.0
REGION1,UGHYDMSH1,2021,0.0
REGION1,TZSOU1PH1,2021,0.0
REGION1,ZMHYDMSH1,2021,0.0
REGION1,ZWSOU1PH1,2021,0.0
REGION1,ZWCOSCPH1,2021,0.0
REGION1,DZLFRCPH1,2021,0.0
REGION1,DZHFGCPH1,2021,0.0
REGION1,DZHYDMSH1,2021,0.0
REGION1,DZSOC1PH1,2021,0.0
REGION1,EGNGCCPH1,2021,0.0
REGION1,EGNGGCPH1,2021,0.0
REGION1,EGLFRCPH1,2021,0.0
REGION1,EGHFGCPH1,2021,0.0
REGION1,EGHYDMSH1,2021,0.0
REGION1,EGSOC1PH1,2021,0.0
REGION1,MACOSCPH1,2021,0.0
REGION1,MALFRCPH1,2021,0.0
REGION1,MAHFGCPH1,2021,0.0
REGION1,MANGCCPH1,2021,0.0
REGION1,MANGGCPH1,2021,0.0
REGION1,MABMCHPH1,2021,0.0
REGION1,MAHYDMSH1,2021,0.0
REGION1,MASOC1PH1,2021,0.0
REGION1,SDLFRCPH1,2021,0.0
REGION1,SDHFGCPH1,2021,0.0
REGION1,SDBMCHPH1,2021,0.0
REGION1,SDHYDMSH1,2021,0.0
REGION1,TNLFRCPH1,2021,0.0
REGION1,TNHFGCPH1,2021,0.0
REGION1,TNHYDMSH1,2021,0.0
REGION1,TNWINDPH1,2021,0.0
REGION1,AONGGCPH1,2021,0.0
REGION1,AOLFRCPH1,2021,0.0
REGION1,AOHFGCPH1,2021,0.0
