REGION,TECHNOLOGY,YEAR,VALUE
REGION1,GRNGCCPH1,2021,62.098913547232385
REGION1,GRNGCHPH1,2021,18.857886452767616
REGION1,IENGCCPH1,2021,34.483033076029926
REGION1,IENGCHPH1,2021,20.076874923970074
REGION1,ITNGCCPH1,2021,383.7097867558578
REGION1,ITNGCHPH1,2021,134.68276124414214
REGION1,LTNGCHPH1,2021,6.86502
REGION1,LYNGCCPH1,2021,46.46977768904481
REGION1,LYNGGCPH1,2021,49.32262231095519
REGION1,MANGCCPH1,2021,9.653748959758273
REGION1,MANGGCPH1,2021,2.8115534402417253
REGION1,MTNGHPFH1,2021,6.86502
REGION1,MZNGGCPH1,2021,10.8172224
REGION1,NLNGCCPH1,2021,110.5070535868845
REGION1,NLNGCHPH1,2021,93.57907041311549
REGION1,PLNGCCPH1,2021,16.899577360277238
REGION1,PLNGCHPH1,2021,40.06576423972277
REGION1,RONGCCPH1,2021,17.707440669265463
REGION1,RONGCHPH1,2021,17.957791730734538
REGION1,TNNGCCPH1,2021,28.416192268440145
REGION1,TNNGGCPH1,2021,47.06500773155985
REGION1,TZNGGCPH1,2021,18.85356
REGION1,UKNGCCPH1,2021,418.168580154606
REGION1,UKNGCHPH1,2021,26.192765045394008
REGION1,GRNGCCPH1,2022,52.8591872608112
REGION1,GRNGCHPH1,2022,16.052012739188797
REGION1,IENGCCPH1,2022,37.60948476070697
REGION1,IENGCHPH1,2022,21.897172439293026
REGION1,ITNGCCPH1,2022,376.9078521138171
REGION1,ITNGCHPH1,2022,132.29527108618296
REGION1,LTNGCHPH1,2022,6.9792552
REGION1,LYNGCCPH1,2022,46.632192260245574
REGION1,LYNGGCPH1,2022,49.49500773975442
REGION1,MANGCCPH1,2022,1.9133029284992809
REGION1,MANGGCPH1,2022,0.5572294715007193
REGION1,MTNGHPFH1,2022,6.9792552
REGION1,MZNGGCPH1,2022,10.6849332
REGION1,NLNGCCPH1,2022,93.06484583281932
REGION1,NLNGCHPH1,2022,78.80874096718068
REGION1,PLNGCCPH1,2022,12.126874601375588
REGION1,PLNGCHPH1,2022,28.750570998624404
REGION1,RONGCCPH1,2022,16.682327886046448
REGION1,RONGCHPH1,2022,16.91818571395355
REGION1,TNNGCCPH1,2022,27.81441767478702
REGION1,TNNGGCPH1,2022,46.06838232521298
REGION1,TZNGGCPH1,2022,20.03648
REGION1,UKNGCCPH1,2022,425.9174113336105
REGION1,UKNGCHPH1,2022,26.678127466389505
REGION1,GRNGCCPH1,2023,0.0
REGION1,GRNGCHPH1,2023,0.0
REGION1,IENGCCPH1,2023,0.0
REGION1,IENGCHPH1,2023,0.0
REGION1,ITNGCCPH1,2023,0.0
REGION1,ITNGCHPH1,2023,0.0
REGION1,LTNGCHPH1,2023,0.0
REGION1,LYNGCCPH1,2023,0.0
REGION1,LYNGGCPH1,2023,0.0
REGION1,MANGCCPH1,2023,0.0
REGION1,MANGGCPH1,2023,0.0
REGION1,MTNGHPFH1,2023,0.0
REGION1,MZNGGCPH1,2023,0.0
REGION1,NLNGCCPH1,2023,0.0
REGION1,NLNGCHPH1,2023,0.0
REGION1,PLNGCCPH1,2023,0.0
REGION1,PLNGCHPH1,2023,0.0
REGION1,RONGCCPH1,2023,0.0
REGION1,RONGCHPH1,2023,0.0
REGION1,TNNGCCPH1,2023,0.0
REGION1,TNNGGCPH1,2023,0.0
REGION1,TZNGGCPH1,2023,0.0
REGION1,UKNGCCPH1,2023,0.0
REGION1,UKNGCHPH1,2023,0.0
REGION1,GRNGCCPH1,2024,0.0
REGION1,GRNGCHPH1,2024,0.0
REGION1,IENGCCPH1,2024,0.0
REGION1,IENGCHPH1,2024,0.0
REGION1,ITNGCCPH1,2024,0.0
REGION1,ITNGCHPH1,2024,0.0
REGION1,LTNGCHPH1,2024,0.0
REGION1,LYNGCCPH1,2024,0.0
REGION1,LYNGGCPH1,2024,0.0
REGION1,MANGCCPH1,2024,0.0
REGION1,MANGGCPH1,2024,0.0
REGION1,MTNGHPFH1,2024,0.0
REGION1,MZNGGCPH1,2024,0.0
REGION1,NLNGCCPH1,2024,0.0
REGION1,NLNGCHPH1,2024,0.0
REGION1,PLNGCCPH1,2024,0.0
REGION1,PLNGCHPH1,2024,0.0
REGION1,RONGCCPH1,2024,0.0
REGION1,RONGCHPH1,2024,0.0
REGION1,TNNGCCPH1,2024,0.0
REGION1,TNNGGCPH1,2024,0.0
REGION1,TZNGGCPH1,2024,0.0
REGION1,UKNGCCPH1,2024,0.0
REGION1,UKNGCHPH1,2024,0.0
REGION1,GRNGCCPH1,2025,0.0
REGION1,GRNGCHPH1,2025,0.0
REGION1,IENGCCPH1,2025,0.0
REGION1,IENGCHPH1,2025,0.0
REGION1,ITNGCCPH1,2025,0.0
REGION1,ITNGCHPH1,2025,0.0
REGION1,LTNGCHPH1,2025,0.0
REGION1,LYNGCCPH1,2025,0.0
REGION1,LYNGGCPH1,2025,0.0
REGION1,MANGCCPH1,2025,0.0
REGION1,MANGGCPH1,2025,0.0
REGION1,MTNGHPFH1,2025,0.0
REGION1,MZNGGCPH1,2025,0.0
REGION1,NLNGCCPH1,2025,0.0
REGION1,NLNGCHPH1,2025,0.0
REGION1,PLNGCCPH1,2025,0.0
REGION1,PLNGCHPH1,2025,0.0
REGION1,RONGCCPH1,2025,0.0
REGION1,RONGCHPH1,2025,0.0
REGION1,TNNGCCPH1,2025,0.0
REGION1,TNNGGCPH1,2025,0.0
REGION1,TZNGGCPH1,2025,0.0
REGION1,UKNGCCPH1,2025,0.0
REGION1,UKNGCHPH1,2025,0.0
REGION1,GRNGCCPH1,2026,0.0
REGION1,GRNGCHPH1,2026,0.0
REGION1,IENGCCPH1,2026,0.0
REGION1,IENGCHPH1,2026,0.0
REGION1,ITNGCCPH1,2026,0.0
REGION1,ITNGCHPH1,2026,0.0
REGION1,LTNGCHPH1,2026,0.0
REGION1,LYNGCCPH1,2026,0.0
REGION1,LYNGGCPH1,2026,0.0
REGION1,MANGCCPH1,2026,0.0
REGION1,MANGGCPH1,2026,0.0
REGION1,MTNGHPFH1,2026,0.0
REGION1,MZNGGCPH1,2026,0.0
REGION1,NLNGCCPH1,2026,0.0
REGION1,NLNGCHPH1,2026,0.0
REGION1,PLNGCCPH1,2026,0.0
REGION1,PLNGCHPH1,2026,0.0
REGION1,RONGCCPH1,2026,0.0
REGION1,RONGCHPH1,2026,0.0
REGION1,TNNGCCPH1,2026,0.0
REGION1,TNNGGCPH1,2026,0.0
REGION1,TZNGGCPH1,2026,0.0
REGION1,UKNGCCPH1,2026,0.0
REGION1,UKNGCHPH1,2026,0.0
REGION1,GRNGCCPH1,2027,0.0
REGION1,GRNGCHPH1,2027,0.0
REGION1,IENGCCPH1,2027,0.0
REGION1,IENGCHPH1,2027,0.0
REGION1,ITNGCCPH1,2027,0.0
REGION1,ITNGCHPH1,2027,0.0
REGION1,LTNGCHPH1,2027,0.0
REGION1,LYNGCCPH1,2027,0.0
REGION1,LYNGGCPH1,2027,0.0
REGION1,MANGCCPH1,2027,0.0
REGION1,MANGGCPH1,2027,0.0
REGION1,MTNGHPFH1,2027,0.0
REGION1,MZNGGCPH1,2027,0.0
REGION1,NLNGCCPH1,2027,0.0
REGION1,NLNGCHPH1,2027,0.0
REGION1,PLNGCCPH1,2027,0.0
REGION1,PLNGCHPH1,2027,0.0
REGION1,RONGCCPH1,2027,0.0
REGION1,RONGCHPH1,2027,0.0
REGION1,TNNGCCPH1,2027,0.0
REGION1,TNNGGCPH1,2027,0.0
REGION1,TZNGGCPH1,2027,0.0
REGION1,UKNGCCPH1,2027,0.0
REGION1,UKNGCHPH1,2027,0.0
REGION1,GRNGCCPH1,2028,0.0
REGION1,GRNGCHPH1,2028,0.0
REGION1,IENGCCPH1,2028,0.0
REGION1,IENGCHPH1,2028,0.0
REGION1,ITNGCCPH1,2028,0.0
REGION1,ITNGCHPH1,2028,0.0
REGION1,LTNGCHPH1,2028,0.0
REGION1,LYNGCCPH1,2028,0.0
REGION1,LYNGGCPH1,2028,0.0
