REGION,TECHNOLOGY,YEAR,VALUE
REGION1,UGBACKSTOP,2021,1.0
REGION1,UGHYDMSH1,2021,1.0
REGION1,UGSOU1PH1,2021,0.0
REGION1,UGLFRCPH1,2021,1.0
REGION1,UGHFGCPH1,2021,1.0
REGION1,UGBMCHPH1,2021,1.0
REGION1,UGHYDMSN1,2021,1.0
REGION1,UGSOU1PN1,2021,0.0
REGION1,UGLFRCPN1,2021,1.0
REGION1,UGHFGCPN1,2021,1.0
REGION1,UGBMCHPN1,2021,1.0
REGION1,UGNGCCPN1,2021,1.0
REGION1,UGWINDPN1,2021,0.05
REGION1,UGNGCCSPN1,2021,1.0
REGION1,UGBMCCSPN1,2021,1.0
REGION1,UGBATTN1,2021,1.0
REGION1,TZELUGPH1,2021,1.0
REGION1,UGELKEPH1,2021,1.0
REGION1,UGELRWPH1,2021,1.0
REGION1,UGELTZPH1,2021,1.0
REGION1,UGBACKSTOP,2022,1.0
REGION1,UGHYDMSH1,2022,1.0
REGION1,UGSOU1PH1,2022,0.0
REGION1,UGLFRCPH1,2022,1.0
REGION1,UGHFGCPH1,2022,1.0
REGION1,UGBMCHPH1,2022,1.0
REGION1,UGHYDMSN1,2022,1.0
REGION1,UGSOU1PN1,2022,0.0
REGION1,UGLFRCPN1,2022,1.0
REGION1,UGHFGCPN1,2022,1.0
REGION1,UGBMCHPN1,2022,1.0
REGION1,UGNGCCPN1,2022,1.0
REGION1,UGWINDPN1,2022,0.05
REGION1,UGNGCCSPN1,2022,1.0
REGION1,UGBMCCSPN1,2022,1.0
REGION1,UGBATTN1,2022,1.0
REGION1,TZELUGPH1,2022,1.0
REGION1,UGELKEPH1,2022,1.0
REGION1,UGELRWPH1,2022,1.0
REGION1,UGELTZPH1,2022,1.0
REGION1,UGBACKSTOP,2023,1.0
REGION1,UGHYDMSH1,2023,1.0
REGION1,UGSOU1PH1,2023,0.0
REGION1,UGLFRCPH1,2023,1.0
REGION1,UGHFGCPH1,2023,1.0
REGION1,UGBMCHPH1,2023,1.0
REGION1,UGHYDMSN1,2023,1.0
REGION1,UGSOU1PN1,2023,0.0
REGION1,UGLFRCPN1,2023,1.0
REGION1,UGHFGCPN1,2023,1.0
REGION1,UGBMCHPN1,2023,1.0
REGION1,UGNGCCPN1,2023,1.0
REGION1,UGWINDPN1,2023,0.05
REGION1,UGNGCCSPN1,2023,1.0
REGION1,UGBMCCSPN1,2023,1.0
REGION1,UGBATTN1,2023,1.0
REGION1,TZELUGPH1,2023,1.0
REGION1,UGELKEPH1,2023,1.0
REGION1,UGELRWPH1,2023,1.0
REGION1,UGELTZPH1,2023,1.0
REGION1,UGBACKSTOP,2024,1.0
REGION1,UGHYDMSH1,2024,1.0
REGION1,UGSOU1PH1,2024,0.0
REGION1,UGLFRCPH1,2024,1.0
REGION1,UGHFGCPH1,2024,1.0
REGION1,UGBMCHPH1,2024,1.0
REGION1,UGHYDMSN1,2024,1.0
REGION1,UGSOU1PN1,2024,0.0
REGION1,UGLFRCPN1,2024,1.0
REGION1,UGHFGCPN1,2024,1.0
REGION1,UGBMCHPN1,2024,1.0
REGION1,UGNGCCPN1,2024,1.0
REGION1,UGWINDPN1,2024,0.05
REGION1,UGNGCCSPN1,2024,1.0
REGION1,UGBMCCSPN1,2024,1.0
REGION1,UGBATTN1,2024,1.0
REGION1,TZELUGPH1,2024,1.0
REGION1,UGELKEPH1,2024,1.0
REGION1,UGELRWPH1,2024,1.0
REGION1,UGELTZPH1,2024,1.0
REGION1,UGBACKSTOP,2025,1.0
REGION1,UGHYDMSH1,2025,1.0
REGION1,UGSOU1PH1,2025,0.0
REGION1,UGLFRCPH1,2025,1.0
REGION1,UGHFGCPH1,2025,1.0
REGION1,UGBMCHPH1,2025,1.0
REGION1,UGHYDMSN1,2025,1.0
REGION1,UGSOU1PN1,2025,0.0
REGION1,UGLFRCPN1,2025,1.0
REGION1,UGHFGCPN1,2025,1.0
REGION1,UGBMCHPN1,2025,1.0
REGION1,UGNGCCPN1,2025,1.0
REGION1,UGWINDPN1,2025,0.05
REGION1,UGNGCCSPN1,2025,1.0
REGION1,UGBMCCSPN1,2025,1.0
REGION1,UGBATTN1,2025,1.0
REGION1,TZELUGPH1,2025,1.0
REGION1,UGELKEPH1,2025,1.0
REGION1,UGELRWPH1,2025,1.0
REGION1,UGELTZPH1,2025,1.0
REGION1,UGBACKSTOP,2026,1.0
REGION1,UGHYDMSH1,2026,1.0
REGION1,UGSOU1PH1,2026,0.0
REGION1,UGLFRCPH1,2026,1.0
REGION1,UGHFGCPH1,2026,1.0
REGION1,UGBMCHPH1,2026,1.0
REGION1,UGHYDMSN1,2026,1.0
REGION1,UGSOU1PN1,2026,0.0
REGION1,UGLFRCPN1,2026,1.0
REGION1,UGHFGCPN1,2026,1.0
REGION1,UGBMCHPN1,2026,1.0
REGION1,UGNGCCPN1,2026,1.0
REGION1,UGWINDPN1,2026,0.05
REGION1,UGNGCCSPN1,2026,1.0
REGION1,UGBMCCSPN1,2026,1.0
REGION1,UGBATTN1,2026,1.0
REGION1,TZELUGPH1,2026,1.0
REGION1,UGELKEPH1,2026,1.0
REGION1,UGELRWPH1,2026,1.0
REGION1,UGELTZPH1,2026,1.0
REGION1,UGBACKSTOP,2027,1.0
REGION1,UGHYDMSH1,2027,1.0
REGION1,UGSOU1PH1,2027,0.0
REGION1,UGLFRCPH1,2027,1.0
REGION1,UGHFGCPH1,2027,1.0
REGION1,UGBMCHPH1,2027,1.0
REGION1,UGHYDMSN1,2027,1.0
REGION1,UGSOU1PN1,2027,0.0
REGION1,UGLFRCPN1,2027,1.0
REGION1,UGHFGCPN1,2027,1.0
REGION1,UGBMCHPN1,2027,1.0
REGION1,UGNGCCPN1,2027,1.0
REGION1,UGWINDPN1,2027,0.05
REGION1,UGNGCCSPN1,2027,1.0
REGION1,UGBMCCSPN1,2027,1.0
REGION1,UGBATTN1,2027,1.0
REGION1,TZELUGPH1,2027,1.0
REGION1,UGELKEPH1,2027,1.0
REGION1,UGELRWPH1,2027,1.0
REGION1,UGELTZPH1,2027,1.0
REGION1,UGBACKSTOP,2028,1.0
REGION1,UGHYDMSH1,2028,1.0
REGION1,UGSOU1PH1,2028,0.0
REGION1,UGLFRCPH1,2028,1.0
REGION1,UGHFGCPH1,2028,1.0
REGION1,UGBMCHPH1,2028,1.0
REGION1,UGHYDMSN1,2028,1.0
REGION1,UGSOU1PN1,2028,0.0
REGION1,UGLFRCPN1,2028,1.0
REGION1,UGHFGCPN1,2028,1.0
REGION1,UGBMCHPN1,2028,1.0
REGION1,UGNGCCPN1,2028,1.0
REGION1,UGWINDPN1,2028,0.05
REGION1,UGNGCCSPN1,2028,1.0
REGION1,UGBMCCSPN1,2028,1.0
REGION1,UGBATTN1,2028,1.0
REGION1,TZELUGPH1,2028,1.0
REGION1,UGELKEPH1,2028,1.0
REGION1,UGELRWPH1,2028,1.0
REGION1,UGELTZPH1,2028,1.0
REGION1,UGBACKSTOP,2029,1.0
REGION1,UGHYDMSH1,2029,1.0
REGION1,UGSOU1PH1,2029,0.0
REGION1,UGLFRCPH1,2029,1.0
REGION1,UGHFGCPH1,2029,1.0
REGION1,UGBMCHPH1,2029,1.0
REGION1,UGHYDMSN1,2029,1.0
REGION1,UGSOU1PN1,2029,0.0
REGION1,UGLFRCPN1,2029,1.0
REGION1,UGHFGCPN1,2029,1.0
REGION1,UGBMCHPN1,2029,1.0
REGION1,UGNGCCPN1,2029,1.0
REGION1,UGWINDPN1,2029,0.05
