REGION,TECHNOLOGY,YEAR,VALUE
REGION1,UKBACKSTOP,2021,1.0
REGION1,UKBFHPFH1,2021,1.0
REGION1,UKBMCCPH1,2021,1.0
REGION1,UKBMSTPH1,2021,1.0
REGION1,UKCOCHPH1,2021,1.0
REGION1,UKHFCHPH1,2021,1.0
REGION1,UKHFSTPH1,2021,1.0
REGION1,UKHYDMPH1,2021,1.0
REGION1,UKHYDRPH1,2021,1.0
REGION1,UKHYDSPH1,2021,1.0
REGION1,UKNGCCPH1,2021,1.0
REGION1,UKNGCHPH1,2021,1.0
REGION1,UKNUG2PH1,2021,1.0
REGION1,UKOCWVPH1,2021,1.0
REGION1,UKSOUTPH1,2021,0.0
REGION1,UKWIOFPH1,2021,1.0
REGION1,UKWIONPH1,2021,1.0
REGION1,UKWSCHPH1,2021,1.0
REGION1,UKWSSTPH1,2021,1.0
REGION1,UKBFHPFN1,2021,1.0
REGION1,UKBMCCPN1,2021,1.0
REGION1,UKBMSTPN1,2021,1.0
REGION1,UKCOCHPN1,2021,1.0
REGION1,UKHFCHPN1,2021,1.0
REGION1,UKHFSTPN1,2021,1.0
REGION1,UKHYDMPN1,2021,1.0
REGION1,UKHYDRPN1,2021,1.0
REGION1,UKHYDSPN1,2021,1.0
REGION1,UKNGCCPN1,2021,1.0
REGION1,UKNGCHPN1,2021,1.0
REGION1,UKNUG2PN1,2021,1.0
REGION1,UKOCWVPN1,2021,1.0
REGION1,UKSOUTPN1,2021,0.0
REGION1,UKWIOFPN1,2021,1.0
REGION1,UKWIONPN1,2021,1.0
REGION1,UKWSCHPN1,2021,1.0
REGION1,UKWSSTPN1,2021,1.0
REGION1,UKNGCCSN1,2021,1.0
REGION1,UKBMCCSN1,2021,1.0
REGION1,UKBATTH1,2021,1.0
REGION1,BEELUKPH1,2021,1.0
REGION1,DKELUKPH1,2021,1.0
REGION1,FRELUKPH1,2021,1.0
REGION1,DEELUKPH1,2021,1.0
REGION1,IEELUKPH1,2021,1.0
REGION1,NLELUKPH1,2021,1.0
REGION1,NOELUKPH1,2021,1.0
REGION1,IENGUKPI0,2021,1.0
REGION1,UKBACKSTOP,2022,1.0
REGION1,UKBFHPFH1,2022,1.0
REGION1,UKBMCCPH1,2022,1.0
REGION1,UKBMSTPH1,2022,1.0
REGION1,UKCOCHPH1,2022,1.0
REGION1,UKHFCHPH1,2022,1.0
REGION1,UKHFSTPH1,2022,1.0
REGION1,UKHYDMPH1,2022,1.0
REGION1,UKHYDRPH1,2022,1.0
REGION1,UKHYDSPH1,2022,1.0
REGION1,UKNGCCPH1,2022,1.0
REGION1,UKNGCHPH1,2022,1.0
REGION1,UKNUG2PH1,2022,1.0
REGION1,UKOCWVPH1,2022,1.0
REGION1,UKSOUTPH1,2022,0.0
REGION1,UKWIOFPH1,2022,1.0
REGION1,UKWIONPH1,2022,1.0
REGION1,UKWSCHPH1,2022,1.0
REGION1,UKWSSTPH1,2022,1.0
REGION1,UKBFHPFN1,2022,1.0
REGION1,UKBMCCPN1,2022,1.0
REGION1,UKBMSTPN1,2022,1.0
REGION1,UKCOCHPN1,2022,1.0
REGION1,UKHFCHPN1,2022,1.0
REGION1,UKHFSTPN1,2022,1.0
REGION1,UKHYDMPN1,2022,1.0
REGION1,UKHYDRPN1,2022,1.0
REGION1,UKHYDSPN1,2022,1.0
REGION1,UKNGCCPN1,2022,1.0
REGION1,UKNGCHPN1,2022,1.0
REGION1,UKNUG2PN1,2022,1.0
REGION1,UKOCWVPN1,2022,1.0
REGION1,UKSOUTPN1,2022,0.0
REGION1,UKWIOFPN1,2022,1.0
REGION1,UKWIONPN1,2022,1.0
REGION1,UKWSCHPN1,2022,1.0
REGION1,UKWSSTPN1,2022,1.0
REGION1,UKNGCCSN1,2022,1.0
REGION1,UKBMCCSN1,2022,1.0
REGION1,UKBATTH1,2022,1.0
REGION1,BEELUKPH1,2022,1.0
REGION1,DKELUKPH1,2022,1.0
REGION1,FRELUKPH1,2022,1.0
REGION1,DEELUKPH1,2022,1.0
REGION1,IEELUKPH1,2022,1.0
REGION1,NLELUKPH1,2022,1.0
REGION1,NOELUKPH1,2022,1.0
REGION1,IENGUKPI0,2022,1.0
REGION1,UKBACKSTOP,2023,1.0
REGION1,UKBFHPFH1,2023,1.0
REGION1,UKBMCCPH1,2023,1.0
REGION1,UKBMSTPH1,2023,1.0
REGION1,UKCOCHPH1,2023,1.0
REGION1,UKHFCHPH1,2023,1.0
REGION1,UKHFSTPH1,2023,1.0
REGION1,UKHYDMPH1,2023,1.0
REGION1,UKHYDRPH1,2023,1.0
REGION1,UKHYDSPH1,2023,1.0
REGION1,UKNGCCPH1,2023,1.0
REGION1,UKNGCHPH1,2023,1.0
REGION1,UKNUG2PH1,2023,1.0
REGION1,UKOCWVPH1,2023,1.0
REGION1,UKSOUTPH1,2023,0.0
REGION1,UKWIOFPH1,2023,1.0
REGION1,UKWIONPH1,2023,1.0
REGION1,UKWSCHPH1,2023,1.0
REGION1,UKWSSTPH1,2023,1.0
REGION1,UKBFHPFN1,2023,1.0
REGION1,UKBMCCPN1,2023,1.0
REGION1,UKBMSTPN1,2023,1.0
REGION1,UKCOCHPN1,2023,1.0
REGION1,UKHFCHPN1,2023,1.0
REGION1,UKHFSTPN1,2023,1.0
REGION1,UKHYDMPN1,2023,1.0
REGION1,UKHYDRPN1,2023,1.0
REGION1,UKHYDSPN1,2023,1.0
REGION1,UKNGCCPN1,2023,1.0
REGION1,UKNGCHPN1,2023,1.0
REGION1,UKNUG2PN1,2023,1.0
REGION1,UKOCWVPN1,2023,1.0
REGION1,UKSOUTPN1,2023,0.0
REGION1,UKWIOFPN1,2023,1.0
REGION1,UKWIONPN1,2023,1.0
REGION1,UKWSCHPN1,2023,1.0
REGION1,UKWSSTPN1,2023,1.0
REGION1,UKNGCCSN1,2023,1.0
REGION1,UKBMCCSN1,2023,1.0
REGION1,UKBATTH1,2023,1.0
REGION1,BEELUKPH1,2023,1.0
REGION1,DKELUKPH1,2023,1.0
REGION1,FRELUKPH1,2023,1.0
REGION1,DEELUKPH1,2023,1.0
REGION1,IEELUKPH1,2023,1.0
REGION1,NLELUKPH1,2023,1.0
REGION1,NOELUKPH1,2023,1.0
REGION1,IENGUKPI0,2023,1.0
REGION1,UKBACKSTOP,2024,1.0
REGION1,UKBFHPFH1,2024,1.0
REGION1,UKBMCCPH1,2024,1.0
REGION1,UKBMSTPH1,2024,1.0
REGION1,UKCOCHPH1,2024,1.0
REGION1,UKHFCHPH1,2024,1.0
REGION1,UKHFSTPH1,2024,1.0
REGION1,UKHYDMPH1,2024,1.0
REGION1,UKHYDRPH1,2024,1.0
REGION1,UKHYDSPH1,2024,1.0
REGION1,UKNGCCPH1,2024,1.0
REGION1,UKNGCHPH1,2024,1.0
REGION1,UKNUG2PH1,2024,1.0
REGION1,UKOCWVPH1,2024,1.0
REGION1,UKSOUTPH1,2024,0.0
REGION1,UKWIOFPH1,2024,1.0
REGION1,UKWIONPH1,2024,1.0
REGION1,UKWSCHPH1,2024,1.0
REGION1,UKWSSTPH1,2024,1.0
REGION1,UKBFHPFN1,2024,1.0
REGION1,UKBMCCPN1,2024,1.0
REGION1,UKBMSTPN1,2024,1.0
REGION1,UKCOCHPN1,2024,1.0
REGION1,UKHFCHPN1,2024,1.0
REGION1,UKHFSTPN1,2024,1.0
REGION1,UKHYDMPN1,2024,1.0
REGION1,UKHYDRPN1,2024,1.0
REGION1,UKHYDSPN1,2024,1.0
REGION1,UKNGCCPN1,2024,1.0
REGION1,UKNGCHPN1,2024,1.0
REGION1,UKNUG2PN1,2024,1.0
REGION1,UKOCWVPN1,2024,1.0
REGION1,UKSOUTPN1,2024,0.0
REGION1,UKWIOFPN1,2024,1.0
REGION1,UKWIONPN1,2024,1.0
REGION1,UKWSCHPN1,2024,1.0
REGION1,UKWSSTPN1,2024,1.0
REGION1,UKNGCCSN1,2024,1.0
REGION1,UKBMCCSN1,2024,1.0
REGION1,UKBATTH1,2024,1.0
REGION1,BEELUKPH1,2024,1.0
REGION1,DKELUKPH1,2024,1.0
REGION1,FRELUKPH1,2024,1.0
REGION1,DEELUKPH1,2024,1.0
REGION1,IEELUKPH1,2024,1.0
REGION1,NLELUKPH1,2024,1.0
REGION1,NOELUKPH1,2024,1.0
REGION1,IENGUKPI0,2024,1.0
REGION1,UKBACKSTOP,2025,1.0
REGION1,UKBFHPFH1,2025,1.0
REGION1,UKBMCCPH1,2025,1.0
REGION1,UKBMSTPH1,2025,1.0
REGION1,UKCOCHPH1,2025,1.0
REGION1,UKHFCHPH1,2025,1.0
REGION1,UKHFSTPH1,2025,1.0
REGION1,UKHYDMPH1,2025,1.0
REGION1,UKHYDRPH1,2025,1.0
REGION1,UKHYDSPH1,2025,1.0
REGION1,UKNGCCPH1,2025,1.0
REGION1,UKNGCHPH1,2025,1.0
REGION1,UKNUG2PH1,2025,1.0
REGION1,UKOCWVPH1,2025,1.0
REGION1,UKSOUTPH1,2025,0.0
REGION1,UKWIOFPH1,2025,1.0
REGION1,UKWIONPH1,2025,1.0
