REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
REGION1,ATCOCHPH1,1,2021,0.8258340731666667
REGION1,ATNGCCPH1,1,2021,0.8266565699026351
REGION1,ATNGCHPH1,1,2021,0.8258340731666667
REGION1,ATNGGCPH1,1,2021,0.7522737354938109
REGION1,ATNGHPFH1,1,2021,0.8258340731666667
REGION1,ATNGSTPH1,1,2021,0.8258340731666667
REGION1,ATBFCHPH1,1,2021,1.015236898698222
REGION1,ATBFHPFH1,1,2021,0.913539866197564
REGION1,ATDGCHPH1,1,2021,0.8258340731666667
REGION1,ATDGELH1,1,2021,0.8266565699026351
REGION1,ATRGCHPH1,1,2021,0.8258340731666667
REGION1,ATDSCHPH1,1,2021,0.8266565699026351
REGION1,ATDSELH1,1,2021,0.8266565699026351
REGION1,ATHFCHPH1,1,2021,0.8258340731666667
REGION1,ATHFSTPH1,1,2021,0.8258340731666667
REGION1,ATBMSTPH1,1,2021,1.273253471528839
REGION1,ATBMCHPH1,1,2021,1.015236898698222
REGION1,ATWSCHPH1,1,2021,1.015236898698222
REGION1,ATWSSTPH1,1,2021,0.2914723684834442
REGION1,ATWIONPH1,1,2021,0.064350707
REGION1,ATGOCVPH1,1,2021,0.03932543205555555
REGION1,ATHYDMPH1,1,2021,0.1149970578340689
REGION1,BENUG2PH1,1,2021,2.288025137777778
REGION1,BECOCHPH1,1,2021,0.8258340731666667
REGION1,BECOSTPH1,1,2021,0.8580094266666667
REGION1,BENGCCPH1,1,2021,0.8266565699026351
REGION1,BENGCHPH1,1,2021,0.8258340731666667
REGION1,BEBFHPFH1,1,2021,0.913539866197564
REGION1,BEBFCHPH1,1,2021,1.015236898698222
REGION1,BEDGELH1,1,2021,0.8266565699026351
REGION1,BERGCHPH1,1,2021,0.8258340731666667
REGION1,BEDSCHPH1,1,2021,0.8266565699026351
REGION1,BEDSELH1,1,2021,0.8266565699026351
REGION1,BEHFCHPH1,1,2021,0.8258340731666667
REGION1,BEHFSTPH1,1,2021,0.8258340731666667
REGION1,BEWSCHPH1,1,2021,1.015236898698222
REGION1,BEWSSTPH1,1,2021,0.2914723684834442
REGION1,BEWIOFPH1,1,2021,0.1404990436166667
REGION1,BEWIONPH1,1,2021,0.064350707
REGION1,BEHYDMPH1,1,2021,0.1149970578340689
REGION1,BEBMCHPH1,1,2021,1.015236898698222
REGION1,BEBMSTPH1,1,2021,1.273253471528839
REGION1,BGBFHPFH1,1,2021,0.913539866197564
REGION1,BGCOCHPH1,1,2021,0.8258340731666667
REGION1,BGCOSTPH1,1,2021,0.8580094266666667
REGION1,BGHFCHPH1,1,2021,0.8258340731666667
REGION1,BGHYDMPH1,1,2021,0.1149970578340689
REGION1,BGNGCHPH1,1,2021,0.8258340731666667
REGION1,BGNGSTPH1,1,2021,0.8258340731666667
REGION1,BGNUG2PH1,1,2021,2.288025137777778
REGION1,BGWIONPH1,1,2021,0.064350707
REGION1,BGLICHPH1,1,2021,0.8258340731666667
REGION1,BGLIELH1,1,2021,1.072511783333333
REGION1,BGBFCHPH1,1,2021,1.015236898698222
REGION1,BGRGCHPH1,1,2021,0.8258340731666667
