TIMESLICE,YEAR,VALUE
S1P1,2021,0.071917808
S1P2,2021,0.102739726
S1P3,2021,0.04109589
S1P4,2021,0.030821918
S2P1,2021,0.073515982
S2P2,2021,0.105022831
S2P3,2021,0.042009132
S2P4,2021,0.031506849
S3P1,2021,0.073515982
S3P2,2021,0.105022831
S3P3,2021,0.042009132
S3P4,2021,0.031506849
S4P1,2021,0.072716895
S4P2,2021,0.103881279
S4P3,2021,0.041552511
S4P4,2021,0.031164384
S1P1,2022,0.071917808
S1P2,2022,0.102739726
S1P3,2022,0.04109589
S1P4,2022,0.030821918
S2P1,2022,0.073515982
S2P2,2022,0.105022831
S2P3,2022,0.042009132
S2P4,2022,0.031506849
S3P1,2022,0.073515982
S3P2,2022,0.105022831
S3P3,2022,0.042009132
S3P4,2022,0.031506849
S4P1,2022,0.072716895
S4P2,2022,0.103881279
S4P3,2022,0.041552511
S4P4,2022,0.031164384
S1P1,2023,0.071917808
S1P2,2023,0.102739726
S1P3,2023,0.04109589
S1P4,2023,0.030821918
S2P1,2023,0.073515982
S2P2,2023,0.105022831
S2P3,2023,0.042009132
S2P4,2023,0.031506849
S3P1,2023,0.073515982
S3P2,2023,0.105022831
S3P3,2023,0.042009132
S3P4,2023,0.031506849
S4P1,2023,0.072716895
S4P2,2023,0.103881279
S4P3,2023,0.041552511
S4P4,2023,0.031164384
S1P1,2024,0.071917808
S1P2,2024,0.102739726
S1P3,2024,0.04109589
S1P4,2024,0.030821918
S2P1,2024,0.073515982
S2P2,2024,0.105022831
S2P3,2024,0.042009132
S2P4,2024,0.031506849
S3P1,2024,0.073515982
S3P2,2024,0.105022831
S3P3,2024,0.042009132
S3P4,2024,0.031506849
S4P1,2024,0.072716895
S4P2,2024,0.103881279
S4P3,2024,0.041552511
S4P4,2024,0.031164384
S1P1,2025,0.071917808
S1P2,2025,0.102739726
S1P3,2025,0.04109589
S1P4,2025,0.030821918
S2P1,2025,0.073515982
S2P2,2025,0.105022831
S2P3,2025,0.042009132
S2P4,2025,0.031506849
S3P1,2025,0.073515982
S3P2,2025,0.105022831
S3P3,2025,0.042009132
S3P4,2025,0.031506849
S4P1,2025,0.072716895
S4P2,2025,0.103881279
S4P3,2025,0.041552511
S4P4,2025,0.031164384
S1P1,2026,0.071917808
S1P2,2026,0.102739726
S1P3,2026,0.04109589
S1P4,2026,0.030821918
S2P1,2026,0.073515982
S2P2,2026,0.105022831
S2P3,2026,0.042009132
S2P4,2026,0.031506849
S3P1,2026,0.073515982
S3P2,2026,0.105022831
S3P3,2026,0.042009132
S3P4,2026,0.031506849
S4P1,2026,0.072716895
S4P2,2026,0.103881279
S4P3,2026,0.041552511
S4P4,2026,0.031164384
S1P1,2027,0.071917808
S1P2,2027,0.102739726
S1P3,2027,0.04109589
S1P4,2027,0.030821918
S2P1,2027,0.073515982
S2P2,2027,0.105022831
S2P3,2027,0.042009132
S2P4,2027,0.031506849
S3P1,2027,0.073515982
S3P2,2027,0.105022831
S3P3,2027,0.042009132
S3P4,2027,0.031506849
S4P1,2027,0.072716895
S4P2,2027,0.103881279
S4P3,2027,0.041552511
S4P4,2027,0.031164384
S1P1,2028,0.071917808
