REGION,YEAR,VALUE
REGION1,2021,1.489
REGION1,2022,1.5296
REGION1,2023,1.5853
REGION1,2024,1.7464
REGION1,2025,1.7806
REGION1,2026,1.8178
REGION1,2027,1.858
REGION1,2028,1.9014
REGION1,2029,1.9481
REGION1,2030,1.9982
REGION1,2031,2.0521
REGION1,2032,2.11
REGION1,2033,2.1722
REGION1,2034,2.2393
REGION1,2035,2.3116
REGION1,2036,2.3895
REGION1,2037,2.4736
REGION1,2038,2.5647
REGION1,2039,2.6635
REGION1,2040,2.7571
REGION1,2041,2.8633
REGION1,2042,2.9313
REGION1,2043,2.9992
REGION1,2044,3.0672
REGION1,2045,3.1351
REGION1,2046,3.2031
REGION1,2047,3.2711
REGION1,2048,3.339
REGION1,2049,3.407
REGION1,2050,3.4749
REGION1,2051,3.5429
REGION1,2052,3.6108
REGION1,2053,3.6788
REGION1,2054,3.7467
REGION1,2055,3.8147
