REGION,YEAR,VALUE
REGION1,2021,10.3577
REGION1,2022,10.2633
REGION1,2023,10.1124
REGION1,2024,9.9614
REGION1,2025,9.8105
REGION1,2026,9.8859
REGION1,2027,9.9613
REGION1,2028,10.0368
REGION1,2029,10.1122
REGION1,2030,10.1877
REGION1,2031,10.5272
REGION1,2032,10.5565
REGION1,2033,10.5859
REGION1,2034,10.6152
REGION1,2035,10.6445
REGION1,2036,10.7302
REGION1,2037,10.8158
REGION1,2038,10.9015
REGION1,2039,10.9872
REGION1,2040,11.0729
REGION1,2041,11.1543
REGION1,2042,11.2358
REGION1,2043,11.3172
REGION1,2044,11.3986
REGION1,2045,11.4801
REGION1,2046,11.5509
REGION1,2047,11.6217
REGION1,2048,11.6925
REGION1,2049,11.7633
REGION1,2050,11.8341
REGION1,2051,11.8754
REGION1,2052,11.9168
REGION1,2053,11.9581
REGION1,2054,11.9994
REGION1,2055,12.0407
