REGION,YEAR,VALUE
REGION1,2021,13.4853
REGION1,2022,12.6889
REGION1,2023,13.1388
REGION1,2024,13.5887
REGION1,2025,14.0385
REGION1,2026,14.3923
REGION1,2027,14.7461
REGION1,2028,15.0999
REGION1,2029,15.4537
REGION1,2030,15.8075
REGION1,2031,15.0669
REGION1,2032,15.3311
REGION1,2033,15.5953
REGION1,2034,15.8595
REGION1,2035,16.1238
REGION1,2036,16.1878
REGION1,2037,16.2518
REGION1,2038,16.3158
REGION1,2039,16.3798
REGION1,2040,16.4439
REGION1,2041,16.549
REGION1,2042,16.6541
REGION1,2043,16.7592
REGION1,2044,16.8643
REGION1,2045,16.9694
REGION1,2046,17.0617
REGION1,2047,17.1539
REGION1,2048,17.2461
REGION1,2049,17.3384
REGION1,2050,17.4306
REGION1,2051,17.642
REGION1,2052,17.8535
REGION1,2053,18.065
REGION1,2054,18.2765
REGION1,2055,18.488
