REGION,YEAR,VALUE
REGION1,2021,0.256
REGION1,2022,0.252
REGION1,2023,0.2623
REGION1,2024,0.2807
REGION1,2025,0.2996
REGION1,2026,0.32
REGION1,2027,0.3417
REGION1,2028,0.3647
REGION1,2029,0.3892
REGION1,2030,0.4149
REGION1,2031,0.4424
REGION1,2032,0.4716
REGION1,2033,0.5027
REGION1,2034,0.5354
REGION1,2035,0.5699
REGION1,2036,0.6069
REGION1,2037,0.6463
REGION1,2038,0.6881
REGION1,2039,0.7322
REGION1,2040,0.7787
REGION1,2041,0.8286
REGION1,2042,0.8599
REGION1,2043,0.8911
REGION1,2044,0.9223
REGION1,2045,0.9536
REGION1,2046,0.9848
REGION1,2047,1.016
REGION1,2048,1.0473
REGION1,2049,1.0785
REGION1,2050,1.1097
REGION1,2051,1.141
REGION1,2052,1.1722
REGION1,2053,1.2034
REGION1,2054,1.2347
REGION1,2055,1.2659
