REGION,YEAR,VALUE
REGION1,2021,6.805
REGION1,2022,6.7499
REGION1,2023,6.7252
REGION1,2024,6.7004
REGION1,2025,6.6757
REGION1,2026,6.7225
REGION1,2027,6.7693
REGION1,2028,6.816
REGION1,2029,6.8629
REGION1,2030,6.9096
REGION1,2031,6.9223
REGION1,2032,6.9415
REGION1,2033,6.9606
REGION1,2034,6.9797
REGION1,2035,6.9989
REGION1,2036,7.0003
REGION1,2037,7.0017
REGION1,2038,7.0031
REGION1,2039,7.0045
REGION1,2040,7.0059
REGION1,2041,7.0441
REGION1,2042,7.0824
REGION1,2043,7.1207
REGION1,2044,7.1589
REGION1,2045,7.1972
REGION1,2046,7.226
REGION1,2047,7.2548
REGION1,2048,7.2837
REGION1,2049,7.3125
REGION1,2050,7.3414
REGION1,2051,7.3538
REGION1,2052,7.3662
REGION1,2053,7.3787
REGION1,2054,7.3911
REGION1,2055,7.4036
