REGION,YEAR,VALUE
REGION1,2021,0.087
REGION1,2022,0.087
REGION1,2023,0.087
REGION1,2024,0.0933
REGION1,2025,0.0998
REGION1,2026,0.1068
REGION1,2027,0.1139
REGION1,2028,0.1217
REGION1,2029,0.1294
REGION1,2030,0.1379
REGION1,2031,0.1467
REGION1,2032,0.1557
REGION1,2033,0.1654
REGION1,2034,0.1753
REGION1,2035,0.1858
REGION1,2036,0.1969
REGION1,2037,0.2083
REGION1,2038,0.2202
REGION1,2039,0.2328
REGION1,2040,0.2459
REGION1,2041,0.2599
REGION1,2042,0.2695
REGION1,2043,0.279
REGION1,2044,0.2886
REGION1,2045,0.2981
REGION1,2046,0.3077
REGION1,2047,0.3172
REGION1,2048,0.3267
REGION1,2049,0.3363
REGION1,2050,0.3458
REGION1,2051,0.3554
REGION1,2052,0.3649
REGION1,2053,0.3745
REGION1,2054,0.384
REGION1,2055,0.3935
