REGION,YEAR,VALUE
REGION1,2021,0.262
REGION1,2022,0.262
REGION1,2023,0.2649
REGION1,2024,0.282
REGION1,2025,0.3002
REGION1,2026,0.3198
REGION1,2027,0.3411
REGION1,2028,0.3639
REGION1,2029,0.3881
REGION1,2030,0.4138
REGION1,2031,0.4415
REGION1,2032,0.4711
REGION1,2033,0.5026
REGION1,2034,0.5362
REGION1,2035,0.5716
REGION1,2036,0.6094
REGION1,2037,0.6499
REGION1,2038,0.6927
REGION1,2039,0.7379
REGION1,2040,0.7856
REGION1,2041,0.8368
REGION1,2042,0.8684
REGION1,2043,0.8999
REGION1,2044,0.9315
REGION1,2045,0.963
REGION1,2046,0.9946
REGION1,2047,1.0261
REGION1,2048,1.0577
REGION1,2049,1.0892
REGION1,2050,1.1208
REGION1,2051,1.1523
REGION1,2052,1.1839
REGION1,2053,1.2154
REGION1,2054,1.247
REGION1,2055,1.2785
