REGION,YEAR,VALUE
REGION1,2021,0.773
REGION1,2022,0.8121
REGION1,2023,0.8401
REGION1,2024,0.8748
REGION1,2025,0.91
REGION1,2026,0.9457
REGION1,2027,0.9815
REGION1,2028,1.0178
REGION1,2029,1.0542
REGION1,2030,1.0911
REGION1,2031,1.1279
REGION1,2032,1.1651
REGION1,2033,1.2023
REGION1,2034,1.2398
REGION1,2035,1.2772
REGION1,2036,1.3147
REGION1,2037,1.3523
REGION1,2038,1.39
REGION1,2039,1.4274
REGION1,2040,1.4651
REGION1,2041,1.5046
REGION1,2042,1.5414
REGION1,2043,1.5782
REGION1,2044,1.615
REGION1,2045,1.6518
REGION1,2046,1.6887
REGION1,2047,1.7255
REGION1,2048,1.7623
REGION1,2049,1.7991
REGION1,2050,1.8359
REGION1,2051,1.8728
REGION1,2052,1.9096
REGION1,2053,1.9464
REGION1,2054,1.9832
REGION1,2055,2.02
