REGION,YEAR,VALUE
REGION1,2021,1.465
REGION1,2022,1.5625
REGION1,2023,1.6235
REGION1,2024,1.6615
REGION1,2025,1.7096
REGION1,2026,1.7668
REGION1,2027,1.8319
REGION1,2028,1.9043
REGION1,2029,1.9833
REGION1,2030,2.0683
REGION1,2031,2.1587
REGION1,2032,2.2544
REGION1,2033,2.3549
REGION1,2034,2.4597
REGION1,2035,2.5686
REGION1,2036,2.6814
REGION1,2037,2.7976
REGION1,2038,2.9169
REGION1,2039,3.0392
REGION1,2040,3.1643
REGION1,2041,3.297
REGION1,2042,3.388
REGION1,2043,3.4791
REGION1,2044,3.5701
REGION1,2045,3.6612
REGION1,2046,3.7523
REGION1,2047,3.8433
REGION1,2048,3.9344
REGION1,2049,4.0254
REGION1,2050,4.1165
REGION1,2051,4.2075
REGION1,2052,4.2986
REGION1,2053,4.3897
REGION1,2054,4.4807
REGION1,2055,4.5718
