REGION,YEAR,VALUE
REGION1,2021,0.035
REGION1,2022,0.0327
REGION1,2023,0.0327
REGION1,2024,0.0343
REGION1,2025,0.0358
REGION1,2026,0.0377
REGION1,2027,0.0393
REGION1,2028,0.0409
REGION1,2029,0.0425
REGION1,2030,0.0441
REGION1,2031,0.0457
REGION1,2032,0.0473
REGION1,2033,0.0492
REGION1,2034,0.0507
REGION1,2035,0.0523
REGION1,2036,0.0542
REGION1,2037,0.0558
REGION1,2038,0.0577
REGION1,2039,0.0596
REGION1,2040,0.0615
REGION1,2041,0.0636
REGION1,2042,0.0653
REGION1,2043,0.067
REGION1,2044,0.0687
REGION1,2045,0.0704
REGION1,2046,0.0721
REGION1,2047,0.0738
REGION1,2048,0.0755
REGION1,2049,0.0772
REGION1,2050,0.0789
REGION1,2051,0.0806
REGION1,2052,0.0823
REGION1,2053,0.084
REGION1,2054,0.0857
REGION1,2055,0.0874
