REGION,YEAR,VALUE
REGION1,2021,0.256
REGION1,2022,0.3087
REGION1,2023,0.3244
REGION1,2024,0.3362
REGION1,2025,0.348
REGION1,2026,0.3597
REGION1,2027,0.3714
REGION1,2028,0.3831
REGION1,2029,0.395
REGION1,2030,0.4069
REGION1,2031,0.4191
REGION1,2032,0.4313
REGION1,2033,0.4438
REGION1,2034,0.4564
REGION1,2035,0.4692
REGION1,2036,0.4822
REGION1,2037,0.4955
REGION1,2038,0.5089
REGION1,2039,0.5225
REGION1,2040,0.5364
REGION1,2041,0.5507
REGION1,2042,0.5632
REGION1,2043,0.5757
REGION1,2044,0.5881
REGION1,2045,0.6006
REGION1,2046,0.6131
REGION1,2047,0.6255
REGION1,2048,0.638
REGION1,2049,0.6504
REGION1,2050,0.6629
REGION1,2051,0.6754
REGION1,2052,0.6878
REGION1,2053,0.7003
REGION1,2054,0.7128
REGION1,2055,0.7252
