REGION,YEAR,VALUE
REGION1,2021,10.242
REGION1,2022,10.2905
REGION1,2023,10.339
REGION1,2024,10.3876
REGION1,2025,10.4361
REGION1,2026,10.4847
REGION1,2027,10.5332
REGION1,2028,10.5817
REGION1,2029,10.6303
REGION1,2030,10.6788
REGION1,2031,10.7274
REGION1,2032,10.7759
REGION1,2033,10.8244
REGION1,2034,10.873
REGION1,2035,10.9215
REGION1,2036,10.9604
REGION1,2037,10.9992
REGION1,2038,11.038
REGION1,2039,11.0768
REGION1,2040,11.1157
REGION1,2041,11.1545
REGION1,2042,11.1934
REGION1,2043,11.2322
REGION1,2044,11.271
REGION1,2045,11.3098
REGION1,2046,11.3487
REGION1,2047,11.3875
REGION1,2048,11.4263
REGION1,2049,11.4652
REGION1,2050,11.504
REGION1,2051,11.5426
REGION1,2052,11.581
REGION1,2053,11.6192
REGION1,2054,11.6571
REGION1,2055,11.6949
