REGION,YEAR,VALUE
REGION1,2021,1.375
REGION1,2022,1.5087
REGION1,2023,1.3215
REGION1,2024,1.417
REGION1,2025,1.5093
REGION1,2026,1.6041
REGION1,2027,1.7006
REGION1,2028,1.7985
REGION1,2029,1.897
REGION1,2030,1.996
REGION1,2031,2.1024
REGION1,2032,2.2141
REGION1,2033,2.3298
REGION1,2034,2.448
REGION1,2035,2.5683
REGION1,2036,2.6983
REGION1,2037,2.8354
REGION1,2038,2.9775
REGION1,2039,3.1231
REGION1,2040,3.2712
REGION1,2041,3.4312
REGION1,2042,3.5473
REGION1,2043,3.6634
REGION1,2044,3.7796
REGION1,2045,3.8957
REGION1,2046,4.0119
REGION1,2047,4.128
REGION1,2048,4.2442
REGION1,2049,4.3603
REGION1,2050,4.4765
REGION1,2051,4.5926
REGION1,2052,4.7087
REGION1,2053,4.8249
REGION1,2054,4.941
REGION1,2055,5.0572
