REGION,YEAR,VALUE
REGION1,2021,1.322
REGION1,2022,1.2811
REGION1,2023,1.3189
REGION1,2024,1.366
REGION1,2025,1.414
REGION1,2026,1.4669
REGION1,2027,1.5235
REGION1,2028,1.5832
REGION1,2029,1.6451
REGION1,2030,1.7087
REGION1,2031,1.778
REGION1,2032,1.8519
REGION1,2033,1.9293
REGION1,2034,2.0096
REGION1,2035,2.0919
REGION1,2036,2.1802
REGION1,2037,2.2732
REGION1,2038,2.37
REGION1,2039,2.4698
REGION1,2040,2.5718
REGION1,2041,2.6801
REGION1,2042,2.7541
REGION1,2043,2.8282
REGION1,2044,2.9022
REGION1,2045,2.9762
REGION1,2046,3.0503
REGION1,2047,3.1243
REGION1,2048,3.1983
REGION1,2049,3.2724
REGION1,2050,3.3464
REGION1,2051,3.4204
REGION1,2052,3.4945
REGION1,2053,3.5685
REGION1,2054,3.6425
REGION1,2055,3.7166
