REGION,YEAR,VALUE
REGION1,2021,1.0198
REGION1,2022,1.0657
REGION1,2023,1.1074
REGION1,2024,1.1492
REGION1,2025,1.191
REGION1,2026,1.2216
REGION1,2027,1.2522
REGION1,2028,1.2827
REGION1,2029,1.3133
REGION1,2030,1.3439
REGION1,2031,1.3583
REGION1,2032,1.3908
REGION1,2033,1.4233
REGION1,2034,1.4558
REGION1,2035,1.4883
REGION1,2036,1.5196
REGION1,2037,1.5508
REGION1,2038,1.582
REGION1,2039,1.6133
REGION1,2040,1.6445
REGION1,2041,1.6727
REGION1,2042,1.7009
REGION1,2043,1.7291
REGION1,2044,1.7573
REGION1,2045,1.7855
REGION1,2046,1.8031
REGION1,2047,1.8207
REGION1,2048,1.8382
REGION1,2049,1.8558
REGION1,2050,1.8734
REGION1,2051,1.9088
REGION1,2052,1.9441
REGION1,2053,1.9794
REGION1,2054,2.0147
REGION1,2055,2.05
