REGION,YEAR,VALUE
REGION1,2021,11.2811
REGION1,2022,11.0271
REGION1,2023,10.9232
REGION1,2024,10.8192
REGION1,2025,10.7152
REGION1,2026,10.8687
REGION1,2027,11.0221
REGION1,2028,11.1755
REGION1,2029,11.329
REGION1,2030,11.4825
REGION1,2031,11.7617
REGION1,2032,11.8433
REGION1,2033,11.9249
REGION1,2034,12.0065
REGION1,2035,12.0881
REGION1,2036,12.2254
REGION1,2037,12.3628
REGION1,2038,12.5001
REGION1,2039,12.6375
REGION1,2040,12.7748
REGION1,2041,12.9125
REGION1,2042,13.0502
REGION1,2043,13.1879
REGION1,2044,13.3256
REGION1,2045,13.4634
REGION1,2046,13.5731
REGION1,2047,13.6829
REGION1,2048,13.7927
REGION1,2049,13.9025
REGION1,2050,14.0123
REGION1,2051,14.1066
REGION1,2052,14.2009
REGION1,2053,14.2952
REGION1,2054,14.3895
REGION1,2055,14.4839
