REGION,YEAR,VALUE
REGION1,2021,81.0775
REGION1,2022,77.5094
REGION1,2023,78.3908
REGION1,2024,79.2722
REGION1,2025,80.1535
REGION1,2026,81.378
REGION1,2027,82.6024
REGION1,2028,83.8269
REGION1,2029,85.0513
REGION1,2030,86.2758
REGION1,2031,86.468
REGION1,2032,87.4634
REGION1,2033,88.4587
REGION1,2034,89.4541
REGION1,2035,90.4495
REGION1,2036,91.05
REGION1,2037,91.6506
REGION1,2038,92.2511
REGION1,2039,92.8516
REGION1,2040,93.4521
REGION1,2041,94.1927
REGION1,2042,94.9333
REGION1,2043,95.6738
REGION1,2044,96.4144
REGION1,2045,97.155
REGION1,2046,97.81
REGION1,2047,98.465
REGION1,2048,99.1199
REGION1,2049,99.7749
REGION1,2050,100.4299
REGION1,2051,101.2971
REGION1,2052,102.1643
REGION1,2053,103.0315
REGION1,2054,103.8986
REGION1,2055,104.7658
