REGION,YEAR,VALUE
REGION1,2021,6.3926
REGION1,2022,6.0934
REGION1,2023,6.6238
REGION1,2024,7.1542
REGION1,2025,7.6847
REGION1,2026,7.9727
REGION1,2027,8.2609
REGION1,2028,8.549
REGION1,2029,8.8372
REGION1,2030,9.1253
REGION1,2031,8.4626
REGION1,2032,8.7259
REGION1,2033,8.9891
REGION1,2034,9.2524
REGION1,2035,9.5156
REGION1,2036,9.5991
REGION1,2037,9.6827
REGION1,2038,9.7662
REGION1,2039,9.8498
REGION1,2040,9.9334
REGION1,2041,9.9869
REGION1,2042,10.0405
REGION1,2043,10.094
REGION1,2044,10.1476
REGION1,2045,10.2012
REGION1,2046,10.2268
REGION1,2047,10.2525
REGION1,2048,10.2783
REGION1,2049,10.304
REGION1,2050,10.3297
REGION1,2051,10.5627
REGION1,2052,10.7959
REGION1,2053,11.029
REGION1,2054,11.2621
REGION1,2055,11.4952
