REGION,YEAR,VALUE
REGION1,2021,12.307
REGION1,2022,12.9555
REGION1,2023,13.7016
REGION1,2024,14.3143
REGION1,2025,14.9166
REGION1,2026,15.5531
REGION1,2027,16.2214
REGION1,2028,16.9188
REGION1,2029,17.6435
REGION1,2030,18.3936
REGION1,2031,19.2109
REGION1,2032,20.0871
REGION1,2033,21.0159
REGION1,2034,21.9912
REGION1,2035,23.0081
REGION1,2036,24.1055
REGION1,2037,25.2736
REGION1,2038,26.5033
REGION1,2039,27.7876
REGION1,2040,29.1197
REGION1,2041,30.5308
REGION1,2042,31.4464
REGION1,2043,32.362
REGION1,2044,33.2776
REGION1,2045,34.1932
REGION1,2046,35.1089
REGION1,2047,36.0245
REGION1,2048,36.9401
REGION1,2049,37.8557
REGION1,2050,38.7713
REGION1,2051,39.6869
REGION1,2052,40.6025
REGION1,2053,41.5181
REGION1,2054,42.4337
REGION1,2055,43.3493
