REGION,YEAR,VALUE
REGION1,2021,1.591
REGION1,2022,1.4413
REGION1,2023,1.5106
REGION1,2024,1.58
REGION1,2025,1.6492
REGION1,2026,1.6823
REGION1,2027,1.7153
REGION1,2028,1.7484
REGION1,2029,1.7814
REGION1,2030,1.8145
REGION1,2031,1.7843
REGION1,2032,1.8225
REGION1,2033,1.8606
REGION1,2034,1.8986
REGION1,2035,1.9368
REGION1,2036,1.9558
REGION1,2037,1.9747
REGION1,2038,1.9937
REGION1,2039,2.0127
REGION1,2040,2.0316
REGION1,2041,2.0489
REGION1,2042,2.0662
REGION1,2043,2.0834
REGION1,2044,2.1007
REGION1,2045,2.118
REGION1,2046,2.1345
REGION1,2047,2.1511
REGION1,2048,2.1678
REGION1,2049,2.1844
REGION1,2050,2.201
REGION1,2051,2.2335
REGION1,2052,2.2661
REGION1,2053,2.2987
REGION1,2054,2.3313
REGION1,2055,2.3639
