REGION,YEAR,VALUE
REGION1,2021,32.242
REGION1,2022,33.3183
REGION1,2023,33.8449
REGION1,2024,35.1773
REGION1,2025,36.5156
REGION1,2026,38.0104
REGION1,2027,39.5583
REGION1,2028,41.1239
REGION1,2029,42.6933
REGION1,2030,44.2592
REGION1,2031,46.01
REGION1,2032,47.814
REGION1,2033,49.6279
REGION1,2034,51.4376
REGION1,2035,53.238
REGION1,2036,55.2295
REGION1,2037,57.2728
REGION1,2038,59.325
REGION1,2039,61.3749
REGION1,2040,63.4206
REGION1,2041,65.6121
REGION1,2042,67.3575
REGION1,2043,69.1029
REGION1,2044,70.8484
REGION1,2045,72.5938
REGION1,2046,74.3393
REGION1,2047,76.0847
REGION1,2048,77.8302
REGION1,2049,79.5756
REGION1,2050,81.3211
REGION1,2051,83.0665
REGION1,2052,84.8119
REGION1,2053,86.5574
REGION1,2054,88.3028
REGION1,2055,90.0483
