REGION,YEAR,VALUE
REGION1,2021,0.06
REGION1,2022,0.0629
REGION1,2023,0.0629
REGION1,2024,0.075
REGION1,2025,0.0878
REGION1,2026,0.1072
REGION1,2027,0.1279
REGION1,2028,0.1498
REGION1,2029,0.1726
REGION1,2030,0.1962
REGION1,2031,0.2247
REGION1,2032,0.2541
REGION1,2033,0.2841
REGION1,2034,0.3146
REGION1,2035,0.3456
REGION1,2036,0.3788
REGION1,2037,0.4123
REGION1,2038,0.4461
REGION1,2039,0.4801
REGION1,2040,0.5141
REGION1,2041,0.5533
REGION1,2042,0.5813
REGION1,2043,0.6093
REGION1,2044,0.6374
REGION1,2045,0.6654
REGION1,2046,0.6934
REGION1,2047,0.7214
REGION1,2048,0.7495
REGION1,2049,0.7775
REGION1,2050,0.8055
REGION1,2051,0.8335
REGION1,2052,0.8616
REGION1,2053,0.8896
REGION1,2054,0.9176
REGION1,2055,0.9456
