REGION,YEAR,VALUE
REGION1,2021,41.754
REGION1,2022,41.1102
REGION1,2023,41.6558
REGION1,2024,42.2013
REGION1,2025,42.7469
REGION1,2026,43.1559
REGION1,2027,43.5649
REGION1,2028,43.9738
REGION1,2029,44.3827
REGION1,2030,44.7916
REGION1,2031,44.9584
REGION1,2032,45.3859
REGION1,2033,45.8135
REGION1,2034,46.2411
REGION1,2035,46.6686
REGION1,2036,46.9501
REGION1,2037,47.2317
REGION1,2038,47.5132
REGION1,2039,47.7947
REGION1,2040,48.0762
REGION1,2041,48.3459
REGION1,2042,48.6156
REGION1,2043,48.8854
REGION1,2044,49.1551
REGION1,2045,49.4248
REGION1,2046,49.6222
REGION1,2047,49.8196
REGION1,2048,50.017
REGION1,2049,50.2143
REGION1,2050,50.4117
REGION1,2051,50.8172
REGION1,2052,51.2227
REGION1,2053,51.6282
REGION1,2054,52.0336
REGION1,2055,52.4391
