REGION,YEAR,VALUE
REGION1,2021,1.754
REGION1,2022,1.9453
REGION1,2023,2.0496
REGION1,2024,2.341
REGION1,2025,2.6542
REGION1,2026,2.9898
REGION1,2027,3.3453
REGION1,2028,3.7187
REGION1,2029,4.1086
REGION1,2030,4.514
REGION1,2031,4.956
REGION1,2032,5.4293
REGION1,2033,5.9297
REGION1,2034,6.4545
REGION1,2035,7.0016
REGION1,2036,7.6032
REGION1,2037,8.2499
REGION1,2038,8.9349
REGION1,2039,9.654
REGION1,2040,10.4038
REGION1,2041,11.2411
REGION1,2042,11.7567
REGION1,2043,12.2723
REGION1,2044,12.7879
REGION1,2045,13.3034
REGION1,2046,13.819
REGION1,2047,14.3346
REGION1,2048,14.8502
REGION1,2049,15.3658
REGION1,2050,15.8813
REGION1,2051,16.3969
REGION1,2052,16.9125
REGION1,2053,17.4281
REGION1,2054,17.9437
REGION1,2055,18.4593
