REGION,YEAR,VALUE
REGION1,2021,14.267
REGION1,2022,13.3586
REGION1,2023,13.6996
REGION1,2024,14.0405
REGION1,2025,14.3816
REGION1,2026,14.6562
REGION1,2027,14.9309
REGION1,2028,15.2056
REGION1,2029,15.4802
REGION1,2030,15.7549
REGION1,2031,15.236
REGION1,2032,15.4446
REGION1,2033,15.6532
REGION1,2034,15.8618
REGION1,2035,16.0704
REGION1,2036,16.2281
REGION1,2037,16.3858
REGION1,2038,16.5434
REGION1,2039,16.7012
REGION1,2040,16.8588
REGION1,2041,16.9371
REGION1,2042,17.0154
REGION1,2043,17.0936
REGION1,2044,17.1719
REGION1,2045,17.2502
REGION1,2046,17.3191
REGION1,2047,17.388
REGION1,2048,17.4569
REGION1,2049,17.5259
REGION1,2050,17.5948
REGION1,2051,17.7923
REGION1,2052,17.9897
REGION1,2053,18.1872
REGION1,2054,18.3847
REGION1,2055,18.5822
