REGION,YEAR,VALUE
REGION1,2021,88.174
REGION1,2022,84.4336
REGION1,2023,83.0897
REGION1,2024,81.7459
REGION1,2025,80.4021
REGION1,2026,80.4256
REGION1,2027,80.4491
REGION1,2028,80.4726
REGION1,2029,80.496
REGION1,2030,80.5195
REGION1,2031,84.4028
REGION1,2032,84.3994
REGION1,2033,84.396
REGION1,2034,84.3926
REGION1,2035,84.3892
REGION1,2036,84.7321
REGION1,2037,85.0751
REGION1,2038,85.418
REGION1,2039,85.7609
REGION1,2040,86.1039
REGION1,2041,86.2736
REGION1,2042,86.4434
REGION1,2043,86.6132
REGION1,2044,86.7829
REGION1,2045,86.9527
REGION1,2046,87.0874
REGION1,2047,87.2223
REGION1,2048,87.357
REGION1,2049,87.4919
REGION1,2050,87.6267
REGION1,2051,87.6714
REGION1,2052,87.7161
REGION1,2053,87.7609
REGION1,2054,87.8056
REGION1,2055,87.8503
