REGION,YEAR,VALUE
REGION1,2021,0.361
REGION1,2022,0.3858
REGION1,2023,0.39
REGION1,2024,0.4026
REGION1,2025,0.4149
REGION1,2026,0.4272
REGION1,2027,0.4394
REGION1,2028,0.4513
REGION1,2029,0.4632
REGION1,2030,0.4751
REGION1,2031,0.4869
REGION1,2032,0.4986
REGION1,2033,0.5104
REGION1,2034,0.5221
REGION1,2035,0.5339
REGION1,2036,0.5457
REGION1,2037,0.5575
REGION1,2038,0.5694
REGION1,2039,0.5814
REGION1,2040,0.5934
REGION1,2041,0.6059
REGION1,2042,0.6178
REGION1,2043,0.6298
REGION1,2044,0.6418
REGION1,2045,0.6538
REGION1,2046,0.6658
REGION1,2047,0.6777
REGION1,2048,0.6897
REGION1,2049,0.7017
REGION1,2050,0.7137
REGION1,2051,0.7256
REGION1,2052,0.7376
REGION1,2053,0.7496
REGION1,2054,0.7616
REGION1,2055,0.7735
