REGION,YEAR,VALUE
REGION1,2021,2.168
REGION1,2022,2.2382
REGION1,2023,2.3753
REGION1,2024,2.5771
REGION1,2025,2.7577
REGION1,2026,2.9293
REGION1,2027,3.0941
REGION1,2028,3.2539
REGION1,2029,3.4102
REGION1,2030,3.5639
REGION1,2031,3.7259
REGION1,2032,3.8939
REGION1,2033,4.0663
REGION1,2034,4.2416
REGION1,2035,4.4191
REGION1,2036,4.6112
REGION1,2037,4.8137
REGION1,2038,5.0236
REGION1,2039,5.2387
REGION1,2040,5.4575
REGION1,2041,5.6911
REGION1,2042,5.8739
REGION1,2043,6.0566
REGION1,2044,6.2393
REGION1,2045,6.4221
REGION1,2046,6.6048
REGION1,2047,6.7875
REGION1,2048,6.9703
REGION1,2049,7.153
REGION1,2050,7.3357
REGION1,2051,7.5185
REGION1,2052,7.7012
REGION1,2053,7.8839
REGION1,2054,8.0667
REGION1,2055,8.2494
