REGION,YEAR,VALUE
REGION1,2021,0.059
REGION1,2022,0.0602
REGION1,2023,0.0602
REGION1,2024,0.0666
REGION1,2025,0.0734
REGION1,2026,0.0805
REGION1,2027,0.0881
REGION1,2028,0.096
REGION1,2029,0.1045
REGION1,2030,0.1132
REGION1,2031,0.1224
REGION1,2032,0.1322
REGION1,2033,0.1424
REGION1,2034,0.1531
REGION1,2035,0.1643
REGION1,2036,0.1761
REGION1,2037,0.1885
REGION1,2038,0.2016
REGION1,2039,0.2152
REGION1,2040,0.2294
REGION1,2041,0.2448
REGION1,2042,0.2551
REGION1,2043,0.2654
REGION1,2044,0.2757
REGION1,2045,0.2859
REGION1,2046,0.2962
REGION1,2047,0.3065
REGION1,2048,0.3168
REGION1,2049,0.3271
REGION1,2050,0.3374
REGION1,2051,0.3476
REGION1,2052,0.3579
REGION1,2053,0.3682
REGION1,2054,0.3785
REGION1,2055,0.3888
