REGION,YEAR,VALUE
REGION1,2021,0.117
REGION1,2022,0.1286
REGION1,2023,0.1302
REGION1,2024,0.1444
REGION1,2025,0.1592
REGION1,2026,0.1752
REGION1,2027,0.1921
REGION1,2028,0.21
REGION1,2029,0.229
REGION1,2030,0.249
REGION1,2031,0.2703
REGION1,2032,0.293
REGION1,2033,0.317
REGION1,2034,0.3424
REGION1,2035,0.3691
REGION1,2036,0.3976
REGION1,2037,0.4277
REGION1,2038,0.4596
REGION1,2039,0.4932
REGION1,2040,0.5284
REGION1,2041,0.567
REGION1,2042,0.5914
REGION1,2043,0.6157
REGION1,2044,0.6401
REGION1,2045,0.6645
REGION1,2046,0.6889
REGION1,2047,0.7133
REGION1,2048,0.7377
REGION1,2049,0.7621
REGION1,2050,0.7865
REGION1,2051,0.8108
REGION1,2052,0.8352
REGION1,2053,0.8596
REGION1,2054,0.884
REGION1,2055,0.9084
