REGION,YEAR,VALUE
REGION1,2021,0.067
REGION1,2022,0.0707
REGION1,2023,0.0736
REGION1,2024,0.0746
REGION1,2025,0.0757
REGION1,2026,0.0778
REGION1,2027,0.0803
REGION1,2028,0.0831
REGION1,2029,0.0859
REGION1,2030,0.0888
REGION1,2031,0.0929
REGION1,2032,0.0978
REGION1,2033,0.1029
REGION1,2034,0.1083
REGION1,2035,0.1136
REGION1,2036,0.1206
REGION1,2037,0.1283
REGION1,2038,0.1363
REGION1,2039,0.1445
REGION1,2040,0.153
REGION1,2041,0.1623
REGION1,2042,0.167
REGION1,2043,0.1717
REGION1,2044,0.1765
REGION1,2045,0.1812
REGION1,2046,0.186
REGION1,2047,0.1907
REGION1,2048,0.1954
REGION1,2049,0.2002
REGION1,2050,0.2049
REGION1,2051,0.2097
REGION1,2052,0.2144
REGION1,2053,0.2191
REGION1,2054,0.2239
REGION1,2055,0.2286
