REGION,YEAR,VALUE
REGION1,2021,10.5473
REGION1,2022,10.3086
REGION1,2023,10.6411
REGION1,2024,10.9735
REGION1,2025,11.3059
REGION1,2026,11.4248
REGION1,2027,11.5437
REGION1,2028,11.6626
REGION1,2029,11.7815
REGION1,2030,11.9004
REGION1,2031,11.6601
REGION1,2032,11.8102
REGION1,2033,11.9604
REGION1,2034,12.1105
REGION1,2035,12.2607
REGION1,2036,12.3938
REGION1,2037,12.5269
REGION1,2038,12.66
REGION1,2039,12.7932
REGION1,2040,12.9263
REGION1,2041,13.0699
REGION1,2042,13.2134
REGION1,2043,13.357
REGION1,2044,13.5006
REGION1,2045,13.6441
REGION1,2046,13.8941
REGION1,2047,14.1441
REGION1,2048,14.3941
REGION1,2049,14.644
REGION1,2050,14.8941
REGION1,2051,15.0099
REGION1,2052,15.1257
REGION1,2053,15.2415
REGION1,2054,15.3574
REGION1,2055,15.4732
